"","C_defl_rate","C_deflator","C_n","C_real","C_share","cpi","deflator_gdp","G_n","G_share","gdp_n","gdp_real","I_deflator","i_n","I_n","I_real","I_share","infl_cpi","infl_gdp_deflator","NX_n","NX_share","profitShare","R_n","R_real","W_n","W_real","wageShare","interest_real"
"1",NA,24.6965506,25.9487,105.070138823355,0.575899346837499,24.4889035,22.3009649,2.95766,0.0656416106459052,45.0577,202.043724126035,32.4675361,3.0925,14.3857,44.3079510428264,0.319272843487351,1.44,NA,0.8278,0.0183719985707215,0.564840193795955,25.4504,114.122416290606,20.1594,90.3969854685525,0.447412983796332,1.6525
"2",0.028935773764744,25.4216038,28.4956,112.092062421333,0.562172015688007,24.9408212,23.1539078,3.62765,0.0715676565052359,50.6884,218.919417136143,34.8940961,2.9558333333,17.8618,51.1886020741486,0.352384371966762,1.82857701498369,3.75336231539758,-0.6762,-0.0133403303319892,0.556691471816037,28.2178,121.870572534628,22.848,98.6788070392161,0.450754018670939,1.12725631831631
"3",0.0464681460937411,26.630775,31.8005,119.41259689213,0.565738490604975,26.0172653,24.4485247,4.21389,0.0749661095949874,56.2106,229.914077392163,37.1208965,3.1241666667,20.8569,56.1864124159825,0.371049232706998,4.22545009031721,5.44063048898131,-1.1671,-0.0207629877638737,0.548490854038206,30.831,126.105768664234,25.6304,104.834137497057,0.455970937865812,-1.10128342361721
"4",0.0351896437872594,27.5845862,34.5369,125.203618243873,0.558748252743839,26.9123146,25.6149749,4.82217,0.0780145022261338,61.8112,241.308844694593,39.5683163,3.2466666667,23.8753,60.3394388049814,0.386261713087596,3.38236060368087,4.66072628640131,-1.0732,-0.0173625491820253,0.537130811244564,33.2007,129.614415511295,28.616,111.715900998209,0.462958169393249,-0.135693936980867
"5",0.0441147308868501,28.8287132,37.6969,130.761646343618,0.550199226446763,27.7413638,27.0157214,5.30263,0.0773937094066993,68.515,253.611587806795,41.2919664,3.9708333333,27.0799,65.5815219301351,0.395240458293804,3.03406036661253,5.32418331265387,-1.206,-0.0176019849667956,0.536101583594833,36.731,135.961573841223,31.8048,117.727006172043,0.46420199956214,0.936772966687466
"6",0.0392383627353849,29.9823909,40.5559,135.265730259023,0.552682539271546,28.6885867,28.0736056,5.70815,0.0777888010509661,73.3801,261.384665174608,42.4001323,3.9458333333,27.1031,63.9222062050028,0.369352181313462,3.35747903725601,3.84108618049406,0.7619,0.0103829239807523,0.529755342388468,38.8735,138.469922794669,34.5247,122.979215751325,0.470491318490981,0.588354296043994
"7",0.0455356160165263,31.3792189,43.7271,139.350504992972,0.554913844958997,30.0587477,29.4372516,6.08722,0.0772491808354843,78.7998,267.687354345268,43.8383021,4.1641666667,27.786,63.3829292398622,0.352615108160173,4.66543557303858,4.74311010969024,1.7548,0.0222690920535331,0.536369381648177,42.2658,143.579300725208,36.7861,124.964451504705,0.466829865050419,-0.501268906338579
"8",0.0428378912600116,32.7526458,46.9818,143.44428931601,0.553885004297219,31.2626596,30.7639731,6.46629,0.0762333725918774,84.8223,275.719588377874,44.866623,4.6033333333,28.4377,63.3827511377444,0.335262071412824,3.92706779049239,4.40833672713032,2.2706,0.0267689039321028,0.532251542342049,45.1468,146.752176168039,39.9488,129.855789010555,0.470970487713726,0.676265542807611
"9",0.0240975778219421,33.5514917,50.0582,149.198135354441,0.552679809569234,32.0116573,31.6785857,6.96879,0.0769406317072524,90.5736,285.914279310771,45.5696907,4.3725,29.7878,65.3675711694045,0.328879496895343,2.3675725738364,2.92966218458246,3.6804,0.0406343570311879,0.534026471289647,48.3687,152.685793671654,42.6479,134.626906655116,0.470864578641017,2.0049274261636
"10",0.0276287946489879,34.4914035,54.2492,157.283248853588,0.55277640501531,32.808439,32.5022489,7.652,0.0779706438284279,98.1395,301.946798518302,47.0031574,4.9,32.5812,69.3170454970329,0.331988648811131,2.45856417959391,2.56683612231701,3.6935,0.0376352029509015,0.533624075932728,52.3696,161.126081340175,45.9409,141.346834618573,0.468118341748226,2.44143582040609
"11",0.0387929694162672,35.8557193,59.4378,165.769370020699,0.543722127949578,33.9947878,34.0394167,8.4939,0.0777000727246116,109.3165,321.146807430458,51.4769299,5.7158333333,38.7265,75.2307879961583,0.354260335813898,3.5521443981569,4.62098839709038,0.388,0.00354932695430242,0.526280113249144,57.5311,169.013178184102,51.6933,151.863060567662,0.472877378986704,2.1636889351431
"12",0.0671591221531749,38.3464598,66.5931,173.661663546839,0.536249296401845,36.2293404,37.1544139,10.04441,0.0808838722821382,124.1831,334.235120312314,56.5655583,5.2658333333,46.7496,82.6467578593669,0.376457021929715,6.36620859700341,8.75634091909885,0.3062,0.00246571393369951,0.515210201710217,63.9804,172.201343754746,60.103,161.765436972752,0.48398695152561,-1.10037526370341
