"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",1279.109,10.296,1.493,0,0.011,0.058,2.807,0.076,7956.464,4.717,10.733,0.98,0.27,71.521,55.813,34.342,2.153,0.289,0.185,2.157,8.936,1.847,4.051,0.682,0.025,0.83,4.4,5.348,2.824,13.228,326.71,4.457,95.258,3.568,4.352,0.674,335.669,1.625,0.508,3.591,2.054,8.68,33.845,64.157,194.09,8.575,66.856,20.309,38.424,0,4485.402,0.052,292.755,274.604,1.152,132.844,182.21,153.055,-3789.626,12421.497
"TTL_A02",260.614,267.191,0.025,0,0.001,0.005,0.282,0.004,12.232,0.204,163.976,11.686,0.287,1.911,1.193,1.527,0.903,0.124,0.077,1.468,4.056,0.929,1.275,0.088,0.019,0.239,13.455,2.625,0.662,43.541,140.014,10.828,2.177,0.501,1.546,0.144,9.398,0.16,0.133,0.188,0.316,6.583,1.564,2.976,18.849,0.76,2.962,0.775,6.751,0,139.969,0.002,0.091,36.979,0.383,1.084,1.424,101.212,-103.034,1175.329
"TTL_A03",3.726,0.008,11.223,0,0,0.001,0.032,0.001,48.323,0.037,0.064,0.045,0.027,0.75,0.852,0.047,0.061,0.029,0.017,0.089,0.326,0.084,0.129,0.033,0.001,0.035,0.082,0.228,0.049,0.273,26.979,0.162,2.701,0.094,0.229,0.014,14.475,0.038,0.012,0.029,0.035,0.053,0.564,0.356,0.65,0.082,1.077,0.079,0.189,0,91.794,0,0.213,9.214,0.146,7.736,0.675,29.095,-195.39,57.871
"TTL_B05",0.331,0.019,0,0,0.011,0.096,3.825,0.06,8.976,0.04,0.27,2.57,24.88,2.507,2.8,0.702,18.189,21.128,4.494,0.313,0.305,0.266,12.166,0.14,0.001,0.09,1.857,94.709,1.03,18.725,31.275,6.542,13.105,0.078,1.255,0.52,0.228,0.12,0.157,0.528,1.095,0.204,2.874,1.849,13.313,1.081,2.578,0.833,1.177,0,154.385,0,0.008,1.057,0.022,0.193,0,0,-454.977,0
"TTL_B06",1.591,0.12,0.001,0,0.462,0.913,43.664,1.221,43.569,0.216,1.193,15.128,208.183,758.441,20.927,5.486,113.301,62.98,38.904,2.807,2.557,2.061,117.78,1.237,0.012,0.671,11.654,612.552,6.039,128.506,291.127,34.922,56.529,9.817,5.478,2.878,1.334,0.868,0.703,1.615,5.484,1.084,17.976,12.621,68.672,5.239,11.696,4.684,4.948,0,552.905,0.004,16.85,28.444,0.16,4.261,0.081,5.412,-3339.383,8.587
"TTL_B07",0.389,0.036,0,0,0.024,0.542,9.89,0.345,6.127,0.034,0.172,1.957,11.018,40.645,3.522,0.636,9.232,115.185,126.545,5.513,2.532,5.909,23.307,0.334,0.009,0.369,6.176,14.746,1.846,34.254,46.536,7.935,12.874,2.079,2.517,0.739,0.238,0.258,0.2,0.576,1.785,0.324,4.938,5.041,10.141,0.68,0.958,0.466,1.182,0,2.52,0.002,0.017,1.802,0.024,1.11,0.061,7.744,-491.693,42.348
"TTL_B08",2.943,0.169,0.001,0,0.294,1.24,189.521,1.063,53.988,0.255,1.644,18.574,114.363,419.182,28.645,7.857,453.342,126.713,69.938,3.896,2.517,2.755,165.93,1.145,0.021,0.708,17.557,125.585,11.449,652.507,313.6,36.289,60.704,9.704,8.449,2.683,1.704,0.769,0.799,1.383,4.883,1.862,20.955,14.664,102.317,5.145,7.724,3.594,5.02,0,118.417,0.002,0.018,2.615,0.113,0.728,0.022,20.191,-886.271,2331.886
"TTL_B09",0.103,0.023,0,0,0.002,0.006,0.263,0.009,0.637,0.031,0.084,0.108,0.325,1.215,0.364,0.102,0.397,0.226,0.171,0.196,0.599,0.201,0.827,0.032,0.004,0.163,0.263,3.436,0.146,1.624,3.019,0.647,1.082,0.522,0.408,0.101,0.23,0.207,0.139,0.798,0.855,1.204,2.671,1.96,1.009,0.113,0.239,0.489,0.346,0,4.731,0.003,0.843,41.361,0,1.08,0.071,1.135,-39.817,37.001
"TTL_C10T12",1950.404,3.302,0.062,0,0.01,0.065,2.984,0.068,8728.564,44.362,17.881,27.618,1.641,750.283,326.866,7.788,5.07,0.815,0.67,9.941,75.339,42.571,6.712,0.602,0.333,11.922,14.766,10.198,82.242,22.195,1143.691,78.971,1276.13,122.566,8.639,0.549,5656.473,6.237,0.638,7.516,9.08,6.486,80.589,28.612,1390.841,125.711,1434.684,78.407,86.378,0,23814.501,0.038,0.994,33.688,25.639,483.756,439.215,9426.135,-12279.204,45632.235
"TTL_C13T15",59.893,2.472,0.001,0,0.016,0.088,4.927,0.088,118.141,839.333,6.318,84.419,31.795,184.665,78.171,35.732,107.937,1.372,0.947,8.11,191.399,10.108,59.294,35.433,0.89,32.42,223.928,7.396,42.025,257.059,429.519,77.354,46.449,12.899,4.552,21.222,51.342,9.605,0.451,0.838,1.011,6.51,38.782,66.407,126.981,8.416,81.334,122.56,100.866,0,6316.633,0.099,0.268,118.952,8.315,213.938,41.784,1773.368,-8430.209,3674.623
"TTL_C16",3.426,0.67,0.008,0,0.045,0.408,20.906,0.406,135.308,7.139,2932.075,12.434,0.594,25.206,22.24,61.948,46.043,8.553,6.087,166.325,378.88,85.795,115.328,7.752,3.069,26.857,1064.382,80.689,39.638,4678.162,547.154,44.594,3.511,0.854,29.477,4.615,4.726,2.303,6.769,2.132,5.515,111.575,48.593,72.924,103.608,36.009,19.141,34.848,216.343,0,255.31,0.009,0.184,61.146,2.622,20.173,22.345,798.901,-2060.44,10325.312
"TTL_C17_18",14.102,1.055,0.002,0,0.019,0.1,7.264,0.099,202.729,15.354,45.884,1045.471,40.491,62.416,92.77,121.438,38.052,4.741,2.918,55.184,276.94,78.221,73.461,6.541,0.15,9.31,69.207,122.245,48.56,68.021,2557.064,53.437,19.931,10.139,30.417,103.787,40.035,1021.478,75.315,14.28,175.713,37.667,264.609,399.902,236.018,60.706,74.39,63.059,66.159,0,692.343,0.073,0.761,25.287,8.561,66.66,61.307,1909.893,-2617.731,7954.002
"TTL_C19",46.441,15.511,0.013,0,0.015,0.077,5.694,0.058,12.074,1.11,1.931,2.734,69.987,70.832,15.516,10.889,10.044,6.018,2.415,5.953,8.784,7.917,6.814,0.529,0.056,2.149,6.315,251.86,4.036,89.723,726.938,1180.069,1191.871,637.283,154.12,76.773,8.521,1.314,3.807,4.162,7.475,1.38,25.266,41.154,122.468,21.892,7.202,23.307,6.465,0,1685.508,0.025,0.55,15.497,1.677,126.89,0.036,694.85,-5537.016,1884.978
"TTL_C20",221.669,3.763,0.009,0,0.434,2.419,119.166,1.297,495.995,80.817,151.531,252.38,284.114,6013.528,1829.471,1799.378,330.118,121.564,110.377,324.524,664.874,889.042,220.45,22.55,1.769,38.555,271.683,1176.521,111.925,1000.886,4777.109,321.83,338.219,119.892,296.022,3.346,202.63,15.117,3.312,16.252,18.419,31.024,251.186,201.361,261.716,22.495,188.302,122.777,109.644,0,1412.701,0.049,2.847,118.675,11.612,55.243,33.045,6960.818,-4722.761,27713.691
"TTL_C21",308.509,0.262,0.006,0,0.006,0.036,1.822,0.025,239.683,6.29,7.492,7.561,186.069,2141.627,29005.512,29.022,8.011,2.711,2.264,10.883,683.804,14.876,12.308,1.855,0.114,5.509,13.062,23.302,12.908,21.884,1236.983,41.42,9.383,3.494,5.781,0.575,16.178,1.652,1.327,9.659,33.993,8.428,436.825,93.454,2789.653,11.848,7243.344,7.566,14.254,0,7544.05,0.163,9.53,381.974,107.753,41.675,53.533,38426.503,-10493.164,80785.246
"TTL_C22",31.358,0.836,0.009,0,0.018,0.133,8.22,0.169,280.816,16.494,56.408,61.5,4.836,188.862,139.301,470.955,111.191,3.506,3.007,133.555,818.562,170.129,483.316,45.161,0.533,34.113,179.08,118.926,37.795,1380.839,1282.615,342.992,4.674,1.65,38.346,9.166,17.272,6.295,6.939,3.468,3.899,22.208,72.232,71.039,88.74,6.454,42.121,8.911,17.113,0,1350.312,0.024,1.083,153.413,14.545,4.962,1.505,6050.068,-5491.636,8910.037
"TTL_C23",34.259,2.451,0.036,0,0.151,0.848,69.804,0.838,143.869,2.941,51.297,6.871,4.877,301.113,139.369,9.86,851.493,21.874,9.677,56.791,285.19,126.145,106.314,22.476,0.372,9.046,78.752,83.662,126.289,5698.116,262.99,132.114,20.875,2.614,30.711,3.822,6.13,1.599,20.063,3.561,3.381,16.869,56.827,52.112,142.321,5.204,21.566,23.157,17.788,0,371.334,0.023,0.551,82.376,2.839,3.821,1.801,1535.21,-2595.133,8471.306
"TTL_C24A",0.697,0.079,0,0,0.048,0.226,5.667,0.21,3.368,1.2,6.024,2.316,0.043,29.454,4.097,4.759,18.69,442.419,30.238,1310.486,139.37,301.78,862.733,34.361,2.103,62.07,219.284,62.177,115.454,540.909,149.933,33.839,0.211,0.068,18.242,0.125,0.117,0.075,1.615,0.533,0.053,0.533,28.432,14.462,22.169,0.398,0.799,0.16,3.55,0,1.931,0.001,6.077,8.03,0.074,0.563,0,1193.321,-2340.934,3344.639
"TTL_C24B",0.211,0.022,0,0,0.002,0.025,0.46,0.008,2.123,0.355,1.396,1.364,0.047,13.158,3.396,1.527,2.368,130.838,567.85,178.571,88.026,213.023,102.481,5.476,0.153,8.824,73.757,11.542,20.984,39.435,47.713,8.37,0.213,0.082,1.937,0.022,0.137,0.07,0.885,0.251,0.057,0.176,7.223,1.784,5.379,0.093,0.304,0.127,0.822,0,67.291,0.001,0.046,44.462,0.456,1.09,0.036,2216.363,-1365.209,2507.602
"TTL_C25",70.17,11.211,0.006,0,0.142,0.76,45.373,0.902,324.38,20.435,201.363,62.702,1.453,106.551,61.603,133.865,86.208,45.063,25.335,3832.549,2464.484,1465.024,3299.362,286.523,18.699,589.141,898.786,213.057,154.797,4062.264,1412.242,247.232,51.852,2.555,239.648,23.733,102.675,15.801,18.88,13.831,14.492,167.636,167.268,108.798,218.834,28.304,41.83,11.943,46.326,0,1195.257,0.042,1.564,290.228,7.302,7.143,0.395,6056.009,-5528.621,23445.408
"TTL_C26",16.501,1.202,0.025,0,0.026,0.108,7.457,0.157,73.954,13.362,42.347,21.935,2.271,109.508,175.951,26.365,10.853,9.157,5.023,327.814,12148.692,2295.597,1164.865,36.818,6.217,177.35,554.871,482.999,71.905,468.855,5983.016,185.224,241.774,9.791,43.874,70.048,16.407,35.387,756.698,377.852,97.029,30.343,729.76,314.487,632.201,72.98,111.599,168.83,192.47,0,4027.498,0.303,226.369,17211.712,217.08,41.922,108.473,32150.495,-12866.547,69439.261
"TTL_C27",41.578,1.604,0.008,0,0.02,0.096,6.455,0.118,41.533,2.657,8.894,6.475,0.768,47.099,43.792,7.812,5.214,10.765,8.862,70.794,1991.615,1374.621,728.952,47.529,1.239,51.781,242.856,1274.06,16.855,1553.752,765.936,267.902,25.951,4.684,59.122,14.219,6.725,4.064,30.026,19.222,9.408,27.253,80.174,25.829,56.631,4.176,16.763,13.286,64.96,0,1367.013,0.06,3.445,6620.622,77.494,22.937,30.983,11473.033,-8234.212,20445.512
"TTL_C28",66.774,3.92,0.014,0,0.103,0.447,28.777,0.55,85.241,6.719,31.412,33.29,1.627,39.836,80.233,19.339,19.968,7.146,4.088,94.857,1201.517,265.343,2485.945,35.473,2.163,68.171,164.801,76.879,43.71,444.698,538.919,72.829,24.849,7.766,11.388,4.286,11.318,5.749,10.364,18.161,10.579,36.137,86.402,23.792,44.334,3.57,26.498,13.295,13.577,0,434.276,0.085,8.848,13168.999,142.731,7.949,1.653,21894.359,-8889.503,33046.252
"TTL_C29",4.383,0.312,0.001,0,0.006,0.032,2.119,0.044,18.952,3.755,11.623,5.865,0.468,10.907,33.723,6.386,3.481,1.371,1.167,47.198,73.678,91.052,432.058,82.388,0.248,12.871,43.933,19.302,20.391,49.661,608.706,252.261,7.865,1.74,62.918,1.559,2.194,3.632,1.925,11.007,6.275,5.993,117.456,17.299,16.522,1.28,2.776,9.956,5.113,0,6186.779,0.14,11.294,6532.266,67.381,32.827,3.254,1129.563,-13885.165,2192.191
"TTL_C301",0.043,0.008,0.002,0,0,0,0.019,0,0.098,0.017,0.034,0.02,0.003,0.045,0.179,0.027,0.022,0.018,0.009,0.329,1.202,0.291,0.573,0.054,0.713,3.004,0.586,0.529,0.095,0.472,0.718,0.291,14.852,2.579,0.053,0.014,0.035,0.022,0.049,0.099,0.185,0.135,0.592,0.322,1.79,0.016,0.06,0.148,0.065,0,32.661,0.001,0.038,244.029,2.675,0.151,0.018,14.006,-164.201,159.796
