"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",1202.333,2.973,0.05,0,0,0.003,0.051,0.008,5763.754,37.924,4.114,0.713,0.826,7.218,4.053,11.287,6.37,7.393,5.479,2.17,1.708,0.972,1.783,0.154,0.003,0.215,1.852,32.473,20.176,5.231,122.921,1.133,6.975,0.465,83.722,0.52,311.816,0.671,0.968,1.435,14.933,123.199,4.792,2.987,102.964,14.571,33.423,55.775,3.727,0,5606.728,0.047,5.501,249.903,-0.291,89.019,122.671,153.825,-3360.263,10875.423
"TTL_A02",43.521,360.979,0.004,0,0,0.171,2.873,0.249,12.845,0.081,55.2,94.102,2.667,14.698,4.761,0.744,5.712,2.521,4.756,7.811,4.161,1.365,1.442,0.026,0.007,0.214,14.045,0.808,0.143,53.234,62.789,0.693,0.136,0.144,0.187,0.076,5.422,0.149,0.073,0.173,0.252,0.358,0.386,0.331,61.408,0.793,0.767,0.726,0.254,0,137.836,0.001,0.109,1.139,0.353,2.349,0.885,69.549,-70.818,965.659
"TTL_A03",0.656,0.002,0.345,0,0,0.001,0.019,0.002,7.32,0.022,0.03,0.037,0.033,1.887,0.971,0.012,0.037,0.024,0.013,0.148,0.394,0.058,0.128,0.004,0,0.013,0.713,0.1,0.027,0.209,1.573,0.037,0.089,0.028,0.025,0.02,5.064,0.07,0.03,0.057,0.047,0.023,0.665,0.125,0.712,0.045,0.901,1.183,0.26,0,83.256,0,0.453,3.353,0.002,5.373,1.442,11.969,-96.99,33.014
"TTL_B05",0.131,0.003,0,0,0,0.005,0.068,0.009,0.262,0.123,0.064,0.358,198.219,24.212,0.177,0.088,3.882,1.244,0.297,0.425,0.259,0.068,0.112,0.005,0,0.046,0.087,3.664,0.159,9.385,1.039,0.301,0.604,0.041,0.228,0.039,0.184,0.016,0.04,0.058,0.563,0.043,0.174,0.152,1.183,0.109,0.259,0.254,0.224,0,145.978,0,0.013,0.656,0,0.341,0,0,-395.855,0
"TTL_B06",0.588,0.022,0.002,0,0,0.042,0.522,0.115,0.949,0.493,0.151,1.342,224.4,1237.392,1.34,0.396,14.604,2.016,1.15,2.884,1.728,0.333,1.721,0.071,0.003,0.276,1.128,2.472,0.633,44.872,7.122,1.077,4.685,0.552,0.224,0.332,0.658,0.149,0.192,0.408,1.608,0.457,2.63,2.62,4.53,0.376,0.96,1.524,0.917,0,486.04,0.003,18.715,25.643,0,3.24,0,0,-2106.31,0
"TTL_B07",0.474,0.011,0.001,0,0,0.095,0.493,0.091,0.504,0.156,0.073,0.809,72.063,399.572,0.317,0.277,3.099,11.765,14.515,4.856,2.098,1.115,0.659,0.025,0.003,0.289,0.554,0.302,0.392,39.112,3.215,0.354,1.568,0.147,0.07,0.109,0.426,0.086,0.09,0.194,1.428,0.366,0.87,1.131,2.476,0.193,0.435,0.588,0.784,0,1.646,0.002,0.037,0.681,0.007,0.559,0.056,12.357,-440.568,143.03
"TTL_B08",1.313,0.022,0.005,0,0,0.072,3.419,0.178,2.586,0.79,0.25,2.58,257.146,1418.38,1.164,0.896,94.711,4.392,2.1,5.896,2.72,0.853,0.809,0.06,0.005,0.342,1.328,0.601,2.032,353.368,9.238,0.874,3.136,0.151,0.149,0.166,1.43,0.083,0.138,0.169,1.49,0.17,0.683,1.774,8.331,0.421,1.13,1.946,1.438,0,112.259,0.001,0.034,5.146,0,0.634,0.027,18.361,-768.998,1558.397
"TTL_B09",0.131,0.008,0.001,0,0,0.012,0.115,0.057,0.293,0.03,0.086,0.249,6.892,37.924,0.246,0.069,0.526,0.036,0.031,0.528,0.367,0.166,0.39,0.019,0.001,0.066,0.329,0.508,0.082,5.536,1.968,0.578,0.515,0.451,0.125,0.074,0.148,0.114,0.133,0.39,0.86,0.39,1.003,0.526,1.026,0.07,0.271,0.132,0.163,0,3.367,0.001,7.065,211.707,0,0.369,0.057,3.034,-39.404,249.829
"TTL_C10T12",940.039,0.703,2.017,0,0,0.011,0.155,0.026,7917,44.145,2.281,25.232,1.483,227.727,265.587,5.316,1.339,0.391,0.315,3.157,7.138,4.097,11.72,0.755,0.007,0.547,5.529,11.633,4.622,27.096,869.644,2.287,21.152,1.701,1.242,2.432,4828.975,11.144,2.377,62.588,6.791,1.992,51.024,30.88,538.639,225.256,811.168,191.934,81.486,0,21004.253,0.025,1.68,26.529,20.354,327.116,387.703,7269.969,-8160.767,38129.641
"TTL_C13T15",8.344,0.089,0.026,0,0,0.042,0.501,0.108,27.499,584.989,2.182,30.284,41.748,359.568,39.901,29.888,3.591,3.473,3.3,13.709,43.827,22.086,43.672,2.42,0.154,12.908,82.831,3.473,1.318,167.001,456.649,2.844,2.816,0.836,29.247,18.943,36.956,4.294,1.057,1.623,9.097,4.891,27.784,18.073,21.141,20.781,25.89,10.348,16.745,0,4972.837,0.079,0.417,50.404,4.096,142.976,26.268,2533.428,-6358.345,3611.104
"TTL_C16",24.188,5.372,0.097,0,0,0.118,1.911,0.271,112.868,3.965,2630.119,276.437,0.695,5.929,9.256,7.17,62.605,5.228,4.957,203.692,150.44,53.49,75.391,3.462,3.92,112.21,1094.308,7.085,27.874,3695.359,257.682,89.966,2.13,0.552,76.273,0.723,10.168,2.347,2.316,3.87,42.664,173.098,14.475,12.36,133.766,16.548,15.3,96.589,6.984,0,488.389,0.125,0.42,26.116,2.625,13.672,17.555,801.764,-1878.952,9007.945
"TTL_C17_18",8.759,0.227,0.025,0,0,0.983,20.946,1.934,278.641,27.346,23.316,1094.33,5.009,39.747,59.088,26.7,58.241,1.68,1.9,61.584,120.711,110.337,114.878,2.076,0.051,5.917,36.741,69.135,8.937,69.373,2111.624,19.887,41.584,5.302,1.823,40.955,21.86,464.569,105.616,71.878,108.235,46.634,962.325,706.634,168.47,15.812,41.317,31.16,126.097,0,2552.315,1.632,2.445,25.833,10.737,43.058,50.238,2564.72,-3013.83,9577.541
"TTL_C19",72.347,8.741,0.289,0,0,0.14,2.82,0.223,10.422,6.754,1.905,9.063,1437.371,1190.685,61.749,9.275,6.484,2.886,1.069,7.391,9.72,6.46,10.257,0.459,0.029,2.577,85.18,115.206,1.744,101.06,205.533,405.782,3075.852,349.05,2.795,136.371,8.809,2.814,27.768,3.472,33.137,2.917,65.96,932.654,47.862,63.233,8.069,75.888,15.084,0,1497.007,0.027,1.901,29.536,2.25,86.58,0.015,725.788,-6467.194,4501.265
"TTL_C20",548.111,3.349,0.04,0,0,1.308,17.755,1.75,148.215,306.85,163.394,605.89,196.622,5695.584,1189.944,2029.432,309.694,15.031,15.237,493.691,706.123,676.779,453.979,23.755,0.321,16.028,117.071,887.557,18.976,1723.085,2556.283,29.59,179.809,15.757,361.444,10.363,336.159,40.108,45.769,78.646,44.606,7.013,209.934,347.414,152.347,99.776,125.358,134.97,124.932,0,1293.745,0.036,6.509,74.346,11.145,38.989,33.199,7207.568,-3848.192,26083.193
"TTL_C21",331.742,0.075,0.005,0,0,23.365,192.798,25.955,514.805,16.8,2.567,287.807,274.983,35.862,19268.528,87.743,3.003,325.308,372.922,6.323,33.946,10.369,22.238,0.595,3.362,354.735,710.055,7.598,198.978,19.979,702.442,169.657,3.134,1.705,4.012,1.336,67.235,218.491,5.108,3.957,105.546,88.119,4612.371,714.229,2277.884,31.1,3872.915,528.934,1566.922,0,4593.719,0.091,17.093,150.796,55.8,25.746,40.766,24442.341,-7852.02,59581.875
