"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",805.117,15.467,0.107,0,0,0.017,0.22,0.025,3737.26,24.484,7.344,4.866,0.636,19.451,5.311,11.07,0.555,0.158,0.127,1.195,1.364,0.86,2.118,0.076,0.004,0.211,4.641,9.015,1.298,18.601,294.243,4.805,10.968,0.464,2.441,0.649,299.558,2.023,0.915,1.541,2.504,10.111,12.005,10.965,46.454,6.473,23.187,14.394,14.693,0,3964.831,0.043,2.725,163.871,-0.229,61.329,84.989,79.599,-1892.943,7894.205
"TTL_A02",9.303,97.746,0.009,0,0,0.029,0.225,0.011,12.957,0.211,210.67,30.701,0.136,2.604,0.531,1.958,0.442,0.091,0.111,0.591,0.315,0.207,0.708,0.019,0.002,0.039,9.017,7.216,0.097,9.423,13.132,0.891,0.535,0.111,0.42,0.193,5.823,0.18,0.109,0.184,0.238,1.99,0.697,0.649,2.973,0.416,0.442,0.412,0.759,0,93.071,0.001,0.081,0.644,0.299,1.341,0.844,115.195,-43.316,593.681
"TTL_A03",0.196,0.007,0.024,0,0,0,0.006,0.001,7.203,0.011,0.02,0.028,0.027,0.076,0.061,0.013,0.018,0.008,0.005,0.035,0.116,0.053,0.083,0.004,0,0.009,0.043,0.092,0.01,0.112,1.055,0.084,0.745,0.018,0.047,0.032,2.541,0.04,0.054,0.143,0.13,0.034,0.297,0.093,0.18,0.036,0.099,0.058,0.084,0,50.526,0,0.198,1.693,-0.004,3.509,1.13,7.939,-51.999,27.025
"TTL_B05",0.274,0.012,0,0,0,0.01,0.126,0.009,0.25,0.033,0.08,0.256,8.308,0.913,0.03,0.033,1.458,2.864,0.537,0.144,0.069,0.054,0.173,0.004,0,0.014,0.066,108.411,0.047,0.529,0.556,0.104,0.04,0.008,0.019,0.019,0.108,0.012,0.019,0.027,0.186,0.126,0.114,0.055,0.478,0.087,0.042,0.037,0.086,0,91.13,0,0.004,0.273,0,0.076,0,0,-218.31,0
"TTL_B06",0.566,0.028,0.001,0,0,0.058,0.453,0.219,2.27,0.198,0.216,0.936,520.11,11.38,0.472,0.441,3.189,1.678,1.115,0.975,0.975,0.909,2.824,0.056,0.003,0.126,0.701,397.718,0.326,2.879,6.608,1.536,0.914,0.228,0.364,0.196,0.709,0.151,0.186,0.249,0.457,0.664,1.119,0.579,1.208,0.294,0.41,0.301,0.467,0,338.47,0.002,13.703,17.604,0,0.929,0,0,-1338.167,0
"TTL_B07",0.417,0.015,0.001,0,0,3.423,2.219,0.811,2.002,0.034,0.062,0.243,17.992,32.241,0.743,0.299,10.258,106.408,127.984,13.235,2.542,4.922,10.138,0.097,0.004,0.266,1.399,32.75,0.695,20.986,3.366,0.651,0.179,0.072,0.264,0.077,0.646,0.083,0.102,0.162,0.311,0.837,1.65,0.563,0.415,0.049,0.086,0.389,0.507,0,1.453,0.001,0.021,0.509,0,0.264,0.058,31.94,-344.612,92.23
"TTL_B08",9.013,0.294,0.027,0,0,0.521,53.932,0.811,17.712,0.365,0.604,5.881,10.994,117.473,2.793,1.651,297.681,15.423,10.522,6.232,2.985,5.388,9.819,0.073,0.005,0.183,11.145,52.751,6.799,516.072,16.393,5.043,0.48,0.055,2.654,0.129,3.317,0.227,0.163,0.394,0.378,11.396,3.803,1.633,12.182,0.253,0.432,1.417,1.568,0,74.351,0.003,0.049,1.302,0.049,0.23,0.028,54.712,-344.984,1004.807
"TTL_B09",0.14,0.016,0.001,0,0,0.157,1.004,0.247,0.279,0.013,0.03,0.092,11.456,0.749,0.068,0.058,0.607,0.041,0.039,0.156,0.195,0.107,0.254,0.007,0,0.025,0.209,6.18,0.095,5.268,1.531,0.543,0.534,0.237,0.256,0.083,0.141,0.079,0.168,0.233,0.348,1.105,0.639,0.373,0.302,0.036,0.056,0.117,0.138,0,3.125,0,4.81,120.24,0,0.185,0.059,14.84,-17.03,160.64
"TTL_C10T12",738.592,2.11,0.725,0,0,0.057,0.897,0.12,4789.581,13.598,2.239,14.469,5.196,93.492,32.355,4.483,2.959,0.86,0.966,6.271,12.059,6.272,13.703,0.306,0.014,0.806,7.25,25.72,4.152,16.664,715.311,16.323,107.602,14.018,12.471,6.007,2859.067,12.632,12.847,23.649,34.749,17.137,66.71,42.824,184.97,50.137,130.554,80.877,83.057,0,14374.27,0.024,1.624,21.832,8.338,221.252,286.194,3106.267,-4231.435,24055.226
"TTL_C13T15",10.8,1.194,0.296,0,0,0.079,1.226,0.174,20.453,508.309,6.911,33.201,1.883,25.716,6.23,40.625,9.103,0.959,0.996,14.489,26.891,15.605,29.161,6.168,0.127,5.432,131.766,11.672,5.952,83.627,294.98,14.773,30.831,3.536,6.154,8.841,66.686,10.602,4.193,6.096,10.284,14.472,36.055,26.765,81.997,7.724,33.688,28.139,45.781,0,3351.939,0.06,0.254,17.734,2.158,114.185,22.643,1609.632,-4355.177,2494.069
"TTL_C16",27.88,9.342,0.097,0,0,0.44,4.979,0.736,70.698,4.301,1297.421,98.002,2.782,26.183,7.74,15.132,37.645,5.03,5.82,66.222,38.734,45.057,75.471,5.698,0.732,11.465,716.47,72.76,6.44,1788.942,325.176,23.496,9.602,1.458,19.848,5.358,25.386,15.82,6.442,9.926,11.028,507.056,53.569,35.243,29.965,8.464,7.366,23.684,42.559,0,325.481,0.078,0.264,17.74,1.308,10.415,12.069,425.358,-974.636,5421.74
"TTL_C17_18",12.735,1.681,0.047,0,0,0.194,2.982,0.193,261.121,10.301,19.786,1313.191,8.337,66.36,31.528,20.883,28.042,2.829,2.815,31.679,85.49,50.096,63.03,1.905,0.06,4.419,40.409,56.447,13.127,55.213,1073.796,39.367,27.232,10.085,25.853,70.214,66.786,677.697,77.456,144.366,439.892,65.292,423.531,225.204,248.593,64.086,35.543,98.229,169.949,0,1845.564,0.668,1.931,19.441,8.911,27.347,34.095,1705,-1988.945,7822.08
"TTL_C19",54.7,10.948,0.292,0,0,1.038,12.394,1.351,36.768,2.925,8.499,12.951,230.248,138.513,5.491,9.328,23.238,16.163,5.892,18.047,16.324,17.16,29.06,1.034,0.053,2.897,19.61,485.198,21.64,138.98,382.202,512.057,505.921,198.802,36.807,34.301,26.939,6.479,14.479,15.263,38.371,32.347,52.343,57.019,93.117,9.719,14.669,15.582,22.554,0,1092.94,0.01,1.164,14.931,0.948,32.495,24.697,260.925,-2058.565,2759.258
"TTL_C20",488.429,13.503,0.147,0,0,2.739,27.196,2.967,247.112,98.826,121.106,442.588,299.668,3080.974,310.233,823.939,152.067,31.307,35.098,256.495,329.75,333.808,342.143,13.531,0.785,19.127,194.691,186.134,56.05,427.739,580.974,53.629,49.899,10.474,18.989,9.901,83.748,70.722,11.704,40.273,42.492,260.969,226.987,126.491,146.91,26.612,150.901,55.17,143.672,0,819.314,0.026,5.623,47.367,11.968,21.531,18.045,5633.983,-2509.327,14497.203
"TTL_C21",648.972,2.844,0.441,0,0,6.216,51.304,2.537,757.642,81.389,16.83,76.226,61.899,1781.435,10421.859,98.159,12.78,38.646,52.169,39.201,124.74,28.014,115.425,4.048,0.673,43.441,68.937,124.461,87.519,89.561,1121.65,38.195,67.744,11.313,16.508,36.634,132.108,43.268,13.356,48.467,66.542,43.512,1128.384,198.487,1266.594,114.547,4004.079,125.329,223.451,0,2785.072,0.086,8.098,54.038,13.441,16.129,25.248,8907.713,-5002.581,30344.779
"TTL_C22",28.482,3.41,0.117,0,0,0.443,7.004,1.386,257.721,20.851,28.505,95.803,16.872,139.282,35.777,238.609,28.306,5.57,5.106,108.523,269.509,232.707,312.066,28.543,0.35,26.212,127.114,57.988,24.029,492.595,722.085,165.971,25.211,10.193,20.732,16.58,29.885,16.96,15.409,18.805,23.957,100.603,77.61,49.425,51.733,5.122,16.833,14.559,29.452,0,676.372,0.01,0.4,63.946,5.098,2.331,0.343,2312.667,-2504.663,4560.512
"TTL_C23",16.405,0.711,0.02,0,0,0.346,9.378,1.007,84.702,2.382,19.918,5.135,5.961,41.96,17.479,16.123,389.213,16.771,9.023,61.764,109.775,68.009,79.047,6.365,0.187,4.742,37.113,51.59,12.228,2520.791,150.124,16.141,11.984,2.286,5.445,1.818,30.512,3.683,6.763,4.339,7.743,391.125,40.388,13.233,32.84,4.69,9.498,9.419,17.291,0,329.196,0.21,0.374,57.756,0.136,1.152,0.47,614.982,-1251.605,4100.141
"TTL_C24A",1.464,0.314,0.004,0,0,0.392,1.454,0.898,3.167,0.413,2.666,2.343,2.256,4.978,0.475,5.89,13.177,216.086,13.834,599.429,74.565,146.765,532.695,18.133,0.695,22.006,51.873,26.333,14.38,276.77,41.129,7.313,2.957,0.344,2.004,0.29,0.572,0.717,1.144,0.702,0.356,9.677,8.937,3.471,2.743,0.314,0.301,0.738,1.248,0,2.797,0.001,5.653,3.055,0.158,0.116,0.002,751.889,-870.316,2011.766
