"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",813.176,23.169,0.14,0,0,0.024,0.34,0.037,5170.96,24.996,4.078,3.019,0.63,50.181,16.447,13.352,0.64,0.144,0.088,1.702,1.866,1.317,2.242,0.177,0.005,0.281,5.86,9.371,1.487,18.205,324.816,6.47,12.076,0.785,3.971,0.644,416.891,2.056,0.947,2.272,3.445,6.94,20.692,23.859,39.824,6.807,25.574,16.841,21.202,0,5504.069,0.045,22.803,230.653,-1.229,89.451,135.648,118.308,-2977.537,10222.26
"TTL_A02",11.328,142.307,0.008,0,0,0.03,0.433,0.018,26.41,0.339,384.597,37.745,0.18,5.449,1.773,2.679,0.646,0.089,0.081,0.79,0.738,0.532,0.887,0.065,0.007,0.13,12.948,14.363,0.268,22.272,27.837,1.725,0.928,0.23,0.802,0.408,9.448,0.639,0.212,0.497,0.825,4.93,2.498,2.479,5.103,0.472,0.892,1.059,1.896,0,145.24,0.004,0.122,8.058,0.416,2.069,1.046,72.726,-81.645,878.027
"TTL_A03",0.286,0.013,0.045,0,0,0.001,0.014,0.002,17.09,0.017,0.038,0.033,0.042,0.154,0.138,0.018,0.03,0.009,0.006,0.052,0.168,0.081,0.089,0.007,0,0.016,0.07,0.13,0.016,0.177,1.379,0.199,1.422,0.033,0.113,0.05,4.89,0.056,0.044,0.108,0.137,0.052,0.546,0.17,0.255,0.063,0.16,0.11,0.126,0,76.286,0,1.113,2.18,-0.031,5.329,1.463,9.489,-88.569,35.917
"TTL_B05",0.314,0.014,0,0,0,0.023,0.273,0.032,0.717,0.048,0.131,0.274,19.353,1.664,0.081,0.06,2.081,2.505,0.341,0.252,0.202,0.132,0.266,0.014,0.001,0.043,0.124,186.425,0.124,0.834,1.183,0.3,0.154,0.055,0.125,0.051,0.214,0.032,0.058,0.119,0.202,0.317,0.359,0.187,0.56,0.107,0.076,0.106,0.257,0,147.043,0,0.032,0.659,0,0.211,0,0,-368.73,0
"TTL_B06",0.812,0.034,0.001,0,0,0.127,1.511,0.423,4.943,0.226,0.389,1.159,923.4,27.294,1.059,0.671,4.244,2.787,1.492,1.433,1.422,1.065,2.616,0.112,0.006,0.417,0.805,660.354,0.653,4.423,12.803,3.822,2.819,0.759,1.289,0.525,1.514,0.242,0.33,0.602,1.159,1.884,3.689,1.616,1.775,0.45,0.525,0.737,1.047,0,535.017,0.002,18.65,16.657,0,3.168,0,0,-2254.96,0
"TTL_B07",0.497,0.042,0,0,0,5.326,7.99,1.325,4.848,0.082,0.231,0.722,39.387,63.678,1.618,0.629,25.68,123.513,157.44,34.39,14.276,31.07,18.883,0.997,0.038,2.189,7.429,47.093,1.94,43.088,6.652,1.256,0.489,0.175,0.75,0.163,0.834,0.182,0.219,0.291,0.499,1.006,3.261,1.295,0.827,0.07,0.171,0.625,0.828,0,2.514,0.002,0.057,1.114,0,0.716,0.056,7.633,-515.332,150.751
"TTL_B08",11.053,0.655,0.02,0,0,0.833,96.013,3.24,20.915,0.628,1.302,7.644,48.269,264.76,6.263,2.368,480.469,28.153,15.748,13.219,7.185,9.181,13.932,0.294,0.018,0.59,15.989,164.239,8.515,850.981,26.941,8.618,1.304,0.168,4.895,0.37,4.37,0.271,0.295,0.582,0.501,20.246,7.218,4.386,15.647,0.466,0.675,2.791,2.624,0,118.206,0.001,0.076,4.826,0,0.611,0.025,13.362,-649.911,1662.036
"TTL_B09",0.205,0.023,0.001,0,0,0.317,2.293,0.739,0.501,0.023,0.088,0.205,12.92,0.924,0.18,0.081,0.826,0.269,0.249,0.341,0.418,0.21,0.496,0.02,0.001,0.082,0.327,14.553,0.197,8.576,2.551,0.985,1.299,0.552,0.53,0.148,0.239,0.151,0.276,0.567,0.757,0.643,1.756,0.927,0.711,0.076,0.104,0.213,0.222,0,4.089,0.001,5.951,198.475,0,0.456,0.056,1.61,-37.725,230.684
"TTL_C10T12",938.314,2.662,1.145,0,0,0.111,1.811,0.217,8768.687,19.299,4.582,14.699,7.196,223.905,77.184,5.826,3.762,0.863,0.863,9.25,17.677,9.722,17.465,0.574,0.028,1.645,10.687,46.704,7.791,31.753,939.507,31.409,184.554,25.06,22.416,8.174,4230.686,20.347,15.211,35.413,54.422,28.801,115.044,75.287,246.154,74.481,196.162,148.209,149.697,0,21157.988,0.027,3.577,35.765,15.942,332.093,422.53,6221.238,-6795.303,38219.314
"TTL_C13T15",7.665,1.46,0.231,0,0,0.129,1.581,0.206,21.941,515.315,9.285,26.04,2.25,27.62,11.443,32.479,9.482,1.214,0.902,15.026,28.167,15.855,26.494,8.217,0.162,8.114,128.749,15.332,7.455,66.567,257.321,21.395,41.876,4.523,10.623,11.272,60.771,11.197,5.395,7.506,14.085,21.245,54.392,41.47,81.714,6.945,29.701,33.694,52.445,0,4544.113,0.068,0.689,39.715,-0.534,147.864,31.18,1609.39,-5192.137,2937.299
"TTL_C16",32.59,12.605,0.108,0,0,0.841,9.414,1.006,102.659,5.918,2172.16,103.179,2.373,55.836,20.739,23.698,43.963,5.038,4.238,87.537,71.615,74.328,89.186,11.19,1.52,26.89,969.274,153.075,10.83,2703.274,526.101,35.114,19.466,2.746,41.066,7.893,32.047,19.448,7.958,12.986,15.609,748.489,104.49,69.875,44.548,12.929,11.543,28.564,58.099,0,900.475,0.217,0.629,34.145,2.067,13.554,17.58,710.903,-1593.647,8679.979
"TTL_C17_18",12.895,1.264,0.042,0,0,0.228,3.691,0.264,354.52,11.975,29.325,1211.925,7.812,95.386,70.706,27.168,31.772,2.428,2.23,33.664,98.432,65.003,63.381,3.301,0.094,7.256,48.251,56.645,14.312,55.847,1082.236,44.432,36.248,11.41,36.742,62.522,72.071,568.296,70.23,186.073,475.017,51.76,539.234,288.683,247.127,62.38,37.315,93.699,162.99,0,2534.362,2.327,3.835,24.072,6.978,42.758,50.442,1774.679,-2523.303,8354.432
"TTL_C19",62.74,11.85,0.359,0,0,1.595,20.432,2.061,57.237,4.016,13.489,13.99,375.317,217.722,15.211,13.786,37.297,16.709,4.749,24.978,30.266,27.373,31.632,2.025,0.099,5.172,21.483,767.928,31.518,189.497,513.722,1005.511,1314.994,569.089,72.282,53.213,35.566,8.491,15.235,23.131,55.216,33.753,108.884,114.699,128.659,11.584,18.825,21.001,31.412,0,1769.814,0.019,4.087,25.245,0.557,80.368,29.907,391.877,-4028.262,4409.415
"TTL_C20",773.386,20.212,0.228,0,0,6,70.578,6.866,484.512,180.667,244.851,561.831,526.821,6984.917,1091.99,1464.45,242.482,51.015,45.917,408.173,745.064,621.82,488.334,38.933,2.027,60.24,363.071,498.295,119.719,755.436,1010.766,120.764,99.298,20.131,54.84,14.709,143.413,92.868,16.183,54.344,65.564,622.625,615.517,327.238,209.754,44.296,194.362,86.631,255.482,0,1393.681,0.03,20.282,65.462,12.777,40.204,35.01,6225.643,-3407.663,25292.045
"TTL_C21",1036.356,4.5,0.754,0,0,4.379,31.092,1.974,1029.878,43.755,19.654,49.077,32.156,2051.622,23037.671,125.378,13.378,15.923,17.097,35.603,108.022,38.941,125.544,6.279,0.443,31.393,89.689,151.511,56.24,116.77,1473.615,64.218,127.751,25.765,32.423,36.682,87.978,36.55,16.656,36.442,69.557,42.656,2022.494,173.815,1824.234,146.158,6747.625,255.888,481.472,0,4706.873,0.089,54.105,130.191,48.454,25.884,42.145,22844.827,-7863.157,61966.469
"TTL_C22",38.206,4.018,0.132,0,0,1.053,14.661,1.933,484.883,35.45,47.041,117.565,19.761,218.655,118.504,422.298,39.552,6.967,5.655,144.67,462.457,406.006,365.946,62.394,0.816,67.241,199.864,77.856,40.513,865.124,1144.953,381.478,50.183,24.789,50.604,28.965,49.724,23.218,16.186,27.56,39.419,202.459,146.881,101.528,72.582,9.248,24.968,21.784,43.564,0,881.253,0.011,2.408,103.709,7.735,3.423,0.689,3238.457,-4035.729,6931.273
"TTL_C23",17.811,1.185,0.024,0,0,0.705,21.586,1.791,138.338,3.666,26.852,6.95,10.672,82.889,56.288,23.714,642.175,20.65,8.386,88.037,198.452,116.921,94.137,13.366,0.537,14.448,51.61,98.315,18.789,3879.681,267.425,32.564,18.389,4.422,13.719,3.672,42.207,3.752,8.027,8.457,16.266,501.958,83.155,31.032,47.038,7.391,12.609,13.467,29.065,0,512.258,0.707,1.642,69.434,0.714,2.43,0.971,891.619,-1893.405,6368.96
