"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",881.491,4.215,0.354,0,0,0.086,1.21,0.316,4216.595,27.125,6.637,1.497,1.158,10.527,3.315,7.935,5.625,5.118,3.76,2.751,3.25,0.905,2.421,0.103,0.003,0.159,1.89,21.435,7.026,6.662,35.53,1.131,4.299,0.476,42.332,0.383,239.776,0.74,1.127,1.727,10.214,94.314,6.162,2.941,104.559,11.501,18.888,24.273,2.303,0,4580.033,0.061,3.153,201.003,-0.239,69.428,86.567,101.891,-2245.131,8623.008
"TTL_A02",203.859,126.645,0.03,0,0,0.002,0.041,0.006,5.445,1.169,25.789,56.848,0.097,0.569,0.253,0.193,1.61,0.118,0.176,2.919,0.757,0.818,0.769,0.016,0.002,0.043,6.708,1.382,0.09,29.052,15.49,2.837,0.189,0.239,1.928,0.083,5.075,0.164,0.103,0.173,0.306,2.168,0.406,0.392,18.693,0.294,2.8,0.777,0.406,0,109.634,0.001,0.088,0.777,0.498,1.244,0.698,119.417,-62.755,687.528
"TTL_A03",1.679,0.002,3.311,0,0,0.001,0.015,0.002,5.789,0.018,0.027,0.038,0.04,0.144,0.277,0.01,0.036,0.019,0.01,0.148,0.423,0.054,0.139,0.003,0,0.009,0.15,0.112,0.021,0.221,1.936,0.035,0.14,0.021,0.06,0.024,2.395,0.082,0.037,0.284,0.065,0.034,0.671,0.188,0.365,0.034,0.136,0.047,0.037,0,62.287,0,0.508,3.808,-0.015,4.426,1.055,5.979,-70.92,26.421
"TTL_B05",0.124,0.005,0,0,0,0.004,0.057,0.008,0.201,0.11,0.063,0.364,83.011,11.004,0.047,0.061,3.387,1.018,0.254,0.373,0.184,0.033,0.062,0.002,0,0.026,0.06,32.08,0.135,9.819,0.705,0.083,0.548,0.021,0.156,0.029,0.142,0.009,0.019,0.034,0.389,0.017,0.066,0.069,0.948,0.073,0.177,0.127,0.153,0,107.46,0,0.005,0.398,0,0.204,0,0,-254.325,0
"TTL_B06",0.513,0.024,0.001,0,0,0.028,0.419,0.097,0.922,0.446,0.103,1.412,121.11,680.371,0.405,0.316,13.38,1.438,0.832,2.576,1.112,0.237,1.449,0.047,0.002,0.156,0.813,125.014,0.94,53.069,5.436,0.505,2.324,0.262,0.153,0.181,0.612,0.101,0.143,0.278,1.164,0.208,0.704,1.154,3.289,0.255,0.734,0.815,0.65,0,380.462,0.001,15.285,17.07,0,2.334,0,0,-1441.351,0
"TTL_B07",0.515,0.017,0,0,0,0.092,0.546,0.112,0.567,0.183,0.064,1.052,46.751,262.83,0.117,0.267,2.794,10.097,12.509,4.055,1.117,0.172,0.218,0.009,0.002,0.191,0.304,70.149,0.605,50.163,3.237,0.367,2.091,0.187,0.046,0.143,0.561,0.092,0.1,0.226,1.483,0.339,0.613,1.256,2.618,0.207,0.424,0.363,0.732,0,1.576,0.001,0.049,0.699,0,0.512,0.048,10.734,-382.12,112.085
"TTL_B08",1.17,0.025,0,0,0,0.057,2.773,0.16,1.924,0.765,0.189,2.725,135.131,755.089,0.52,0.718,84.033,4.327,2.213,5.05,2.178,0.547,0.51,0.031,0.004,0.215,0.802,140.232,1.747,367.534,7.387,0.514,3.132,0.119,0.08,0.138,1.199,0.077,0.119,0.097,1.349,0.215,0.456,1.477,6.903,0.35,0.861,1.031,1.065,0,89.389,0.001,0.034,2.722,0,0.459,0.025,16.516,-423.682,1222.704
"TTL_B09",0.144,0.008,0,0,0,0.007,0.083,0.042,0.271,0.025,0.068,0.227,4.268,23.838,0.093,0.063,0.395,0.02,0.013,0.411,0.285,0.132,0.315,0.012,0.001,0.034,0.275,5.557,0.085,4.814,2.283,0.776,0.474,0.532,0.114,0.1,0.16,0.138,0.176,0.369,0.734,0.281,0.711,0.499,0.712,0.066,0.183,0.1,0.128,0,3.826,0.001,6.082,164.2,0,0.582,0.048,2.717,-32.9,194.576
"TTL_C10T12",773.507,2.211,0.039,0,0,0.011,0.156,0.03,5498.232,30.796,1.598,18.57,1.116,177.818,95.767,3.616,1.025,0.287,0.194,1.976,5.875,3.237,9.216,0.456,0.006,0.373,4.955,7.587,0.375,21.044,471.965,2.193,15.15,1.518,0.832,1.745,3467.563,8.025,1.98,45.059,5.097,1.642,27.567,20.712,254.512,163.379,429.668,72.736,39.401,0,17113.451,0.027,1.944,30.065,12.09,275.62,296.475,3967.248,-5302.847,28084.893
"TTL_C13T15",5.784,0.075,0.001,0,0,0.013,0.205,0.046,23.283,464.829,1.624,21.678,36.251,316.482,15.924,24.781,2.86,2.269,2.049,10.685,27.497,16.847,38.774,1.664,0.115,7.342,45.493,2.556,0.591,162.425,297.158,1.31,2.367,0.677,17.11,10.015,33.113,2.669,1.568,1.201,7.242,1.282,13.782,10.052,12.634,18.962,17.33,3.589,7.136,0,3737.909,0.08,1.874,23.872,2.074,129.953,18.861,1929.076,-4838.547,2696.489
