"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",1083.958,24.834,0.337,0,0.002,0.014,0.822,0.005,8326.559,17.238,5.074,2.98,0.105,177.38,62.793,25.43,1.306,0.41,0.271,3.169,4.541,2.535,4.506,0.427,0.007,1.121,9.246,28.103,3.648,32.793,337.398,11.964,14.392,2.461,5.696,1.02,217.716,1.772,1.991,4.845,12.12,8.391,58.902,30.197,77.511,6.696,43.225,20.08,21.745,0,3605.551,0.077,532.968,264.13,2.755,76.595,110.321,216.401,-3456.929,12049.603
"TTL_A02",11.272,164.479,0.011,0,0.001,0.012,0.598,0.001,33.123,0.243,399.62,29.236,0.027,17.807,3.374,6.739,1.179,0.11,0.12,1.025,0.758,0.712,0.895,0.076,0.003,0.202,14.935,24.652,0.429,41.254,30.671,2.436,0.961,0.167,1.255,0.243,4.224,0.256,0.202,0.491,0.693,12.938,4.024,1.797,6.939,0.84,2.106,1.577,1.823,0,141.673,0.006,0.106,60.494,0.11,0.891,0.598,51.687,-100.725,981.376
"TTL_A03",0.658,0.043,0.48,0,0,0,0.031,0,116.62,0.027,0.062,0.033,0.009,0.813,0.402,0.055,0.055,0.017,0.012,0.081,0.178,0.095,0.112,0.007,0,0.033,0.125,0.147,0.031,0.335,3.689,0.424,4.757,0.05,0.348,0.043,12.973,0.043,0.029,0.086,0.1,0.097,0.555,0.189,0.876,0.132,0.909,0.353,0.503,0,81.712,0,0.005,1.209,0.087,4.226,0.254,33.573,-209.566,58.118
"TTL_B05",0.175,0.007,0,0,0.001,0.005,0.279,0.002,0.687,0.015,0.073,0.128,0.626,1.894,0.08,0.051,2.145,2.507,0.352,0.094,0.088,0.066,0.094,0.004,0,0.026,0.062,88.977,0.065,1.252,0.663,0.221,0.08,0.028,0.066,0.015,0.053,0.013,0.027,0.18,0.13,0.11,0.283,0.075,0.456,0.047,0.057,0.042,0.08,0,115.48,0,0.004,0.649,0.119,0.318,0,0,-218.949,0
"TTL_B06",0.585,0.026,0.001,0,0.057,0.045,3.295,0.031,9.927,0.141,0.433,1.257,120.64,65.387,2.065,1.295,9.145,5.628,3.897,1.763,1.26,0.87,2.308,0.068,0.002,0.535,0.851,726.086,0.798,8.46,14.302,4.742,4.652,1.028,2.649,0.462,0.985,0.126,0.216,0.492,1.019,1.334,4.769,1.237,2.995,0.758,0.888,1.133,0.949,0,549.086,0.002,16.948,11.452,1.017,1.841,0.04,5.998,-1589.279,8.698
"TTL_B07",0.308,0.015,0,0,0.006,1.077,5.495,0.037,3.604,0.03,0.165,0.28,1.703,53.098,1.672,0.759,14.029,85.04,105.467,20.658,8.868,22.227,10.163,0.491,0.007,2.028,4.361,16.936,1.097,31.389,5.042,1.018,0.402,0.117,0.502,0.063,0.225,0.07,0.113,0.367,0.679,0.793,3.059,0.768,0.834,0.075,0.19,0.37,0.486,0,2.586,0.003,0.041,2.521,0.098,0.999,0.027,9.802,-375.038,47.219
"TTL_B08",12.792,0.44,0.022,0,0.031,0.288,121.813,0.15,26.735,0.294,0.884,4.58,6.137,411.432,10.463,3.736,554.59,35.663,20.335,11.25,3.665,9.705,7.421,0.182,0.004,0.677,7.206,123.311,8.812,1062.2,24.65,8.637,2.384,0.104,3.369,0.165,1.687,0.075,0.198,0.308,0.538,16.769,8.484,5.116,19.372,0.458,1.048,2.072,2.154,0,151.541,0.002,0.02,2.536,0.307,0.591,0.012,23.314,-326.343,2394.386
"TTL_B09",0.079,0.008,0,0,0.003,0.007,0.311,0.005,0.38,0.024,0.049,0.048,0.159,0.623,0.297,0.06,0.375,0.218,0.227,0.241,0.349,0.176,0.301,0.013,0,0.083,0.21,1.485,0.08,1.758,1.848,0.474,0.62,0.232,0.266,0.057,0.079,0.072,0.112,0.4,0.54,0.318,1.778,0.4,0.56,0.053,0.152,0.178,0.164,0,2.437,0.003,0.849,46.643,0.02,0.338,0.034,0.984,-27.407,39.769
"TTL_C10T12",2044.901,5.922,4.452,0,0.01,0.052,6.194,0.028,18474.498,20.01,6.95,25.098,1.947,1408.165,473.881,14.035,9.007,1.516,1.972,12.838,24.497,14.096,24.339,0.679,0.02,3.828,26.844,75.581,16.279,74.37,1763.027,60.726,333.397,45.657,48.595,6.319,4972.09,30.211,15.407,56.042,109.599,45.746,294.372,127.71,571.604,136.174,694.777,399.497,296.754,0,31935.797,0.052,0.875,38.795,18.661,241.378,314.935,7893.176,-10133.025,63090.359
"TTL_C13T15",25.013,3.775,0.422,0,0.027,0.123,7.215,0.067,98.978,832.295,20.361,52.41,0.812,137.497,99.092,116.534,30.812,5.287,3.31,46.314,75.339,43.595,64.985,16.209,0.184,32.514,404.633,52.485,34.907,228.984,892.265,48.395,69.721,20.033,38.556,22.544,91.316,14.335,9.728,21.52,42.33,37.729,258.332,144.187,404.892,22.936,172.469,181.416,163.567,0,6896.49,0.079,0.268,233.01,23.698,97.639,8.638,1818.018,-11128.325,3039.966
"TTL_C16",37.333,9.358,0.127,0,0.016,0.247,10.736,0.064,209.701,4.924,2444.733,89.599,0.401,172.636,58.277,52.881,83.72,8.28,7.36,102.99,58.654,82.762,77.294,8.454,0.573,25.987,1324.205,266.292,10.747,3429.767,586.916,39.247,18.438,2.595,47.867,3.078,24.787,7.161,4.417,13.501,13.641,657.577,119.294,53.43,43.562,9.604,23.333,32.942,58.878,0,499.569,0.01,0.171,41.908,1.256,10.36,12.172,896.963,-1959.024,9841.774
"TTL_C17_18",13.083,1.033,0.062,0,0.006,0.054,3.11,0.021,453.611,6.725,24.758,796.635,0.634,182.268,182.456,41.005,33.957,2.493,2.53,27.928,82.214,57.126,41.082,2.024,0.029,8.994,53.964,54.089,13.951,58.92,972.368,38.331,35.307,9.555,39.76,35.025,33.629,291.086,33.602,134.881,323.36,40.499,641.469,185.431,298.947,57.169,63.547,108.534,171.012,0,506.826,0.105,0.759,29.042,4.932,33.038,29.378,2125.028,-2677.842,5709.544
"TTL_C19",22.047,3.299,0.139,0,0.016,0.179,10.244,0.057,28.112,0.982,4.105,3.11,10.797,151.229,15.55,6.766,13.326,4.844,1.954,7.3,9.234,8.961,8.809,0.41,0.011,2.392,8.334,157.645,9.883,67.676,142.721,286.024,320.505,158.803,25.683,9.398,5.78,1.739,2.423,6.084,15.286,8.373,41.508,21.733,41.202,3.005,10.574,8,11.063,0,1250.384,0.03,0.416,17.367,2.286,51.281,0.03,169.205,-2592.616,575.698
"TTL_C20",180.789,2.901,0.073,0,0.031,0.38,18.101,0.085,167.439,24.445,48.713,77.177,18.292,3574.736,1089.99,473.232,66.539,11.856,12.739,68.578,129.652,124.398,72.979,5.666,0.147,15.814,85.187,88.542,26.993,214.118,206.463,26.288,24.9,8.631,14.887,2.154,19.639,9.325,2.627,12.681,15.806,106.472,175.011,48.026,64.335,9.237,199.668,24.227,53.641,0,1699.533,0.054,0.962,65.067,2.784,26.042,12.735,26807.289,-3536.8,32701.274
"TTL_C21",709.858,1.819,0.419,0,0.036,0.619,8.956,0.04,1097.125,9.316,10.325,16.706,1.083,1599.359,44042.727,57.459,8.605,5.796,4.613,11.054,64.173,12.011,42.434,1.296,0.025,7.492,100.266,56.831,47.982,63.754,1202.578,50.555,85.107,15.471,26.188,9.288,25.01,6.596,3.714,13.877,29.265,28.534,2450.866,48.847,1772.622,106.225,10429.714,243.063,400.28,0,9898.016,0.112,1.121,213.135,38.902,18.842,29.702,56341.11,-16643.959,114826.965
"TTL_C22",47.596,3.566,0.16,0,0.03,0.261,17.084,0.102,776.978,26.227,50.178,106.557,2.081,610.267,366.394,843.769,68.12,8.479,8.416,141.413,496.051,439.849,360.089,44.244,0.268,103.05,255.138,72.05,50.201,1147.923,1108.815,288.387,43.964,16.315,60.373,15.199,32.551,12.276,13.227,31.192,41.519,251.079,195.914,88.035,74.79,9.305,48.884,30.928,44.369,0,1161.556,0.135,0.728,218.236,5.51,2.772,0.306,3486.336,-5468.826,7860.413
