"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",1184.654,22.184,0.184,0,0.002,0.011,0.792,0.006,6358.598,31.412,4.72,3.201,0.236,100.969,75.758,30.263,1.215,0.394,0.379,3.102,3.387,2.135,4.009,0.391,0.024,0.786,9.549,23.22,4.294,26.188,390.752,10.441,18.25,2.54,7.715,0.984,413.467,2.693,2.317,5.95,8.917,11.095,51.007,40.285,101.621,14.214,47.625,28.327,34.046,0,3943.36,0.054,361.156,232.609,-3.169,125.305,170.055,147.312,-3280.293,10780.697
"TTL_A02",13.65,149.877,0.014,0,0.001,0.009,0.644,0.002,30.839,0.34,415.891,39.239,0.073,9.696,4.985,6.398,1.062,0.13,0.197,1.279,0.934,0.78,1.264,0.094,0.024,0.229,21.923,26.639,0.444,44.544,26.284,2.874,1.523,0.275,1.526,0.327,7.993,0.476,0.284,0.687,0.953,13.061,4.514,2.936,8.931,0.902,1.907,1.554,2.265,0,136.97,0.002,0.092,38.887,0.272,1.005,1.204,89.458,-100.169,1018.192
"TTL_A03",0.919,0.055,0.267,0,0,0,0.028,0,83.736,0.032,0.06,0.045,0.012,0.424,0.515,0.051,0.044,0.014,0.011,0.074,0.167,0.086,0.116,0.007,0.001,0.025,0.199,0.171,0.033,0.306,3.992,0.275,2.482,0.065,0.21,0.039,16.931,0.072,0.048,0.158,0.136,0.08,0.91,0.332,0.992,0.22,0.89,0.451,0.379,0,83.19,0,0.085,5.76,-0.044,7.455,0.514,16.625,-189.53,40.115
"TTL_B05",0.342,0.015,0,0,0.001,0.008,0.423,0.005,1.006,0.049,0.12,0.323,3.053,2.999,0.208,0.12,3.503,4.104,0.658,0.294,0.145,0.144,0.253,0.009,0.001,0.043,0.128,196.709,0.167,2.301,1.427,0.303,0.229,0.063,0.188,0.038,0.164,0.028,0.067,0.262,0.269,0.332,0.546,0.261,0.86,0.127,0.16,0.14,0.269,0,145.491,0,0.01,0.803,0,0.255,0,0,-369.425,0
"TTL_B06",1.229,0.055,0.002,0,0.137,0.122,7.94,0.112,12.155,0.424,0.623,2.509,401.573,98.58,4.198,1.896,13.773,9.18,8.492,3.668,2.275,1.909,3.859,0.154,0.016,0.84,1.828,1476.935,1.699,13.79,30.337,8.918,6.024,1.194,3.508,0.893,3.342,0.267,0.457,0.788,2.033,3.557,8.546,3.612,4.708,1.243,2.105,2.849,2.436,0,545.027,0.002,16.363,16.466,0,3.11,0.069,4.919,-2734.407,8.342
"TTL_B07",0.347,0.016,0,0,0.007,0.773,5.311,0.074,2.456,0.037,0.056,0.238,3.172,44.383,2.813,0.31,12.357,88.501,136.752,9.779,2.275,6.493,3.205,0.141,0.011,0.459,1.852,30.028,0.802,27.931,2.592,0.546,0.236,0.072,0.531,0.045,0.313,0.065,0.085,0.184,0.328,0.306,2.501,0.798,0.469,0.06,0.163,0.447,0.404,0,1.115,0.002,0.016,1.072,0,1.165,0.055,7.752,-363.077,38.826
"TTL_B08",10.271,0.45,0.014,0,0.044,0.307,119.334,0.26,22.821,0.65,1.02,5.367,14.853,397.425,15.873,3.908,557.635,29.344,23.239,13.416,5.413,8.119,8.389,0.238,0.029,0.736,17.237,205.337,10.823,1139.265,24.222,9.651,2.034,0.165,5.885,0.149,2.379,0.143,0.302,0.545,0.611,20.449,10.492,6.315,19.534,0.792,1.054,3.089,2.834,0,124.543,0.001,0.015,2.159,0,0.694,0.022,19.444,-614.407,2254.933
"TTL_B09",0.082,0.011,0,0,0.002,0.004,0.192,0.004,0.263,0.018,0.047,0.062,0.197,0.396,0.289,0.062,0.243,0.182,0.257,0.161,0.293,0.149,0.266,0.012,0.001,0.061,0.16,1.396,0.089,1.391,1.945,0.435,0.762,0.306,0.243,0.066,0.121,0.097,0.177,0.507,0.603,0.281,1.838,0.648,0.524,0.062,0.143,0.196,0.181,0,2.017,0.003,0.72,33.265,-0.01,0.761,0.064,1.029,-24.595,28.678
"TTL_C10T12",1886.273,5.012,2.606,0,0.008,0.041,3.782,0.033,10228.448,23.322,6.389,23.671,2.967,746.213,539.877,16.229,6.666,1.638,2.427,12.57,21.263,13.514,22.386,0.983,0.087,2.866,24.63,81.551,18.028,56.962,1417.685,36.762,363.789,43.911,47.715,6.206,5019.473,24.101,16.214,51.708,69.693,41.485,274.086,143.68,562.687,152.464,601.836,277.01,250.998,0,23338.495,0.045,0.954,28.588,3.698,454.972,429.273,5719.041,-10915.857,42211.152
"TTL_C13T15",14.991,3.55,0.275,0,0.017,0.079,4.447,0.053,44.249,794.006,14.393,40.974,0.962,59.543,61.874,82.03,16.51,3.559,3.029,31.234,44.852,27.467,49.37,12.054,0.606,19.994,277.901,51.367,24.138,133.419,530.367,35.196,67.71,14.501,27.847,17.367,81.559,14.965,11.673,23.949,33.706,32.644,165.511,114.504,248.523,18.545,106.384,111.94,121.557,0,6030.939,0.09,0.242,125.268,-18.929,213.569,33.95,1800.424,-8475.473,3305.473
"TTL_C16",37.917,12.355,0.08,0,0.014,0.153,10.052,0.063,113.781,6.91,2321.713,117.586,0.708,101.237,52.336,43.911,55.202,7.858,9.317,108.209,60.858,68.52,88.87,10.138,2.816,24.018,1454.795,266.905,12.68,3157.652,499.349,31.845,22.706,3.12,48.59,3.34,23.304,12.699,5.979,14.855,15.095,664.961,137.948,74.671,43.899,11.198,20.939,36.719,69.143,0,304.606,0.007,0.159,50.456,1.805,19.491,19.938,714.718,-1822.295,9175.897
"TTL_C17_18",12.035,1.789,0.051,0,0.008,0.052,4.35,0.028,287.653,10.348,27.282,1149.209,1.393,126.057,230.722,47.694,32.599,3.317,4.054,34.459,87.925,61.406,60.46,2.628,0.167,9.192,56.455,66.829,19.398,68.388,1261.454,41.23,43.132,13.616,50.545,55.693,53.792,433.269,60.206,172.11,451.564,50.252,740.866,325.978,391.244,99.536,72.787,153.083,217.585,0,612.075,0.06,0.664,27.024,6.929,62.965,55.817,1694.116,-2463.369,7090.172
"TTL_C19",46.739,8.657,0.237,0,0.039,0.307,21.773,0.142,38.012,2.322,9.552,7.718,54.506,211.522,25.71,14.735,29.2,13.747,6.086,18.034,17.195,16.516,22.045,1.02,0.117,4.888,16.692,600.548,27.902,158.51,384.804,582.083,849.655,398.546,61.475,20.154,16.609,4.544,8.41,15.312,38.234,19.786,86.888,79.349,108.306,9.282,25.754,18.875,27.123,0,1597.377,0.031,0.566,13.585,0,122.757,0.043,114.291,-4759.593,1218.718
"TTL_C20",250.751,4.123,0.06,0,0.053,0.486,28.722,0.189,134.446,51.256,68.55,149.19,43.636,3177.857,1037.439,783.14,80.19,18.29,24.679,126.483,182.526,184.544,131.219,10.076,1.067,19.572,126.442,136.221,38.082,278.666,306.345,35.75,43.624,13.256,21.339,3.434,33.843,18.958,4.723,19.026,26.845,170.517,202.918,93.605,66.969,14.785,174.66,33.172,79.928,0,1401.13,0.055,1.838,91.895,31.288,53.179,21.965,17542.042,-3752.893,23842.15
"TTL_C21",395.503,1.324,0.273,0,0.032,0.259,7.963,0.046,384.52,12.354,6.698,16.891,3.749,1041.626,27451.126,102.118,7.722,4.823,5.195,19.68,41.298,24.906,44.099,2.07,0.186,7.679,51.645,57.221,27.575,47.717,443.078,19.74,58.829,10.408,15.47,6.093,30.658,7.025,6.11,17.306,29.314,28.472,1047.314,71.129,783.686,62.794,7742.855,118.027,187.844,0,7852.553,0.122,5.406,310.834,108.232,39.351,48.86,43545.476,-11110.146,81253.141
