"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_C25",100.759,3.164,0.146,0,0.174,0.616,36.975,0.333,356.732,26.487,48.835,85.792,0.472,266.332,29.565,119.454,108.262,203.2,157.976,2303.074,1188.577,1281.509,4277.775,34.348,3.362,169.417,498.778,633.208,135.407,3117.857,2770.588,109.579,50.807,7.154,117.714,1.72,35.543,11.891,13.633,10.919,134.817,82.425,614.668,106.094,486.769,78.228,134.092,92.611,211.35,0,1044.425,0.026,0.502,225.349,0,6.026,0.193,6038.722,-5947.991,21626.436
"TTL_C26",14.571,0.819,0.094,0,0.038,0.114,7.513,0.074,97.089,8.387,9.923,48.719,0.446,163.775,253.152,16.424,7.803,12.552,9.252,174.156,12165.83,2824.42,442.796,44.511,10.341,509.941,514.573,970.385,68.66,808.753,1587.752,55.895,129.024,18.119,103.555,70.978,61.092,246.652,582.005,2541.68,83.951,178.217,935.955,461.641,104.668,4.65,153.265,11.043,382.266,0,3574.746,0.206,298.701,16073.363,0,44.223,106.892,25110.123,-13591.758,58514.017
"TTL_C27",23.098,1.005,0.224,0,0.031,0.155,9.917,0.087,100.671,12.036,6.37,61.135,0.33,36.04,44.987,18.593,4.032,12.952,14.35,322.522,1759.591,2585.287,849.592,34.385,5.162,364.09,348.226,978.75,33.906,3986.525,938.546,100.027,41.752,12.39,145.195,3.052,204.279,19.275,74.721,124.779,41.113,87.23,154.712,63.587,220.753,18.01,67.863,25.128,213.543,0,1752.338,0.058,1.56,4015.684,0,21.94,37.447,7531.97,-7996.195,19534.807
"TTL_C28",33.224,1.672,0.292,0,0.158,0.727,42.768,0.346,169.292,13.541,7.881,34.583,0.77,126.473,165.897,34.742,35.718,40.977,28.552,158.161,378.826,305.639,2420.313,167.912,6.149,303.651,179.369,158.329,79.945,997.866,1443.834,100.142,59.059,20.288,66.953,5.542,34.932,9.498,16.557,24.851,26.173,76.679,163.584,47.02,39.752,4.189,47.856,15.418,75.16,0,458.762,0.193,1.995,11258.633,0,6.286,1.962,18949.97,-8302.784,30546.277
"TTL_C29",5.047,0.395,0.014,0,0.025,0.121,8.551,0.057,54.278,3.381,1.264,5.714,0.075,17.697,10.256,36.457,2.79,2.627,2.387,125.518,130.573,45.377,657.565,372.233,0.779,74.672,59.517,21.904,44.035,61.035,1189.651,206.982,10.454,4.04,68.044,28.609,3.679,3.352,2.997,12.707,14.866,57.198,92.728,70.864,38.204,1.489,24.612,12.577,44.328,0,5937.576,0.098,0.977,4791.606,0,32.535,2.347,830.906,-13394.708,1833.057
"TTL_C301",0.194,0.011,0.023,0,0,0.001,0.044,0,0.109,0.039,0.024,0.014,0.003,0.218,0.11,0.759,0.019,0.052,0.049,0.374,6.019,0.141,0.799,0.031,2.55,15.229,2.296,0.411,0.162,0.289,1.994,0.932,74.336,19.84,1.733,0.018,0.016,0.039,0.038,0.058,0.083,0.301,0.534,0.103,6.18,0.013,0.064,0.081,0.144,0,73.063,0,0.005,594.951,-11.519,0.111,0.003,24.473,-702.382,115.186
"TTL_C302T309",0.591,0.036,0.053,0,0.001,0.013,0.369,0.002,1.604,1.143,0.092,0.118,0.012,6.361,1.496,20.572,0.088,2.821,3.095,6.253,274.632,0.881,22,0.741,0.636,413.62,88.552,13.306,17.877,1.293,76.819,58.467,117.38,711.656,45.16,0.155,0.154,1.434,0.448,4.648,1.717,30.43,11.549,1.753,75.105,0.101,1.277,0.383,3.475,0,692.922,0.003,0.046,3528.185,-607.979,0.489,0,4169.066,-3723.779,6079.323
"TTL_C31T33",530.643,29.858,7.38,0,0.281,1.034,83.164,0.655,289.601,81.195,136.478,61.521,8.068,352.834,650.873,28.954,145.676,43.516,31.456,247.131,470.459,253.748,339.388,17.266,1.913,112.514,1834.013,369.371,111.847,245.67,2268.333,73.553,1223.946,363.29,216.352,120.126,86.479,190.347,83.812,28.447,290.772,187.539,633.77,213.208,538.689,96.943,282.388,242.812,353.273,0,7866.699,0.08,1.1,629.181,7.15,173.616,33.19,6758.81,-13282.539,16167.873
"TTL_D",260.284,4.078,2.41,0,0.325,1.908,107.081,0.359,467.175,20.989,76.803,183.868,0.724,972.206,55.643,128.435,207.704,81.458,53.714,173.724,330.046,110.144,208.923,6.086,0.146,9.45,46.181,19119.353,96.473,182.202,927.879,638.663,16.974,33.047,255.716,40.776,403.815,38.479,129.213,68.697,194.206,603.558,490.768,241.113,1021.186,419.402,380.425,854.607,86.269,0,14499.727,0.098,58.38,246.884,6.629,6.039,3.15,2203.263,-1709.057,45067.803
"TTL_E",10.574,0.088,0.01,0,0.023,0.105,5.354,0.046,57.973,2.676,19.935,25.003,0.248,61.857,20.632,29.082,13.983,19.078,15.088,20.891,17.744,16.799,35.445,0.358,0.175,9.664,11.481,111.239,354.622,31.503,1810.559,22.092,5.95,1.753,38.58,7.404,78.667,12.399,6.695,10.055,90.493,117.706,144.198,34.377,174.307,8.732,31.844,30.753,40.618,0,1197.984,0.084,1566.776,75.762,-0.18,2.301,1.194,17.269,-103.802,6316.247
"TTL_F",171.172,7.499,0.376,0,0.089,0.398,26.629,0.177,46.031,6.368,42.791,9.482,11.798,54.768,31.273,83.245,102.322,4.881,3.946,74.095,40.357,41.863,69.79,5.772,0.762,38.297,85.534,199.017,168.691,8563.53,1161.987,41.833,33.873,16.983,76.772,12.403,216.903,20.001,138.398,64.219,237.518,7370.057,626.019,136.379,730.001,166.854,212.724,490.826,88.805,0,3030.282,0.132,0.673,56781.921,-7.129,26.166,3.58,172.132,-462.484,81278.781
"TTL_G",1172.123,55.656,1.876,0,0.399,2.154,157.55,0.958,8832.959,770.412,1181.021,884.152,44.792,4683.32,19833.341,1149.723,853.43,570.547,368.908,2344.475,8534.09,3451.625,3960.471,372.581,14.827,916.876,2647.851,2086.199,533.896,5793.904,15723.25,1969.308,3402.378,1040.866,1016.021,343.48,3302.933,482.252,434.651,1165.084,1052.26,1127.25,4349.09,1195.608,1749.631,341.616,5495.243,726.366,1233.904,0,40645.197,18.998,287.984,16603.618,-175.063,812.13,819.225,53632.501,-29959.596,200056.298
"TTL_H49",78.114,8.638,0.158,0,0.295,1.035,126.783,0.451,747.584,35.853,199.091,95.899,23.704,501.342,598.97,180.556,304.689,74.104,52.889,237.438,545.155,276.916,412.135,14.744,1.334,86.621,290.101,1848.969,90.1,846.028,6057.481,4309.157,121.661,54.253,1699.262,179.022,154.155,67.779,20.029,78.119,180.724,135.102,414.04,228.169,250.911,63.282,219.309,48.943,135.216,0,5939.047,0.704,17.386,989.729,0,1201.493,1193.507,3333.047,-4422.333,30348.888
"TTL_H50",54.442,5.717,0.116,0,0.032,0.149,11.144,0.059,307.559,25.045,85.277,28.197,5.126,101.822,435.514,33.658,48.738,21.762,19.425,160.558,298.922,144.033,170.848,10.406,0.689,40.885,150.883,123.78,18.85,449.353,1707.035,33.472,6663.133,30.38,61.359,38.03,103.907,18.428,12.166,42.059,35.235,38.386,113.325,375.085,79.113,15.879,140.703,24.445,48.961,0,3693.337,0.22,6.486,1240.806,0,281.633,259.561,9051.093,-4900.594,21966.631
"TTL_H51",27.294,1.984,0.075,0,0.038,0.118,8.909,0.065,167.751,17.388,33.357,20.287,3.411,46.126,246.979,27.791,31.129,19.759,16.498,72.308,164.068,83.51,98.121,8.745,0.36,20.773,82.256,91.539,15.69,284.635,919.666,37.916,38.692,188.858,148.277,96.746,46.089,15.036,10.356,53.254,219.664,64.537,506.277,2816.543,188.909,25.687,96.033,53.888,47.25,0,3022.107,0.093,3.023,499.641,0,791.42,901.382,1918.394,-5951.504,8349.198
"TTL_H52",31.847,3.026,0.159,0,0.033,0.174,14.418,0.08,291.766,18.831,59.289,49.363,4.593,103.051,293.144,38.024,51.728,15.006,10.979,108.428,252.977,119.926,144.961,6.324,0.449,28.417,96.383,154.902,23.426,287.044,1158.925,817.25,3924.191,530.759,533.036,87.666,80.143,19.354,14.158,30.845,35.661,40.056,118.432,139.311,62.946,10.596,112.744,17.962,73.527,0,1163.575,0.318,11.643,429.425,0.04,52.732,23.383,5406.859,-2119.135,14985.148
