"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_C23",18.823,1.431,0.051,0,0.02,0.143,25.161,0.095,125.996,3.781,33.391,5.371,0.741,154.327,143.692,57.083,834.529,30.609,17.615,96.866,173.778,128.615,101.835,8.164,0.807,21.723,66.44,90.66,21.1,4873.572,277.909,24.32,25.079,4.632,19.964,1.396,37.759,2.978,5.474,7.908,10.572,714.526,128.863,31.479,49.92,8.82,23.88,19.808,26.81,0,403.874,0.022,0.352,74.893,1.166,3.35,1.308,1155.9,-2919.875,7179.507
"TTL_C24A",1.696,0.423,0.006,0,0.05,0.122,3.072,0.069,5.891,0.633,6.218,3.206,0.385,15.571,5.391,22.861,30.94,419.462,39.34,1166.794,169.133,288.208,899.016,28.256,2.396,95.858,118.998,51.189,26.269,713.391,65.957,13.849,14.04,0.756,10.236,0.15,0.689,0.622,0.487,1.119,1.152,20.98,40.074,5.533,4.089,0.644,0.832,2.452,2.493,0,2.017,0.001,5.881,5.974,0,0.67,0,1412.199,-2625.431,3102.311
"TTL_C24B",0.542,0.145,0.002,0,0.003,0.027,0.532,0.009,10.776,0.46,3.588,5.473,0.178,45.861,11.983,16.107,10.468,51.908,434.671,402.448,205.306,555.094,247.22,11.049,0.59,46.928,93.759,21.394,15.968,118.332,59.089,4.209,4.842,1.095,2.874,0.056,0.883,0.575,0.675,0.992,1.325,8.399,16.154,1.641,2.822,0.295,0.945,1.259,1.395,0,66.122,0.001,0.014,44.649,0,1.459,0.031,2390.64,-2226.321,2696.939
"TTL_C25",74.985,15.72,0.452,0,0.252,0.913,55.751,0.528,468.249,18.362,163.055,54.231,6.443,482.448,176.711,220.203,167.696,148.934,131.093,3682.402,1225.052,1099.871,3176.918,101.143,11.665,480.504,827.017,482.609,103.467,5150.56,1191.832,158.076,146.247,28.372,158.863,12.831,72.277,15.717,40.002,55.284,57.285,529.32,608.341,222.791,407.442,30.992,50.581,112.152,93.99,0,1025.591,0.027,0.479,256.94,2.922,5.869,0.17,5642.643,-6970.455,22483.814
"TTL_C26",18.253,2.925,0.151,0,0.038,0.13,8.097,0.085,82.493,6.872,17.165,46.533,2.24,116.177,209.646,44.65,23.948,12.418,11.494,146.398,19307.961,1406.812,884.612,36.825,4.145,159.582,392.74,449.48,41.235,658.321,1541.35,98.634,132.656,60.744,112.998,45.309,53.241,140.032,796.812,1340.991,368.245,86.839,1693.613,315.821,476.835,80.962,272.957,181.153,184.126,0,3672.041,0.249,286.971,17735.966,0,44.749,107.519,27344.925,-15262.43,66004.732
"TTL_C27",14.858,1.913,0.171,0,0.028,0.151,10.564,0.094,44.975,4.096,11.972,13.318,1.386,65.529,61.143,33.128,22.494,17.904,21.72,154.977,2191.127,3483.308,1064.815,42.573,2.681,147.779,303.625,1180.756,33.801,1907.291,825.733,105.21,92.475,23.966,62.21,9.646,49.553,22.771,146.58,124.939,58.642,199.772,422.861,134.354,129.715,17.908,48.961,81.657,67.42,0,1731.203,0.056,1.318,4326.48,0,20.709,33.475,8199.218,-8696.053,19078.953
"TTL_C28",53.376,10.188,0.256,0,0.162,0.826,49.592,0.426,111.094,8.625,31.226,39.808,3.998,151.12,124.569,54.235,58.304,28.526,20.691,231.612,423.161,350.865,2799.503,39.79,4.14,151.158,321.182,449.041,46.551,835.004,609.549,114.736,174.185,41.884,83.459,10.824,28.847,13.631,24.5,54.93,54.251,131.284,310.646,136.594,125.466,13.779,43.283,47.979,35.655,0,466.625,0.217,1.915,12512.333,0,6.222,1.753,20576.183,-9443.355,32576.407
"TTL_C29",13.028,7.187,0.075,0,0.031,0.149,10.258,0.074,30.576,3.823,8.328,5.614,0.557,28.101,17.305,24.199,17.819,4.805,4.762,53.234,89.84,91.356,333.798,426.029,0.856,84.103,127.5,65.573,36.205,158.414,1552.15,792.639,75.327,35.836,89.441,16.868,9.011,5.533,10.28,22.667,31.006,19.119,165.644,133.996,98.064,7.429,14.775,32.811,30.227,0,6716.492,0.11,1.006,5118.304,0,30.808,1.716,1127.837,-15716.631,2066.059
"TTL_C301",0.036,0.006,0.005,0,0,0,0.027,0,0.094,0.009,0.023,0.023,0.002,0.109,0.117,0.042,0.033,0.02,0.015,0.218,0.323,0.136,0.411,0.046,0.469,2.109,0.992,0.338,0.037,0.413,0.679,0.644,16.699,1.474,0.374,0.014,0.036,0.019,0.038,0.066,0.089,0.066,0.385,0.216,1.995,0.02,0.054,0.127,0.057,0,42.015,0,0.004,324.563,-11.482,0.091,0.004,18.744,-288.226,114.817
"TTL_C302T309",0.552,0.244,0.082,0,0.001,0.022,0.576,0.002,1.595,0.07,0.39,0.277,0.032,1.683,1.454,0.816,0.452,0.286,0.551,4.35,11.999,4.942,11.834,4.481,1.724,845.43,100.712,4.987,1.173,10.562,55.843,141.543,182.199,239.995,17.529,1.601,0.955,0.447,0.732,4.378,3.296,0.792,14.792,12.632,106.001,0.623,1.484,4.644,3.78,0,655.396,0.004,0.047,3198.76,-284.264,0.463,0,5207.338,-4494.959,6087.331
"TTL_C31T33",94.618,14.469,0.85,0,0.182,0.691,60.46,0.466,202.868,16.532,61.526,62.003,6.526,267.893,216.667,70.46,85.424,45.009,30.133,165.667,329.497,147.267,393.502,9.989,1.793,77.141,696.026,973.73,79.487,551.625,912.448,397.08,845.995,424.281,208.415,32.928,103.265,35.827,93.3,114.801,265.808,191.803,598.74,284.551,386.837,68.878,296.751,301.097,127.382,0,5737.53,0.059,0.96,641.187,17.577,164.55,33.886,7674.028,-7223.974,17398.491
"TTL_D",171.696,9.379,0.7,0,0.369,2.29,127.638,0.481,576.675,35.342,135.855,195.806,27.386,1339.349,308.483,249.624,334.509,193.309,161.644,281.999,356.508,195.717,316.892,15.119,1.178,65.884,157.135,16633.141,242.048,301.663,2104.971,479.629,193.229,40.28,342.388,68.113,534.003,83.287,208.645,177.767,529.114,786.166,989.32,325.001,1044.346,250.33,411.35,665.16,363.381,0,15468.333,0.092,64.618,251.021,11.079,5.971,3.124,3046.204,-1677.534,49207.21
"TTL_E",13.843,1.196,0.072,0,0.027,0.139,7.229,0.067,72.925,3.311,12.705,45.051,1.659,91.186,40.23,32.269,26.179,137.542,111.815,76.158,33.517,25.941,43.402,1.554,0.162,9.134,20.78,244.385,632.083,113.06,398.719,52.291,50.217,10.651,44.788,9.932,76.373,8.639,13.042,30.706,69.87,252.957,205.942,85.609,379.933,31.937,62.655,74.25,63.255,0,1261.176,0.075,1609.579,72.915,-0.041,2.08,1.158,18.308,-105.922,6578.716
"TTL_F",51.421,10.618,0.174,0,0.096,0.436,30.117,0.213,89.293,5.589,35.599,20.486,5.188,128.336,80.659,29.688,56.261,13.436,13.262,81.566,84.161,64.807,95.751,2.885,0.461,18.272,83.762,1106.369,104.857,7497.12,975.694,251.027,124.017,30.08,280.266,32.748,143.252,22.918,99.875,75.801,259.458,8526.619,725.8,193.659,1227.31,118.763,146.548,219.296,164.419,0,3262.34,0.139,0.693,58467.338,-2.089,25.642,3.335,172.995,-516.459,84742.369
"TTL_G",1583.573,83.453,4.548,0,0.371,2.069,152.827,1.095,7519.981,729.321,1093.356,659.14,50.18,4040.339,21599.074,1028.696,775.122,320.413,223.015,2092.252,9689.542,2696.469,4042.88,347.879,12.702,827.241,2185.966,2133.741,326.48,6884.688,23155.11,2452.206,2245.173,735.998,993.15,203.091,2528.168,496.464,712.903,1180.124,945.838,1150.479,4303.249,1757.54,2399.657,367.168,5971.462,1171.307,960.622,0,37105.326,20.079,312.758,17605.7,-54.404,782.051,715.867,57113.187,-28881.433,209555.255
"TTL_H49",145.991,42.701,0.535,0,0.326,1.272,150.738,0.569,932.699,41.634,253.766,144.127,24.612,742.225,722.015,168.768,289.561,82.445,58.492,349.152,747.824,359.099,497.391,25.419,1.612,105.72,292.914,730.395,118.166,1224.782,6139.557,2496.631,507.854,83.474,1071.76,306.967,208.47,86.366,68.781,165.616,279.601,174.989,845.546,728.664,498.942,109.098,251.207,186.217,216.065,0,5837.86,0.675,17.115,1087.879,0,1164.507,1241.537,3624.415,-4334.527,31320.218
"TTL_H50",66.064,10.973,0.408,0,0.08,0.187,17.674,0.089,358.344,24.513,109.22,36.373,10.006,195.977,441.758,44.84,68.781,28.975,22.366,143.625,431.358,170.874,209.024,14.377,0.79,47.979,132.321,147.848,15.882,531.329,1152.114,201.285,6444.155,28.587,336.468,25.22,112.168,16.846,25.224,41.741,37.471,82.125,198.454,183.102,106.638,15.062,137.86,49.719,39.732,0,3583.334,0.205,6.484,1297.627,0,270.339,267.202,10592.218,-5262.579,23270.839
"TTL_H51",34.93,4.084,0.162,0,0.05,0.12,9.553,0.091,195.381,20.458,39.868,25.902,3.846,110.468,262.199,34.097,31.391,12.132,11.88,79.458,262.18,109.618,147.062,11.372,0.466,31.231,81.603,136.031,14.295,275.581,857.685,98.071,107.612,551.506,229.816,127.556,71.168,26.473,28.742,139.839,243.418,51.547,675.465,1994.748,324.312,38.174,92.382,104.277,134.552,0,3152.505,0.087,2.961,480.079,0,761.86,941.975,2089.09,-6515.516,8755.889
"TTL_H52",45.599,6.783,0.352,0,0.042,0.237,20.056,0.116,273.521,14.759,71.655,34.55,5.949,186.53,346.178,44.497,58.554,20.72,14.961,108.686,288.831,120.837,160.481,9.452,0.543,33.305,95.185,149.936,24.699,366.431,2443.078,741.3,2517.112,608.587,941.587,60.053,74.535,22.302,28.552,48.228,53.955,57.368,250.802,156.052,108.539,12.043,97.838,45.548,39.109,0,1087.594,0.302,12.577,481.282,0.04,52.924,21.648,5906.536,-2240.517,16132.42
"TTL_H53",3.311,0.712,0.024,0,0.008,0.027,1.775,0.015,17.977,1.497,3.522,9.975,0.484,30.704,20.559,5.923,4.422,1.363,1.481,10.202,29.28,11.383,19.527,0.57,0.065,3.189,11.788,104.088,10.234,34.224,668.797,44.051,45.85,15.384,75.159,515.432,24.031,39.205,72.593,113.735,423.103,21.622,354.522,131.155,219.626,18.084,32.796,56.916,83.118,0,228.103,0.019,0.078,145.571,32.924,23.456,21.195,2658.694,-69.367,6334.184
"TTL_I",8.907,2.009,0.068,0,0.032,0.118,5.759,0.062,59.764,3.998,9.354,12.107,1.387,79.43,115.601,16.608,13.158,4.431,4.455,35.391,75.083,33.738,59.205,2.221,0.189,12.312,34.97,145.949,16.84,126.032,880.36,157.035,164.066,167.378,106.915,19.452,139.434,37.462,33.9,153.338,397.121,47.306,770.788,1112.12,397.773,79.143,179.199,236.563,247.684,0,14612.592,26.059,74.185,57.669,-0.18,5887.752,6455.309,133.182,-5971.464,27481.319
"TTL_J58T60",4.985,1.57,0.031,0,0.013,0.053,4.145,0.035,74.579,3.389,7.364,46.697,1.001,74.956,93.467,13.712,10.362,3.066,3.548,23.771,76.971,35.56,47.356,1.617,0.131,12.167,28.557,112.647,16.807,60.695,1117.408,51.328,56.414,34.427,50.511,26.536,71.629,877.146,174.698,364.686,547.041,44.04,1450.756,293.823,365.961,178.904,66.087,299.106,265.879,0,2012.712,30.73,242.664,866.726,0,80.756,16.226,5975.942,-8357.212,7964.176
"TTL_J61",20.523,5.369,0.203,0,0.074,0.18,14.432,0.106,90.616,7.411,22.358,34.723,2.474,135.238,101.291,35.619,30.225,8.353,7.167,82.188,202.482,68.144,131.622,3.921,0.42,25.859,67.986,488,47.984,267.066,2436.708,270.219,274.852,91.252,235.814,126.473,172.083,203.434,3132.144,737.35,1845.6,234.428,1911.004,821.82,1037.893,104.276,180.721,301.536,362.771,0,8074.313,0.078,0.721,110.82,10.157,334.547,263.295,1208.314,-8251.216,18133.441
"TTL_J62_63",16.054,4.605,0.081,0,0.103,0.226,18.395,0.159,190.12,10.554,23.81,68.415,6.437,262.167,325.303,51.971,44.983,15.551,16.802,109.211,445.418,148.858,208.705,8.955,0.635,45.439,108.35,1203.127,83.42,338.029,3758.224,353.535,358.453,212.112,334.996,171.053,159.583,361.394,747.289,6675.953,4429.958,188.733,4192.289,933.888,1524.678,159.854,205.458,392.094,452.132,0,259.371,0.223,5.351,20772.255,0.04,18.634,4.09,16582.662,-28586.128,38424.055
"TTL_K",224.266,27.992,1.025,0,0.376,0.9,63.269,0.551,473.698,30.964,96.481,122.863,19.661,588.439,395.769,141.248,123.039,51.032,54.132,259.25,507.169,269.621,427.229,18.098,1.644,95.946,212.051,2079.848,153.607,1138.545,5471.484,938.009,1287.8,325.057,599.125,135.66,380.129,123.032,235.354,503.744,15897.793,16174.826,2934.534,1221.177,1461.376,123.737,263.799,496.872,491.356,0,19983.754,0.535,18.447,1817.186,0,294.413,273.923,48712.226,-11886.487,115857.573
"TTL_L",20.038,5.61,0.131,0,0.069,0.239,19.055,0.109,196.602,16.385,35.055,65.953,3.444,156.233,117.122,62.598,43.323,10.23,10.568,142.034,214.219,102.43,166.577,5.852,0.912,30.124,152.109,451.723,70.265,464.322,6234.83,314.368,281.841,102.07,485.383,128.556,843.882,139.243,269.385,603.274,1975.256,1635.174,2849.491,936.985,927.426,185.07,308.031,731.578,557.571,0,57177.8,196.305,227.272,5569.285,0,1121.182,1135.825,209.157,-1411.19,86298.381
"TTL_M",320.578,26.926,1.091,0,1.017,3.442,213.725,2.991,1506.832,68.279,173.654,326.128,46.34,1839.477,2301.441,407.519,352.144,106.966,103.713,698.327,2141.24,910.412,1395.208,54.405,5.513,342.36,691.148,4781.875,548.007,5631.915,18647.189,1295.789,2237.48,606.392,1462.095,298.069,1004.836,844.912,1237.312,3689.884,9214.713,2373.729,31156.027,4265.042,4159.12,480.847,849.72,2119.02,1910.732,0,1595.297,49.506,139.992,26019.692,15.958,131.489,149.512,15068.679,-31902.835,124122.873
"TTL_N",53.354,12.493,0.359,0,0.319,0.902,60.729,0.842,455.904,20.848,56.011,105.517,10.851,489.681,527.107,137.385,108.349,30.72,32.93,255.563,517.9,244.882,417.869,17.872,1.613,78.246,238.957,1308.689,190.035,1114.797,5180.639,917.927,1682.936,734.308,896.569,214.394,499.006,235.564,425.333,1041.901,2327.834,989.695,4140.898,6434.999,1503.451,249.449,478.184,904.961,578.493,0,8859.421,6.465,143.585,277.906,0,267.607,234.157,10963.746,-8672.483,48007.669
"TTL_O",56.107,83.919,0.411,0,0.104,0.43,28.698,0.26,267.878,12.144,226.074,103.545,6.996,306.666,245.048,91.825,63.762,144.321,122.714,171.738,174.468,101.974,167.018,7.337,0.813,40.153,107.36,1124.224,666.997,633.285,1838.87,515.987,417.283,124.706,264.634,69.354,188.573,69.99,148.563,279.766,733.988,706.445,1759.177,480.611,2412.975,122.776,330.11,370.757,308.73,0,4121.119,2602.139,55064.892,4028.981,0.48,42.987,36.166,1471.812,-432.406,83035.732
"TTL_P",1.363,0.163,0.005,0,0.003,0.013,0.638,0.007,7.917,0.459,1.028,2.131,0.148,8.088,12.127,2.041,1.483,3.975,3.277,3.962,9.107,4.024,5.191,0.296,0.022,1.431,3.075,20.094,17.835,10.102,47.949,6.014,14.577,4.482,5.727,1.599,4.32,3.15,5.142,28.823,32.899,9.264,119.151,17.254,44.085,14.623,7.655,10.669,11.872,0,1068.224,10.269,5893.641,1621.659,0,986.926,352.538,114.315,-2547.069,8009.761
"TTL_Q",7.76,1.068,0.039,0,0.007,0.032,1.793,0.02,31.333,1.846,6.63,4.971,0.509,24.35,76.863,6.903,6.241,2.23,2.284,30.479,36.423,18.233,35.646,1.232,0.145,6.209,17.814,44.527,6.447,81.029,141.994,33.965,28.782,8.729,19.32,5.778,21.238,7.06,9.115,32.436,77.156,22.742,155.293,45.121,255.898,24.303,761.912,53.43,55.148,0,56242.233,7007.494,12964.867,197.446,0.14,291.379,349.999,196.26,-600.462,78861.842
"TTL_R",2.658,0.625,0.025,0,0.006,0.016,1.955,0.008,24.311,1.327,2.77,6.227,0.414,17.564,22.764,5.452,4.133,0.98,1.211,10.092,15.674,9.274,17.997,0.611,0.085,3.024,10.851,51.357,8.803,34.765,260.156,20.211,62.997,7.905,23.349,6.752,72.544,197.199,28.407,60.924,121.918,24.596,366.352,235.196,231.381,52.36,39.701,3107.848,396.701,0,11592.925,261.119,4097.111,228.836,0,617.829,427.569,3263.55,-4748.719,21311.695
"TTL_S",16.448,3.275,0.139,0,0.019,0.132,8.945,0.047,63.026,3.722,9.506,11.985,1.786,67.086,51.506,13.59,16.976,5.126,4.37,29.469,48.517,26.606,41.436,1.763,0.188,8.054,28.377,164.572,29.293,89.461,618.303,103.74,89.101,22.595,89.416,19.638,129.979,35.796,35.97,125.267,426.512,45.57,740.368,183.199,190.753,38.877,123.406,250.897,770.539,0,9661.924,5401.674,1.441,29.026,0,347.178,348.996,0.302,-498.644,20077.241
"TTL_T",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2456.578,0,0,0,0,0,0,0,0,2456.578
"IMP_OTHER",-2.038,0.555,0.058,0,0.011,0.051,3.467,0.023,-35.57,15.913,5.214,9.408,5.957,45.572,92.997,15.777,8.825,3.358,3.725,16.796,104.684,37.763,44.874,14.14,0.151,13.997,32.699,99.877,6.942,80.336,198.23,83.593,75.893,34.953,19.19,6.017,11.643,12.035,22.864,43.623,66.687,26.018,121.863,52.61,49.602,6.679,34.57,26.891,19.637,0,798.039,2.155,9.018,372.073,0,1261.427,0,0,0,3980.875
"TXS_INT_FNL",-367.551,-0.797,0.221,0,0.064,0.23,17.599,0.173,-2132.04,31.145,55.008,55.504,2.035,88.389,237.94,113.637,40.036,10.445,9.914,85.129,354.739,160.963,258.608,44.897,1.038,58.268,222.3,-1193.347,44.693,603.989,1577.604,471.511,227.52,81.017,150.1,41.65,13.304,76.222,83.527,212.357,634.889,1214.498,846.949,383.576,402.603,49.094,283.283,197.244,180.78,0,7746.788,27.805,81.846,3576.372,0,0,781.157,2670.028,0,20814.954
"TTL_INT_FNL",6840.814,627.723,21.412,0,4.622,19.321,1417.67,10.661,31956.874,2184.211,5892.497,3738.178,427.125,20277.527,70992.185,5078.55,4671.657,2137.914,1957.451,11755.966,41845.545,14182.244,19633.876,1384.916,67.396,4201.977,10476.07,38499.453,4031.207,48792.183,99872.192,15359.575,22693.612,6036.42,10195.442,2872.176,13863.917,4734.206,9066.386,18517.982,43075.662,38079.665,69916.284,25235.293,25962.271,3535.024,23184.395,14130.096,10476.637,0,346501.791,15645.467,81785.075,191127.892,-41.331,16195.943,15016.275,365179.291,-301857.771,1539487.093
"VALU",4316.363,427.072,37.057,0,3.913,19.564,927.545,22.527,12168.762,1200.154,3839.903,2685.001,134.528,8456.89,33153.66,3080.006,2507.85,964.397,739.489,10727.85,24159.191,4896.71,12942.533,681.143,47.421,1885.353,6922.422,10707.761,2547.51,35950.192,109683.074,15960.645,577.23,2719.47,5936.98,3462.008,13617.403,3229.971,9067.056,19906.075,72781.913,48215.99,54206.597,22772.382,57073.47,4474.737,55677.454,7181.602,9600.605,2456.578,0,0,0,0,0,0,0,0,0,704754.01
