"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",1275.904,30.259,0.407,0,0.002,0.01,0.852,0.004,7342.343,29.757,7.251,5.154,0.116,198.937,75.499,40.761,1.482,0.503,0.474,3.821,4.421,2.723,4.978,0.457,0.025,1.12,13.149,37.585,4.26,34.775,354.594,11.715,15.738,2.865,8.289,1.135,463.44,3.072,2.115,5.274,11.925,13.511,61.952,49.243,107.045,13.57,51.83,40.613,34.511,0,3225.02,0.063,476.044,214.556,-0.41,133.941,178.699,210.289,-3650.494,11157.175
"TTL_A02",11.386,160.507,0.016,0,0.001,0.007,0.524,0.001,24.109,0.267,428.705,40.206,0.031,16.24,3.766,6.519,1.211,0.126,0.209,1.225,0.812,0.653,1.147,0.074,0.014,0.198,18.896,30.834,0.429,38.167,23.498,2.728,1.11,0.173,1.383,0.24,6.514,0.339,0.234,0.464,0.78,13.582,4.462,2.535,8.115,1.008,1.961,1.816,1.725,0,129.565,0.003,0.096,55.933,0.457,1.092,0.892,123.159,-115.349,1054.795
"TTL_A03",0.946,0.068,0.885,0,0,0,0.034,0,127.917,0.038,0.081,0.049,0.008,1.156,0.535,0.094,0.06,0.018,0.015,0.095,0.192,0.097,0.136,0.007,0.001,0.032,0.245,0.19,0.039,0.338,5.272,0.386,4.358,0.062,0.335,0.046,32.769,0.088,0.043,0.127,0.131,0.124,0.881,0.34,1.41,0.246,1.594,0.763,0.647,0,83.514,0,0.005,1.581,0.063,7.733,0.46,31.996,-249.78,58.469
"TTL_B05",0.262,0.015,0,0,0.001,0.005,0.37,0.002,0.8,0.031,0.12,0.229,1.241,2.902,0.126,0.11,3.493,3.682,0.724,0.241,0.135,0.11,0.223,0.007,0,0.036,0.118,167.118,0.127,1.743,1.077,0.382,0.202,0.061,0.142,0.029,0.146,0.028,0.05,0.263,0.234,0.23,0.469,0.165,0.543,0.095,0.102,0.128,0.141,0,136.79,0,0.005,0.916,0,0.405,0,0,-326.577,0
"TTL_B06",0.64,0.047,0.002,0,0.047,0.046,3.37,0.032,6.447,0.199,0.434,1.252,106.592,64.291,1.969,1.196,7.795,5.18,5.72,1.986,1.383,0.945,3.314,0.075,0.009,0.546,1.045,789.7,0.968,8.318,12.834,6.186,6.133,1.609,1.928,0.531,1.754,0.199,0.232,0.515,1.111,1.81,5.704,1.967,2.359,0.728,0.906,2.108,1.11,0,481.137,0.002,12.929,22.734,0,4.187,0.062,5.85,-1581.642,8.535
"TTL_B07",0.203,0.012,0,0,0.004,0.543,3.62,0.037,1.568,0.02,0.073,0.173,1.455,45.445,1.365,0.345,12.401,65.439,132.474,9.646,2.972,7.95,4.238,0.154,0.008,0.595,1.632,13.74,0.544,23.159,2.908,0.673,0.237,0.075,0.417,0.05,0.274,0.06,0.082,0.225,0.447,0.474,2.206,0.666,0.561,0.071,0.114,0.566,0.344,0,1.515,0.002,0.019,1.481,0,1.306,0.044,10.644,-316.391,38.885
"TTL_B08",8.703,0.317,0.019,0,0.033,0.236,110.872,0.136,19.58,0.427,0.821,4.571,7.498,388.022,11.273,4.413,575.435,35.383,33.995,13.123,5.55,7.354,7.428,0.161,0.017,0.558,9.584,109.998,7.964,1015.959,18.71,8.907,2.014,0.125,5.199,0.125,2.393,0.106,0.221,0.37,0.408,18.668,8.991,5.296,17.37,0.63,1.031,3.117,2.294,0,135.847,0.001,0.013,2.042,0.138,0.972,0.021,28.143,-297.37,2345.215
"TTL_B09",0.077,0.01,0.001,0,0.002,0.005,0.236,0.003,0.263,0.028,0.056,0.055,0.137,0.612,0.262,0.072,0.342,0.315,0.569,0.297,0.349,0.177,0.387,0.012,0.001,0.085,0.216,1.617,0.08,1.524,1.688,0.455,0.752,0.289,0.276,0.053,0.11,0.082,0.116,0.336,0.471,0.237,1.632,0.428,0.451,0.056,0.122,0.211,0.14,0,1.968,0.002,0.685,38.66,-0.01,0.635,0.054,1.034,-25.537,33.187
"TTL_C10T12",1798.299,4.098,4.893,0,0.007,0.033,3.899,0.02,10353.112,18.579,6.332,21.999,1.473,996.421,423.174,12.073,6.348,1.331,2.317,11.363,19.559,10.524,20.8,0.584,0.06,2.791,23.794,75.495,15.741,47.929,1197.586,35.303,292.426,36.864,48.017,5.827,5181.755,26.06,11.014,41.358,64.795,34.491,263.385,139.67,530.237,164.632,588.263,388.163,270.183,0,23787.277,0.041,0.708,27.873,14.566,467.485,444.874,7146.716,-10966.986,44125.631
"TTL_C13T15",20.341,4.331,0.597,0,0.022,0.103,6.776,0.059,64.071,882.634,21.609,56.071,0.82,124.632,82.243,132.627,26.943,5.651,5.092,47.999,72.599,42.217,75.909,13.892,0.622,29.244,430.497,78.263,36.25,192.424,816.643,49.782,79.051,17.862,44.526,23.373,127.642,21.615,14.269,20.676,49.061,39.396,268.696,162.64,402.246,32.682,161.778,235.905,175.625,0,6465.542,0.07,0.379,194.302,-4.224,225.474,16.898,2077.533,-10789.616,3384.364
"TTL_C16",30.963,10.566,0.14,0,0.013,0.176,10.331,0.054,125.694,5.7,2461.074,104.941,0.465,131.669,47.408,55.929,73.937,8.086,10.929,109.792,64.311,71.212,87.963,7.695,2.233,25.449,1435.839,315.379,12.92,3124.26,592.625,37.771,22.139,2.687,45.573,3.232,27.8,10.985,4.672,10.905,14.004,744.517,116.115,60.422,39.624,12.579,20.347,42.875,61.114,0,430.353,0.008,0.15,40.246,2.91,20.384,20.811,1011.048,-1998.62,9732.399
"TTL_C17_18",10.085,1.36,0.085,0,0.006,0.038,3.283,0.017,314.379,7.265,26.606,907.183,0.575,155.194,165.928,44.164,31.611,2.708,4.179,29.859,76.544,52.607,49.276,1.649,0.11,8.59,53.812,59.116,15.462,56.147,1040.086,36.199,38.306,11.643,47.123,38.518,49.615,366.945,39.922,113.754,386.111,45.785,766.771,284.604,333.345,88.053,61.646,160.29,189.444,0,456.678,0.077,0.55,39.311,11.906,66.831,51.061,2406.642,-2785.88,6423.178
"TTL_C19",45.648,7.916,0.44,0,0.036,0.297,22.766,0.105,38.641,1.761,8.761,6.401,25.949,300.309,20.147,12.737,31.236,11.595,6.495,16.419,14.607,15.533,19.258,0.658,0.078,4.663,16.256,525.841,25.297,152.938,365.92,647.801,863.525,391.718,66.556,21.673,17.795,4.48,6.699,13.029,36.145,19.654,97.627,66.843,101.618,9.94,23.61,25.071,25.134,0,1717.989,0.024,0.431,13.034,0,118.824,0.049,93.062,-5519.384,561.653
"TTL_C20",165.854,2.637,0.103,0,0.031,0.296,20.207,0.086,116.737,30.097,54.578,95.923,16.992,3262.859,1161.525,619.543,68.074,13.452,22.477,80.068,132.312,128.2,92.77,5.707,0.544,16.575,97.966,100.764,28.541,203.604,230.95,32.31,34.842,11.921,17.793,2.496,30.213,13.48,3.166,12.941,19.48,128.726,175.985,64.625,63.958,13.624,226.84,35.776,60.883,0,1603.732,0.048,0.831,110.578,47.333,51.011,24.227,22611.468,-3433.34,28734.417
"TTL_C21",648.19,2.132,0.67,0,0.035,0.44,11.378,0.037,632.276,12.669,8.297,13.053,1.051,1764.308,39219.1,101.802,8.824,5.653,7.303,17.073,75.732,20.63,45.41,1.545,0.132,9.935,89.6,78.011,37.115,53.034,869.834,31.676,87.586,14.608,25.813,8.355,37.267,7.521,5.414,14.751,27.569,30.985,1911.169,62.958,1222.111,125.46,9935.194,299.285,366.489,0,9049.865,0.087,0.91,451.791,135.715,38.957,51.863,51397.234,-14930.055,104145.848
"TTL_C22",32.666,3.517,0.187,0,0.025,0.175,14.848,0.087,392.564,26.668,44.95,97.472,1.485,447.263,271.685,748.093,58.537,7.791,12.67,131.497,399.593,337.611,350.225,32.051,0.794,73.7,216.375,76.948,43.458,957.13,939.758,256.641,40.23,18.892,57.182,14.777,43.565,14.858,11.896,28.036,40.126,243.639,166.085,80.333,67.813,10.648,38.623,36.11,39.243,0,1026.272,0.065,0.476,237.463,10.201,4.831,0.597,5482.996,-5532.866,8158.556
