"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",1145.898,29.407,0.415,0,0.002,0.013,1.017,0.006,7993.274,26.671,10.822,2.761,0.096,193.201,91.78,28.834,1.387,0.493,0.35,3.502,4.602,2.915,5.427,0.46,0.011,1.128,12.885,56.345,4.956,41.733,526.51,24.326,20.523,4.706,10.484,2.191,308.569,1.991,2.162,6.109,14.696,9.271,80.072,39.379,77.988,8.309,68.79,34.34,25.941,0,3406.359,0.072,557.59,231.815,-2.045,83.443,132.146,251.804,-3404.779,12183.15
"TTL_A02",10.902,168.913,0.012,0,0.001,0.009,0.511,0.001,28.143,0.386,506.119,24.855,0.021,14.549,2.7,11.479,1.281,0.139,0.13,0.927,0.693,0.677,0.845,0.073,0.005,0.165,23.017,60.257,0.419,40.002,45.587,3.176,1.195,0.311,1.763,0.431,4.381,0.282,0.249,0.669,0.771,15.8,3.824,1.745,7.405,0.781,2.187,2.82,2.144,0,132.894,0.005,0.104,62.067,0.081,0.95,0.466,61.189,-109.885,1140.622
"TTL_A03",0.666,0.066,0.576,0,0,0,0.034,0,144.588,0.036,0.065,0.036,0.009,0.964,0.459,0.07,0.057,0.021,0.014,0.09,0.179,0.101,0.116,0.006,0.002,0.034,0.129,0.239,0.037,0.361,4.944,0.655,6.564,0.116,0.567,0.08,16.309,0.052,0.032,0.119,0.161,0.123,0.57,0.233,1.524,0.147,1.135,0.533,0.548,0,83.869,0,0.005,1.631,-0.007,4.629,0.256,39.68,-247.406,66.026
"TTL_B05",0.057,0.005,0,0,0,0.003,0.177,0.001,0.315,0.018,0.061,0.095,0.391,1.679,0.085,0.057,1.287,2.417,0.364,0.053,0.073,0.064,0.082,0.004,0,0.027,0.063,113.473,0.037,0.952,0.589,0.244,0.086,0.061,0.085,0.024,0.04,0.016,0.031,0.27,0.154,0.084,0.253,0.08,0.297,0.033,0.047,0.043,0.087,0,120.255,0,0.005,0.735,0,0.195,0,0,-245.552,0
"TTL_B06",0.239,0.02,0.001,0,0.027,0.023,2.092,0.016,4.207,0.121,0.398,1.074,84.467,56.726,1.344,1.168,6.379,4.085,2.968,1.883,0.895,0.75,2.006,0.062,0.003,0.375,0.989,857.597,0.606,4.782,11.257,4.217,2.524,1.224,2.652,0.486,0.473,0.14,0.177,0.616,0.89,0.871,3.937,1.114,2.452,0.396,0.546,0.641,0.504,0,525.41,0.002,16.617,12.959,0,2.424,0.031,6.652,-1624.966,9.548
"TTL_B07",0.141,0.008,0,0,0.003,0.588,4.507,0.02,1.535,0.023,0.076,0.115,1.03,29.168,0.751,0.307,11.098,75.706,94.67,9.935,2.645,5.659,3.27,0.134,0.003,0.493,1.695,23.025,0.514,17.38,3.111,1.011,0.322,0.2,0.469,0.098,0.141,0.062,0.106,0.594,0.708,0.441,2.256,0.579,0.615,0.058,0.132,0.273,0.365,0,1.135,0.003,0.035,2.216,0,0.668,0.024,11.914,-260.232,51.804
"TTL_B08",9.854,0.538,0.026,0,0.022,0.309,145.26,0.131,21.252,0.379,0.724,5.024,5.258,401.698,6.978,4.248,614.571,53.569,23.885,12.036,3.762,9.328,7.088,0.172,0.007,0.637,8.921,242.361,9.575,1106.974,22.388,9.916,3.053,0.239,2.809,0.235,1.482,0.075,0.176,0.292,0.451,17.339,7.055,8.218,16.788,0.348,0.917,1.943,1.549,0,143.414,0.003,0.02,2.631,0,0.592,0.013,28.985,-367.029,2598.487
"TTL_B09",0.071,0.008,0,0,0.002,0.004,0.347,0.006,0.264,0.019,0.044,0.049,0.115,0.542,0.283,0.06,0.425,0.097,0.079,0.155,0.294,0.156,0.22,0.01,0,0.06,0.179,2.188,0.078,1.628,2.07,0.715,0.716,0.468,0.389,0.105,0.074,0.088,0.119,0.531,0.626,0.329,1.892,0.469,0.594,0.055,0.144,0.233,0.168,0,1.788,0.003,1.051,52.144,-0.01,0.29,0.028,1.018,-30.248,43.238
"TTL_C10T12",2453.428,7.562,5.964,0,0.009,0.055,7.492,0.028,17864.443,41.783,10.346,35.336,2.688,1733.22,642.354,20.898,10.412,2.155,3.43,14.819,21.584,15.265,23.421,0.681,0.037,3.986,43.22,114.077,24.318,72.723,2477.11,103.142,450.35,55.899,75.82,18.724,4602.978,38.725,19.351,73.605,105.267,69.565,288.554,137.989,563.639,144.543,777.419,572.168,254.613,0,27725.167,0.048,0.801,18.759,0.647,262.765,323.961,8733.862,-10496.395,60574.81
"TTL_C13T15",14.735,3.647,0.41,0,0.024,0.138,6.524,0.052,63.088,959.764,22.94,54.414,0.767,154.666,82.543,113.165,33.868,6.021,3.621,46.879,72.541,41.835,61.947,15.282,0.271,25.358,462.609,85.574,32.278,217.739,944.626,71.319,54.589,34.912,52.054,46.475,91.228,14.251,8.918,23.135,40.956,37.41,259.929,190.821,386.452,24.92,172.749,265.367,163.994,0,6975.361,0.068,0.641,206.035,-17.256,97.011,10.386,2278.286,-11373.222,3644.112
