"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",913.451,22.942,0.099,0,0,0.019,0.256,0.039,4808.552,28.166,6.989,3.6,0.641,42.129,14.904,16.336,0.579,0.233,0.178,1.97,1.707,1.371,3.129,0.13,0.004,0.253,6.127,11.763,1.606,20.811,385.278,4.76,10.349,0.553,2.977,0.65,415.738,2.452,0.936,1.786,3.402,10.476,18.242,17.643,42.318,5.793,25.011,18.659,17.942,0,4840.957,0.044,3.58,225.244,0.647,78.625,107.151,137.886,-2811.008,9476.075
"TTL_A02",10.23,180.535,0.009,0,0,0.04,0.341,0.013,24.387,0.371,389.1,43.261,0.151,5.818,1.557,3.661,0.571,0.131,0.157,0.86,0.471,0.301,1.131,0.035,0.003,0.073,12.266,9.459,0.268,20.245,24.041,1.397,0.624,0.135,0.458,0.235,9.251,0.206,0.135,0.25,0.344,2.172,1.873,1.416,4.946,0.386,0.73,0.792,1.439,0,119.103,0.001,0.099,1.003,0.233,1.624,0.807,70.414,-52.371,897.188
"TTL_A03",0.24,0.011,0.037,0,0,0.001,0.01,0.003,12.569,0.015,0.03,0.039,0.037,0.138,0.146,0.02,0.026,0.013,0.009,0.055,0.285,0.096,0.14,0.008,0,0.019,0.068,0.15,0.017,0.148,1.43,0.142,1.071,0.03,0.08,0.047,3.966,0.082,0.089,0.328,0.307,0.051,0.839,0.181,0.316,0.072,0.177,0.105,0.124,0,72.915,0,0.526,4.325,0.01,5.073,1.134,8.655,-88.249,28.159
"TTL_B05",0.292,0.014,0,0,0,0.016,0.238,0.036,0.588,0.044,0.122,0.343,15.925,1.636,0.079,0.074,1.851,4.113,0.93,0.297,0.186,0.121,0.305,0.01,0,0.037,0.112,173.094,0.12,0.734,1.091,0.263,0.157,0.053,0.085,0.04,0.21,0.027,0.054,0.064,0.263,0.258,0.272,0.151,0.552,0.085,0.078,0.089,0.198,0,124.949,0,0.007,0.506,0,0.188,0,0,-330.961,0
"TTL_B06",0.66,0.038,0.001,0,0,0.076,0.99,0.385,4.105,0.249,0.369,1.225,754.231,23.521,0.942,0.674,3.984,3.578,2.592,1.776,1.434,1.126,3.26,0.091,0.004,0.299,0.903,595.189,0.585,3.834,9.711,3.71,2.021,0.711,1.021,0.334,1.213,0.213,0.339,0.505,1.031,1.446,2.751,1.293,1.761,0.337,0.57,0.608,0.841,0,439.598,0.002,17.431,20.177,0,2.892,0,0,-1916.638,0
"TTL_B07",0.254,0.021,0,0,0,3.453,4.013,0.915,2.162,0.046,0.054,0.274,15.856,42.628,1.189,0.271,15.407,154.307,238.443,13.725,2.726,5.349,6.462,0.135,0.007,0.369,2.117,26.873,0.935,27.306,3.162,0.601,0.315,0.128,0.288,0.105,0.644,0.099,0.117,0.194,0.412,0.519,1.444,0.617,0.495,0.048,0.109,0.308,0.397,0,1.931,0.002,0.029,0.655,0,0.507,0.051,11.671,-461.996,128.146
"TTL_B08",10.638,0.667,0.023,0,0,0.49,83.513,2.536,19.291,0.561,0.901,8.885,30.888,265.109,5.743,2.573,434.431,30.56,25.802,14.875,6.073,9.547,15.894,0.197,0.012,0.494,13.223,88.078,8.585,732.24,25.885,7.002,1.023,0.124,4.498,0.299,3.819,0.272,0.285,0.534,0.395,17.47,5.335,3.095,14.076,0.348,0.604,2.521,2.167,0,96.739,0.001,0.05,4.721,0,0.596,0.026,17.193,-624.949,1395.958
"TTL_B09",0.196,0.026,0.001,0,0,0.286,2.393,0.907,0.483,0.02,0.078,0.229,12.957,1.092,0.161,0.104,0.858,0.197,0.342,0.382,0.392,0.173,0.572,0.014,0.001,0.082,0.378,12.863,0.204,10.872,1.858,0.917,0.939,0.42,0.463,0.104,0.175,0.104,0.21,0.346,0.527,1.272,1.034,0.589,0.452,0.051,0.088,0.181,0.17,0,3.125,0.001,6.363,188.2,0,0.423,0.051,3.029,-34.949,222.403
"TTL_C10T12",932.035,2.642,1.018,0,0,0.08,1.73,0.223,7032.412,21.376,4.141,15.968,7.095,168.918,72.341,6.911,3.484,1.319,1.964,12.422,19.899,9.775,21.887,0.594,0.024,1.609,11.341,31.391,7.802,29.263,1006.173,24.602,140.347,22.376,17.592,8.937,3678.272,18.052,13.833,27.052,44.216,21.955,104.418,72.093,223.944,64.225,179.15,135.253,113.885,0,17539.966,0.028,1.781,25.815,17.816,305.346,336.39,6075.965,-6888.694,31750.451
"TTL_C13T15",10.092,2.163,0.306,0,0,0.112,1.857,0.233,24.66,662.446,11.721,36.223,2.628,33.549,12.845,47.458,11.605,2.239,2.303,22.262,42.825,24.046,42.592,9.919,0.167,9.357,176.125,16.599,9.184,83.704,325.419,23.05,42.937,4.278,8.722,13.523,77.246,11.201,6.746,7.038,16.14,16.579,49.924,43.2,95.107,8.105,39.52,38.463,56.153,0,4659.511,0.074,0.588,29.326,5.602,140.57,23.524,1916.729,-5842.297,3116.197
"TTL_C16",33.66,14.23,0.124,0,0,0.696,8.414,0.976,92.533,6.585,2081.918,130.776,2.733,54.775,17.628,26.57,48.881,7.647,9.581,108.552,68.163,73.177,126.565,10.528,1.055,25.517,1079.113,162.549,10.835,2550.554,484.278,34.365,16.475,2.299,31.228,9.313,32.689,17.766,9.474,13.931,17.384,669.033,99.233,58.533,45.281,11.693,11.305,28.71,53.004,0,409.893,0.097,0.327,23.971,2.338,12.408,15.048,693.757,-1572.525,7985.646
