annee,activite,nom_act,unite,B1G,D1,EBE_approx,part_travail,part_profits,nom_court
2021,O,Public administration and defence; compulsory social security,XDC,49747.837,32236.954,17510.882999999998,0.648007148531905,0.35199285146809495,Administration publique
2022,O,Public administration and defence; compulsory social security,XDC,51647.659,32829.078,18818.581,0.6356353537727625,0.36436464622723747,Administration publique
2023,O,Public administration and defence; compulsory social security,XDC,53282.563,34134.495,19148.068,0.6406316265229208,0.3593683734770792,Administration publique
2024,O,Public administration and defence; compulsory social security,XDC,54832.367,35203.812,19628.555,0.6420261230014017,0.3579738769985983,Administration publique
2019,P,Education,XDC,29389.208,27195.783,2193.4249999999993,0.9253663113344192,0.0746336886655809,Éducation
2020,P,Education,XDC,29718.563,27786.936,1931.6269999999968,0.9350026782923523,0.06499732170764774,Éducation
2021,P,Education,XDC,30681.677,28589.282,2092.3950000000004,0.9318031084154885,0.06819689158451152,Éducation
2022,P,Education,XDC,31781.45,29540.507,2240.9429999999993,0.9294889629013151,0.0705110370986849,Éducation
2023,P,Education,XDC,33664.761,30985.336,2679.4249999999993,0.9204086136241989,0.07959138637580107,Éducation
2024,P,Education,XDC,35004.144,32458.941,2545.2030000000013,0.9272885233245526,0.07271147667544738,Éducation
2019,Q,Human health and social work activities,XDC,52623.214,45366.617,7256.597000000002,0.8621027404369486,0.13789725956305143,Santé/action sociale
2020,Q,Human health and social work activities,XDC,52087.931,46193.864,5894.0669999999955,0.8868439024771402,0.11315609752285986,Santé/action sociale
2021,Q,Human health and social work activities,XDC,55007.185,48226.615,6780.57,0.8767330122419462,0.1232669877580538,Santé/action sociale
2022,Q,Human health and social work activities,XDC,57495.385,50387.678,7107.707000000002,0.8763777823211376,0.12362221767886243,Santé/action sociale
2023,Q,Human health and social work activities,XDC,59305.028,52650.098,6654.93,0.8877847254367707,0.11221527456322929,Santé/action sociale
2024,Q,Human health and social work activities,XDC,62712.623,54168.492,8544.131000000001,0.8637573969757253,0.13624260302427474,Santé/action sociale
2019,R,"Arts, entertainment and recreation",XDC,4958.564,3742.103,1216.4610000000002,0.7546747405095507,0.24532525949044928,Arts/loisirs
2020,R,"Arts, entertainment and recreation",XDC,3524.902,3303.025,221.87699999999995,0.937054420236364,0.06294557976363596,Arts/loisirs
2021,R,"Arts, entertainment and recreation",XDC,6008.5,3576.727,2431.773,0.5952778563701423,0.4047221436298577,Arts/loisirs
2022,R,"Arts, entertainment and recreation",XDC,8264.354,4116.215,4148.138999999999,0.49806857257082654,0.5019314274291735,Arts/loisirs
2023,R,"Arts, entertainment and recreation",XDC,5740.427,4410.883,1329.5439999999999,0.7683893550079114,0.23161064499208855,Arts/loisirs
2024,R,"Arts, entertainment and recreation",XDC,8292.171,4630.725,3661.446,0.5584454300327382,0.4415545699672619,Arts/loisirs
2019,S,Other service activities,XDC,9315.204,7077.612,2237.5919999999996,0.7597914119755188,0.24020858802448122,Autres services
2020,S,Other service activities,XDC,8643.156,6962.453,1680.7030000000004,0.8055452198247954,0.19445478017520454,Autres services
2021,S,Other service activities,XDC,9512.119,7378.217,2133.902000000001,0.7756649175646351,0.2243350824353649,Autres services
2022,S,Other service activities,XDC,9977.738,7676.554,2301.1839999999993,0.7693681674142978,0.23063183258570225,Autres services
2023,S,Other service activities,XDC,10504.356,7968.747,2535.6089999999995,0.7586135694563284,0.24138643054367157,Autres services
2024,S,Other service activities,XDC,10641.74,7943.207,2698.5329999999994,0.7464199463621551,0.2535800536378449,Autres services
2019,T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,XDC,2441.823,2441.823,0,1,0,Ménages employeurs
2020,T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,XDC,2110.176,2110.176,0,1,0,Ménages employeurs
2021,T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,XDC,2273.261,2273.261,0,1,0,Ménages employeurs
2022,T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,XDC,2456.715,2456.715,0,1,0,Ménages employeurs
2023,T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,XDC,2594.486,2594.486,0,1,0,Ménages employeurs
2024,T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,XDC,2549.41,2549.41,0,1,0,Ménages employeurs
2019,_T,Total - all activities,XDC,711779.845,421687.435,290092.41,0.5924408199560638,0.40755918004393615,Total
2020,_T,Total - all activities,XDC,690804.281,415038.275,275766.00599999994,0.6008044339261992,0.3991955660738008,Total
2021,_T,Total - all activities,XDC,747160.085,434093.01,313067.07499999995,0.5809906320142892,0.4190093679857108,Total
2022,_T,Total - all activities,XDC,798087.686,459689.26,338398.426,0.5759884133834386,0.4240115866165613,Total
2023,_T,Total - all activities,XDC,813555.865,476597.731,336958.13399999996,0.585820533664274,0.414179466335726,Total
2024,_T,Total - all activities,XDC,832426.773,492615.439,339811.33400000003,0.5917823104423384,0.4082176895576616,Total
