"","X","ktnr","ktname","Einheit","stpf","snpstbetr","mean_stbetr","median_stbetr","gini_stbetr","mean_steink","median_steink","gini_steink","mean_steinka","median_steinka","gini_steinka","mean_reink","median_reink","gini_reink","mean_reinka","median_reinka","gini_reinka","p1","p5","p10","p20","p25","p30","p40","p50","p60","p70","p75","p80","p90","p95","p96","p97","p98","p99","p99_5","p99_9","p99_99","stpfo","stpf_100","stpf_200","stpf_300","stpf_400","stpf_500","stpf_600","stpf_700","stpf_800","stpf_900","stpf_1000","stpf_1100","stpf_1200","stpf_1300","stpf_1400","stpf_1500","stpf_1600","stpf_1700","stpf_1800","stpf_1900","stpf_2000","stpf_u2000","year","Einheit.ID"
"118",118,14,"SH","Total",42336,47.018,1111,295,0.772,50359,43500,0.403,37821.03125,34444.4453125,0.375077992677689,56514,48600,0.392,41552.08984375,38500,0.346277683973312,0,1000,7400,20400,25200,29400,36800,43500,50800,59600,64800,71300,91800,115000,123100,135200,156800,202000,268600,478300,NA,7374,4957,3315,4660,5949,6027,4897,3646,2600,1784,1256,812,588,416,287,184,161,113,115,70,65,434,2003,NA
"119",119,15,"AR","Total",30041,40.887,1361,232,0.835,50463,41200,0.451,38651.55078125,32200,0.434910506010056,56395,46300,0.439,42151.02734375,36400,0.404891759157181,0,0,4800,17700,22300,26500,34300,41200,48300,56800,62300,68800,89600,116200,126900,142300,171000,250500,362300,965800,NA,6064,4219,2495,3562,4199,4162,3268,2357,1656,1160,753,485,329,274,185,145,96,86,72,45,43,450,2003,NA
"120",120,16,"AI","Total",8103,12.613,1557,206,0.865,51754,40400,0.463,38861.96484375,30266.666015625,0.449329733848572,58712,46200,0.447,42809.96875,34714.28515625,0.41308605670929,0,1500,7800,18600,22500,26300,33600,40400,46800,54400,59900,66200,87700,114700,125000,142000,180700,261100,375500,NA,NA,1470,967,803,1054,1179,1225,853,616,401,245,162,155,90,55,43,35,22,20,14,19,10,135,2003,NA
"121",121,17,"SG","Total",256822,309.435,1205,238,0.816,50018,41600,0.438,37143.55859375,31944.4453125,0.415965229272842,56641,47200,0.423,41059.88671875,36428.5703125,0.381189048290253,0,0,4800,18600,23100,27500,34900,41600,48600,57100,62300,68500,89500,114800,124400,139300,163900,226400,319500,736000,2747700,48968,33366,21595,29874,37144,36675,28401,20866,14081,9502,6531,4338,3085,2169,1579,1233,930,702,571,486,379,3315,2003,NA
"122",122,18,"GR","Total",126786,137.93,1088,185,0.829,42586,35200,0.513,32113.45703125,27400,0.491616070270538,48026,39200,0.496,35369.80078125,31800,0.461845725774765,0,0,0,5500,9200,14600,25700,35200,43300,52400,57900,64500,84900,108600,117600,131400,154900,212200,291900,608300,2205200,27726,32668,11174,12234,14759,14631,11738,8584,6084,4139,2771,1878,1306,919,652,504,394,310,230,206,157,1448,2003,NA
"123",123,19,"AG","Total",315446,435.34,1380,381,0.77,55092,47200,0.406,40745.41015625,36722.22265625,0.377588093280792,61709,52700,0.394,44733.984375,41000,0.34675270318985,0,500,7300,22900,28300,32900,40200,47200,54900,64300,70000,77100,1e+05,126600,136700,150800,174600,225100,296300,570300,1405500,50235,35962,19363,28965,40684,44599,37657,29166,21312,15145,10886,7593,5477,4019,2800,2104,1707,1203,1029,804,612,4359,2003,NA
"124",124,20,"TG","Total",128703,140.134,1089,250,0.792,48988,42100,0.414,36343.49609375,32200,0.391582369804382,55807,47800,0.399,40409.08203125,36733.33203125,0.355650126934052,0,0,6100,19400,24000,28200,35600,42100,48900,57300,62400,68700,88700,112600,121600,134800,155700,204600,269900,512400,1862200,23217,16487,9900,14999,18645,18904,14635,10483,7360,4948,3245,2199,1535,1079,808,619,479,365,261,218,165,1369,2003,NA
"125",125,21,"TI","Total",177522,271.808,1531,289,0.821,52770,42200,0.444,39618.05859375,33000,0.418176054954529,56943,46200,0.438,42122.01953125,36000,0.401188135147095,0,0,4600,20500,24800,29100,35800,42200,49400,58100,63400,70200,94200,127400,141400,160000,194100,274200,384500,769400,2112400,21594,20562,13636,21150,27193,25255,19716,14169,9538,6470,4300,3095,2269,1660,1244,968,831,792,497,460,348,3369,2003,NA
"126",126,22,"VD","Total",361641,655.037,1811,294,0.831,56081,44000,0.489,41146.46484375,34600,0.459882855415344,62199,49000,0.47,44855.16015625,38619.046875,0.427652597427368,0,0,0,17000,22800,27800,36100,44000,52800,63600,70300,78800,107700,143300,156500,176200,208800,282000,378100,848300,3058800,75116,62871,18283,35989,45475,43195,36000,28437,21308,15517,11550,8526,6426,5102,3758,3018,2408,1887,1555,1239,1014,8083,2003,NA
"127",127,23,"VS","Total",198570,172.727,870,170,0.819,39158,33200,0.513,29158.69140625,25700,0.489554971456528,44086,36700,0.51,32083.46484375,29958.333984375,0.469273686408997,0,0,200,3600,6000,12000,23800,33200,41300,50100,55300,61300,79200,99200,106800,117600,135700,180000,241800,511000,2126500,49960,57107,14630,20417,23634,22840,18201,13406,9007,5954,3644,2450,1646,1143,829,539,531,330,273,238,194,1557,2003,NA
"128",128,24,"NE","Total",97489,112.78,1157,240,0.797,49072,41300,0.44,36441.23828125,32533.333984375,0.406803816556931,55035,45800,0.434,39993.92578125,36900,0.384212970733643,0,0,2600,16800,22000,26000,34200,41300,49200,58700,64500,71500,93100,117900,127400,139300,160300,206400,271100,575600,NA,19750,14930,7296,11455,13290,12373,10060,7592,5657,4074,2870,1912,1357,947,786,523,407,328,229,177,177,1049,2003,NA
"129",129,25,"GE","Total",235503,648.165,2752,360,0.859,63802,46100,0.553,47022.73046875,36222.22265625,0.522275567054749,69262,50900,0.538,50335.953125,40444.4453125,0.498103708028793,0,0,0,0,20100,25800,36300,46100,56300,68000,75400,84800,118300,163500,181200,207200,254300,366100,527700,1335300,12175500,49752,49357,8844,20942,23499,24117,22449,19021,14413,10990,8234,6114,4712,3595,2822,2203,1831,1510,1289,1041,915,7605,2003,NA
"130",130,26,"JU","Total",40660,30.645,754,165,0.792,41991,36600,0.432,30887.599609375,28000,0.401290595531464,48253,41800,0.426,34601.03125,32600,0.372862040996552,0,0,2100,13500,18500,22600,30000,36600,43500,51900,57000,62700,80100,98600,105700,114900,128800,163400,211500,413500,NA,9538,7064,3772,5360,6142,5200,4033,3017,1980,1323,821,527,360,269,168,108,86,70,47,44,32,237,2003,NA
"131",131,1,"ZH","Total",766639,1629.795,2126,400,0.826,60598,47200,0.473,46647.5234375,38400,0.446758896112442,66022,51600,0.459,50038.0390625,42047.6171875,0.420496970415115,0,0,4900,19600,25000,30200,39200,47200,55800,66300,72900,81400,111000,150000,165300,188300,227100,316700,452000,1021800,3452000,139959,101275,53922,70838,87466,94586,83275,66951,48724,35612,26049,19423,14130,11154,8233,6558,5286,4177,3461,2938,2382,20199,2004,NA
"132",132,2,"BE","Total",588678,614.505,1044,192,0.81,45626,39100,0.462,34824.8125,31307.69140625,0.439565032720566,51230,43800,0.446,38261.79296875,35277.77734375,0.408167600631714,0,0,0,10900,18100,23400,32000,39100,46300,55000,60500,67200,88300,111900,120600,132400,151800,196600,262900,531600,1760000,149369,114096,42325,63174,81715,77580,59279,43343,29983,21184,14782,10071,7165,5265,3670,2812,2165,1528,1227,899,755,5660,2004,NA
"133",133,3,"LU","Total",201483,240.25,1192,253,0.808,49317,41700,0.432,37191.76953125,32800,0.407063096761703,55253,46600,0.421,40726.11328125,36900,0.378596156835556,0,0,5700,17400,22500,27200,35100,41700,48500,56800,62200,68700,90200,115500,125100,138500,161200,216600,303600,626700,2033300,40607,27192,18137,21361,28686,29330,22476,15698,10853,7463,5174,3545,2485,1832,1378,995,775,564,430,396,293,2420,2004,NA
"134",134,4,"UR","Total",19784,14.751,746,208,0.759,43909,40000,0.389,32814.53125,30800,0.365855634212494,50307,45100,0.376,36620.6640625,35000,0.330201029777527,0,1000,6800,17000,21900,26300,33600,40000,46400,53600,58000,63200,78300,95500,101900,108900,122200,152700,212200,412800,NA,4035,2636,1932,2286,3007,3041,2325,1671,1043,633,364,272,157,103,62,43,33,25,16,14,9,112,2004,NA
"135",135,5,"SZ","Total",77624,232.845,3000,321,0.886,66877,44500,0.535,50484.953125,35000,0.517709076404572,72740,49600,0.515,53966.0625,39000,0.488148093223572,0,200,6900,19500,24300,29400,37400,44500,52500,62700,69400,78000,109300,157600,179800,215600,284900,450400,766100,1998500,NA,13902,9438,6423,7958,10023,10460,8208,6038,4265,3152,2308,1670,1278,912,646,589,471,377,309,297,222,2580,2004,NA
"136",136,6,"OW","Total",19650,23.467,1194,213,0.839,46747,39000,0.461,35110.16796875,29666.666015625,0.439893007278442,52868,43700,0.452,38657.8046875,34300,0.411103874444962,0,200,4100,13700,19000,23400,32000,39000,45500,53100,58000,63800,83600,105900,114000,125500,147050,200100,266900,580000,NA,4155,3269,1856,2234,2794,2838,2092,1443,901,621,455,255,209,151,92,66,48,40,38,26,24,198,2004,NA
"137",137,7,"NW","Total",23092,62.383,2701,382,0.869,65716,46500,0.499,49939.56640625,37100,0.478298962116241,71852,52000,0.481,53612.9765625,41000,0.448100984096527,0,2800,9500,21900,27200,31900,39400,46500,54300,63600,70200,78400,106900,147800,164700,192100,246300,380200,6e+05,2054100,NA,3564,2389,1772,2258,2994,3205,2697,1967,1379,1061,691,529,357,282,221,173,147,88,100,77,62,643,2004,NA
"138",138,8,"GL","Total",21929,20.775,947,224,0.784,46969,40600,0.398,35471.41796875,31600,0.370065599679947,53073,45500,0.392,39117.67578125,35761.90625,0.343449145555496,0,2600,8200,19700,23700,27600,34300,40600,47200,54900,59700,65600,84000,105100,113800,125900,145000,189000,262100,499600,NA,3764,2492,1971,2855,3366,3290,2526,1688,1184,792,505,297,200,171,116,67,66,52,46,27,22,196,2004,NA
"139",139,9,"ZG","Total",61331,239.633,3907,528,0.862,78701,52100,0.536,58718.56640625,41238.09375,0.509941458702087,84412,57200,0.521,62152.28125,45100,0.486019194126129,0,0,7800,22500,29000,34600,43500,52100,61600,74200,82300,93300,133200,191000,216900,254200,325400,493700,772000,2670000,NA,9870,6876,4296,4591,6201,7153,6669,5307,4090,3017,2351,1704,1447,1157,875,684,595,491,403,321,270,2833,2004,NA
"140",140,10,"FR","Total",135136,162.001,1199,274,0.794,51220,43300,0.414,37418.37109375,32900,0.382796883583069,58180,48800,0.408,41478.0078125,37692.30859375,0.354592084884644,0,2700,7900,19700,24300,28900,36600,43300,50600,59500,65000,71600,93000,117200,125800,138700,159200,206000,272600,524700,2512300,23151,15476,11853,14858,18679,19163,15098,11362,8193,5624,3925,2703,1922,1370,971,746,523,410,339,277,194,1450,2004,NA
"141",141,11,"SO","Total",149754,172.857,1154,271,0.794,49166,42600,0.439,37133.578125,33800,0.411635965108871,54905,47200,0.429,40714.73046875,37900,0.384530335664749,0,0,1000,16000,21800,26800,35300,42600,49900,58800,64300,71000,91600,115000,123700,135900,155800,203600,273100,554000,2047900,31279,24143,10639,15174,19357,20545,16676,12232,8876,6305,4272,2948,2030,1400,1043,755,568,434,312,274,216,1555,2004,NA
"142",142,12,"BS","Total",122660,223.547,1822,270,0.848,53616,41300,0.509,42102.4296875,34300,0.485934972763062,58778,45800,0.485,45524.1015625,38100,0.452199190855026,0,0,0,12500,17900,23000,32900,41300,50200,60400,66500,73800,1e+05,134300,148200,167300,199000,268100,391600,1072300,4124800,29761,22232,10833,12248,14014,13885,12103,9831,6987,4802,3431,2593,1757,1315,1056,810,657,575,425,370,305,2431,2004,NA
"143",143,13,"BL","Total",154871,304.886,1969,480,0.795,61522,50500,0.443,45611.6171875,39800,0.414329081773758,67903,55900,0.426,49577.44140625,44000,0.383801519870758,0,0,5700,21700,28300,33900,42500,50500,59100,69700,76400,84600,112100,145800,158700,177600,209700,281300,382200,834100,3976800,26115,19579,9526,11646,16362,19223,18004,14299,11094,8195,6153,4490,3306,2531,1842,1433,1117,869,707,579,435,3481,2004,NA
"144",144,14,"SH","Total",42409,48.341,1140,290,0.78,50376,43200,0.408,37824.92578125,34200,0.378450095653534,56479,48300,0.397,41535.2578125,38380.953125,0.349762409925461,0,1000,7200,20300,24900,29100,36500,43200,50500,59200,64600,71100,91200,114800,124000,136100,158900,209200,281600,508000,NA,7513,5041,3300,4835,5964,5992,4865,3595,2561,1833,1180,801,576,412,261,194,167,119,100,81,56,476,2004,NA
"145",145,15,"AR","Total",30147,40.592,1346,237,0.831,50359,41300,0.451,38029.4609375,32000,0.429488986730576,56466,46200,0.437,41654.1171875,36307.69140625,0.398777663707733,0,0,5000,17100,21800,26300,34200,41300,48400,57000,62600,69300,90800,117200,127600,143500,174000,240400,355300,882900,NA,6074,4298,2593,3467,4142,4192,3225,2334,1658,1144,798,496,378,269,190,155,110,68,75,67,43,445,2004,NA
"146",146,16,"AI","Total",8234,12.57,1527,212,0.858,51560,40550,0.46,38649.078125,30511.904296875,0.443380415439606,58343,46400,0.445,42516.50390625,35238.09375,0.40812161564827,0,1000,7400,18300,22200,26500,33800,40550,47300,55000,60100,66600,88500,115900,127500,147800,184300,268900,408200,NA,NA,1531,1011,805,1032,1201,1203,920,601,406,273,149,161,97,54,44,33,21,27,26,15,10,145,2004,NA
"147",147,17,"SG","Total",259668,316.503,1219,242,0.815,53058,41300,0.476,39342.90625,31900,0.453309148550034,59607,46800,0.458,43232.734375,36380.953125,0.417449146509171,0,0,4300,17900,22600,26900,34600,41300,48400,56900,62100,68600,89500,114700,124600,139000,163300,223100,316100,890900,11280000,49650,35047,22110,30245,37113,36487,28550,20647,14224,9678,6513,4435,3129,2193,1643,1269,913,777,584,461,371,3279,2004,NA
"148",148,18,"GR","Total",126959,144.122,1135,186,0.833,43149,35300,0.514,32525.75390625,27700,0.492159575223923,48607,39300,0.498,35804.05078125,32066.666015625,0.462091952562332,0,0,0,5700,9600,14900,26100,35300,43500,52600,58100,64800,85300,109100,117900,132900,158900,216100,291400,656000,2705100,27110,32222,11329,12290,14750,14776,11751,8547,6222,4140,2743,1972,1350,864,650,477,381,345,280,186,161,1523,2004,NA
"149",149,19,"AG","Total",319860,449.04,1404,384,0.772,55304,47200,0.409,40936.15234375,36900,0.379308223724365,61847,52600,0.397,44896.64453125,41095.23828125,0.349022477865219,0,300,7200,22700,28100,32700,40100,47200,54900,64500,70400,77500,100700,127800,137600,152000,175200,227500,301800,567900,1500000,51509,36710,20022,29085,41379,44590,37797,29106,21786,15456,11132,7918,5554,4123,2948,2201,1770,1305,981,817,688,4492,2004,NA
"150",150,20,"TG","Total",130690,150.461,1151,256,0.797,49676,42300,0.42,36840.00390625,32500,0.396284878253937,56409,47900,0.406,40869.3125,37000,0.361163377761841,0,0,5800,19200,23900,28300,35700,42300,49200,57800,63100,69500,90300,114700,124100,137100,159100,210700,278900,543200,1827000,23734,16958,10137,14757,18879,18793,14747,10677,7425,5096,3459,2333,1689,1132,918,637,469,386,277,256,185,1480,2004,NA
"151",151,21,"TI","Total",169549,274.746,1620,320,0.817,54685,43400,0.436,40967.66796875,33933.33203125,0.408943593502045,59938,48500,0.429,44206.2578125,37800,0.387460917234421,0,0,7300,22300,26900,30500,37000,43400,50600,59400,64900,71700,96000,128900,143200,163400,198200,279800,394400,823100,2559000,13538,18419,10587,20238,26374,24617,19323,14103,9568,6459,4452,3147,2297,1636,1211,933,728,752,504,484,372,3345,2004,NA
"152",152,22,"VD","Total",368374,686.215,1863,292,0.833,55581,42500,0.497,40850.62109375,33666.66796875,0.465555608272552,61926,47500,0.476,44745.4609375,38000,0.430655270814896,0,0,300,14500,20000,24900,34200,42500,51600,62700,69700,78300,108300,146400,161000,182600,217900,295900,4e+05,792100,2840100,78711,62159,29501,37572,43844,41743,34696,27454,20697,15280,11379,8473,6329,4979,3803,3049,2477,1895,1602,1304,1110,9028,2004,NA
"153",153,23,"VS","Total",200023,180.866,904,174,0.82,39853,33600,0.514,29720.056640625,26000,0.490562230348587,44829,37100,0.511,32679.310546875,30333.333984375,0.470006197690964,0,0,400,3700,6300,12400,24000,33600,41700,50700,55900,62000,80500,100900,108700,119600,138600,183900,248100,515400,1802500,50216,56866,15114,20050,23463,22920,18535,13532,9161,6137,3905,2631,1755,1214,847,608,526,350,282,251,205,1671,2004,NA
"154",154,24,"NE","Total",98089,117.637,1199,242,0.802,49398,41300,0.446,36710.71484375,32619.046875,0.413546651601791,55364,45900,0.439,40274.24609375,37047.6171875,0.390313029289246,0,0,2200,16400,21500,25500,33900,41300,49300,58900,64900,72000,94100,119300,128900,141900,163300,212800,284100,569600,NA,20476,15390,7438,11434,12939,12376,10001,7595,5658,4146,2895,2009,1383,972,789,554,427,331,270,201,132,1149,2004,NA
"155",155,25,"GE","Total",237153,653.075,2754,360,0.856,65141,46200,0.535,48092.9140625,36300,0.501017153263092,70613,51000,0.522,51415.015625,40500,0.478413552045822,0,0,100,15700,21200,26100,36300,46200,56400,68400,76200,85800,120100,167300,186000,214300,263500,384100,554000,1453000,8179500,50323,38746,17491,23631,23415,24097,22390,18759,14291,11019,8302,6285,4931,3629,2910,2392,1851,1538,1279,1147,902,8148,2004,NA
"156",156,26,"JU","Total",40853,31.51,771,167,0.79,42373,36900,0.435,31120.775390625,28238.095703125,0.401845842599869,48618,41900,0.43,34833.5546875,32900,0.374518156051636,0,0,2100,13000,18100,22400,30000,36900,43900,52600,57800,63800,81500,100300,107400,116500,132700,167400,215100,423800,NA,9735,7177,3846,5244,6014,5121,4017,3003,2091,1355,906,580,367,251,199,127,92,75,60,49,36,243,2004,NA
"157",157,1,"ZH","Total",774870,1767.982,2282,408,0.832,62016,47400,0.483,47798.265625,38666.66796875,0.456167101860046,67201,51700,0.467,51053.8203125,42142.85546875,0.430349111557007,0,0,4800,19600,25000,30200,39300,47400,56200,66900,73700,82300,113000,153500,169900,193800,234300,331200,473800,1135800,4412600,141563,103055,53883,71383,87431,94459,83417,66747,49652,35820,26384,19975,14824,11352,8642,6878,5532,4442,3666,3064,2536,21728,2005,NA
"158",158,2,"BE","Total",593663,649.369,1094,197,0.814,46229,39400,0.466,35397.34375,31666.666015625,0.444104611873627,51704,43900,0.452,38760.5546875,35583.33203125,0.414089769124985,0,0,0,10500,17900,23400,32100,39400,46700,55500,61100,67900,89300,113400,122100,134300,154100,198900,263600,548200,1793900,151209,116114,42257,62369,80652,77945,59721,43661,30943,21777,14983,10659,7546,5372,3936,2807,2226,1687,1319,998,826,5865,2005,NA
"159",159,3,"LU","Total",203862,266.104,1305,260,0.819,50556,42000,0.439,38019.8828125,33000,0.413945734500885,56396,46800,0.429,41461.96484375,37000,0.386275351047516,0,0,5600,18200,23100,27600,35400,42000,48900,57300,62700,69400,91000,116800,126900,141100,165700,225900,314900,686100,3087100,39279,27388,16715,22572,28981,29516,22837,15802,11313,7663,5377,3658,2559,1847,1380,1010,793,621,488,383,304,2655,2005,NA
"160",160,4,"UR","Total",19876,15.161,763,218,0.758,44210,40300,0.391,33145.15625,31300,0.36872124671936,50560,45500,0.378,36933.703125,35400,0.333186417818069,0,1100,6500,17000,21700,26400,33900,40300,46700,54100,58600,63900,78600,96500,102700,112400,124700,156900,209800,483100,NA,4063,2750,1866,2189,3030,3006,2313,1736,1094,622,383,251,176,119,75,44,31,30,18,15,11,117,2005,NA
"161",161,5,"SZ","Total",78346,263.608,3365,324,0.895,69846,44600,0.556,52620.9375,34800,0.543178737163544,75487,49600,0.536,55908.21484375,38600,0.514668107032776,0,0,6100,19300,24200,29000,37200,44600,52700,63000,70000,78700,111400,164700,188900,229800,306300,503300,802800,2351800,NA,14415,9988,6200,8095,9915,10314,8184,6056,4391,3255,2234,1655,1273,973,714,490,501,380,324,303,229,2872,2005,NA
"162",162,6,"OW","Total",19809,23.614,1192,220,0.832,47128,39400,0.457,35043.83984375,29900,0.431795954704285,53014,43900,0.449,38432.48828125,34500,0.405698120594025,0,500,4400,13900,19200,23800,32300,39400,45900,53800,58900,64700,84900,109000,117100,128300,149600,209500,268600,638800,NA,4127,3248,1854,2237,2746,2818,2139,1431,1008,646,436,277,237,158,109,73,51,48,22,34,16,221,2005,NA
"163",163,7,"NW","Total",23455,76.412,3258,390,0.888,70780,46800,0.53,54031.14453125,37500,0.511020958423615,76795,51900,0.512,57650.96875,41500,0.481741309165955,0,3000,9400,22000,27400,32100,39700,46800,54600,64700,71100,79000,109300,150100,169000,196600,259800,4e+05,599600,2122100,NA,3539,2421,1818,2254,2975,3247,2687,1981,1505,1023,720,512,400,300,227,178,169,109,95,91,54,689,2005,NA
"164",164,8,"GL","Total",22044,20.68,938,221,0.784,46613,40500,0.4,35256.484375,31666.666015625,0.372085243463516,52662,45200,0.394,38879.55859375,35900,0.344896346330643,0,1900,7700,19200,23400,27300,34400,40500,47000,54800,59600,65100,83600,104000,112500,124800,143500,192400,256000,457800,NA,3941,2660,1930,2812,3386,3323,2477,1791,1165,753,507,304,203,143,118,83,57,41,42,21,26,202,2005,NA
"165",165,9,"ZG","Total",62215,262.928,4226,552,0.866,81651,52700,0.546,60655.56640625,41769.23046875,0.518472135066986,87349,58100,0.53,64085.36328125,45700,0.49453005194664,0,300,7800,22700,29200,34900,44000,52700,62700,75400,84100,95400,136400,199300,225000,262900,346600,536100,851100,2785100,NA,9896,7023,4199,4695,6073,7151,6535,5530,4051,3121,2455,1899,1405,1238,913,681,628,479,430,333,282,3094,2005,NA
"166",166,10,"FR","Total",137428,171.383,1247,286,0.795,51892,43700,0.416,37981.20703125,33300,0.384974986314774,58816,49300,0.409,42024.4765625,38100,0.357041239738464,0,2900,7900,19800,24500,29100,36900,43700,51100,60100,65800,72500,94500,119000,127900,141700,162200,211000,281600,577800,2568500,23509,15799,11874,14851,18551,19415,15470,11560,8281,5988,3969,2920,2034,1460,983,792,628,462,347,262,228,1554,2005,NA
"167",167,11,"SO","Total",151214,176.529,1167,276,0.791,49430,42800,0.439,37230.77734375,33900,0.410899132490158,55349,47500,0.428,40884.83984375,38100,0.3824702501297,0,0,800,16200,22000,27000,35600,42800,50200,59300,64800,71500,92300,116400,125100,137200,157400,204000,274300,555400,2065700,31334,24380,10487,15134,19673,20508,16724,12459,9044,6499,4294,2992,2128,1523,1123,800,536,452,339,267,234,1618,2005,NA
"168",168,12,"BS","Total",122347,227.48,1859,268,0.849,53781,41200,0.515,42223.96875,34208.33203125,0.491146326065063,58898,45600,0.491,45609.796875,38000,0.457409352064133,0,0,0,11700,17500,22700,32500,41200,50200,60600,66700,74300,101000,135800,149900,169600,203500,275900,395900,1008600,4696400,30238,22926,10480,12386,13680,13583,11894,9657,6916,4815,3464,2532,1906,1316,1072,829,674,562,422,381,305,2547,2005,NA
"169",169,13,"BL","Total",156321,313.228,2004,480,0.796,61708,50500,0.446,45512.40625,39692.30859375,0.416511923074722,68123,55900,0.429,49467.78515625,43875,0.385874629020691,0,0,5400,21500,27900,33600,42400,50500,59400,70000,76600,85000,112700,146900,160100,179900,212700,287900,402800,910300,3205300,26688,20032,9578,12022,16273,19230,17592,14632,11239,8214,6209,4627,3388,2504,1879,1499,1135,847,732,591,485,3613,2005,NA
"170",170,14,"SH","Total",43188,50.662,1173,290,0.786,50382,43200,0.416,37853.99609375,34266.66796875,0.385810494422913,56411,47900,0.405,41551.29296875,38285.71484375,0.356842190027237,0,400,6300,19400,24100,28600,36100,43200,50400,59200,64600,71100,92200,116000,125000,137600,160700,211900,283600,538900,NA,7953,5461,3394,4821,5878,6112,4839,3700,2583,1761,1256,863,548,444,286,210,157,118,102,103,61,491,2005,NA
"171",171,15,"AR","Total",30164,40.493,1342,240,0.827,50569,41300,0.448,38779.9921875,32523.80859375,0.431518524885178,56538,46400,0.434,42350.8359375,36700,0.400765180587769,0,0,5300,17500,22300,26600,34600,41300,48800,57400,62800,69600,91500,119900,130200,145800,174100,243500,346500,803100,NA,5865,4284,2489,3403,4229,4147,3280,2375,1686,1137,762,497,368,294,208,162,114,97,73,55,56,448,2005,NA
"172",172,16,"AI","Total",8378,14.142,1688,224,0.865,52999,40800,0.473,39490.57421875,31200,0.450237512588501,59644,46400,0.457,43294.2109375,35666.66796875,0.415425568819046,0,200,7100,18100,22100,26400,34000,40800,47600,55900,61200,67600,89900,119300,130000,157600,2e+05,295500,497500,NA,NA,1557,1055,803,1031,1191,1204,916,626,421,295,181,154,89,76,35,36,22,26,19,16,14,168,2005,NA
"173",173,17,"SG","Total",262349,324.49,1237,244,0.816,49482,41400,0.44,36987.9140625,32095.23828125,0.418024957180023,55920,46700,0.425,40829.62890625,36500,0.383957087993622,0,0,3800,17800,22500,26800,34600,41400,48500,57100,62400,68700,90000,114900,124500,139300,163900,219200,300200,666300,2604500,50726,36234,21980,30277,37028,36775,28741,20988,14352,9727,6789,4688,3133,2296,1576,1246,937,790,638,474,385,3295,2005,NA
"174",174,18,"GR","Total",127343,143.21,1125,189,0.827,43172,35500,0.513,32574.197265625,28000,0.490890979766846,48590,39500,0.496,35836.4453125,32300,0.461204171180725,0,0,0,5500,9400,15000,26300,35500,43900,53100,58600,65300,86100,110000,119000,134300,160300,220000,296400,675600,2104300,27103,32528,10836,12368,14709,14638,11885,8548,6305,4215,2892,2039,1382,901,647,508,385,340,273,204,175,1565,2005,NA
"175",175,19,"AG","Total",324639,476.621,1468,389,0.778,55980,47400,0.414,41489.73046875,37200,0.383697688579559,62424,52700,0.402,45403.61328125,41400,0.353890061378479,0,100,7000,22700,28200,32700,40200,47400,55300,64800,70800,78200,101600,129300,139700,153800,177600,229600,302600,585000,1731400,52588,37638,20117,29351,41323,44857,38287,29534,21943,15859,11503,8133,5847,4259,3067,2323,1862,1363,1080,913,732,4648,2005,NA
"176",176,20,"TG","Total",132653,158.209,1193,263,0.799,50287,42600,0.42,37010.609375,32333.333984375,0.39722728729248,56674,47900,0.41,40706.9453125,36600,0.368111878633499,0,500,6700,19400,24000,28400,35900,42600,49500,58300,63600,70200,91200,116200,125400,138900,162400,212400,281000,572600,1978900,23724,16617,10599,15112,18751,19240,14818,10788,7646,5264,3593,2422,1755,1238,896,640,515,396,333,267,209,1554,2005,NA
"177",177,21,"TI","Total",194348,287.361,1479,226,0.841,49776,38900,0.481,37466.05859375,30533.333984375,0.452257335186005,54859,43200,0.469,40625.9296875,34600,0.428397357463837,0,0,3800,14600,18800,23000,31300,38900,46700,55900,61600,68600,92500,124500,138000,159100,191700,273100,386200,805800,2682400,38268,30380,20779,23084,25612,24200,18993,14036,9792,6665,4588,3210,2434,1718,1331,978,771,761,560,486,405,3565,2005,NA
"178",178,22,"VD","Total",373803,759.925,2033,308,0.836,57556,43200,0.501,42324.890625,34400,0.467733323574066,59929,45100,0.495,43522.2890625,35800,0.455998837947845,0,0,1600,15000,20800,25700,34800,43200,52400,63900,71000,80100,111700,151900,168500,192800,231600,317600,431800,888800,3273600,76774,60604,29824,37994,44215,42305,34962,27862,21027,15591,11867,8872,6665,5430,4057,3248,2633,1952,1733,1415,1179,10368,2005,NA
"179",179,23,"VS","Total",207712,194.205,935,166,0.833,39222,32400,0.531,29231.2421875,25375,0.506470799446106,44035,35800,0.527,32105.818359375,29600,0.486272692680359,0,0,0,3000,5100,9300,22400,32400,41100,50000,55300,61500,80100,100600,108400,119800,138600,182900,247200,517700,1682900,56469,63252,14970,20365,23239,23369,18544,13808,9284,6192,4027,2664,1783,1285,883,628,546,360,321,273,188,1731,2005,NA
"180",180,24,"NE","Total",98983,122.491,1237,240,0.805,49584,41200,0.454,36899.53515625,32700,0.420006066560745,55516,45700,0.445,40450.1484375,37100,0.396247267723083,0,0,1600,15600,21000,25200,33800,41200,49300,59100,65100,72600,95100,121100,130800,144300,167100,216600,296000,623500,NA,21320,16212,7456,11344,12884,12206,9907,7532,5666,4240,2923,2052,1468,1070,785,572,455,335,297,192,171,1216,2005,NA
