"","X","ktnr","ktname","Einheit","stpf","snpstbetr","mean_stbetr","median_stbetr","gini_stbetr","mean_steink","median_steink","gini_steink","mean_steinka","median_steinka","gini_steinka","mean_reink","median_reink","gini_reink","mean_reinka","median_reinka","gini_reinka","p1","p5","p10","p20","p25","p30","p40","p50","p60","p70","p75","p80","p90","p95","p96","p97","p98","p99","p99_5","p99_9","p99_99","stpfo","stpf_100","stpf_200","stpf_300","stpf_400","stpf_500","stpf_600","stpf_700","stpf_800","stpf_900","stpf_1000","stpf_1100","stpf_1200","stpf_1300","stpf_1400","stpf_1500","stpf_1600","stpf_1700","stpf_1800","stpf_1900","stpf_2000","stpf_u2000","year","Einheit.ID"
"14",14,14,"SH","Total",36114,50.742,1405,501,0.711,54781,46500,0.316,40922.01171875,35761.90625,0.292980641126633,60479,51900,0.311,44349.35546875,39200,0.26740950345993,5200,18600,23500,30100,32900,35700,41000,46500,52600,60200,64900,71000,89700,112100,120400,133600,154800,200200,272700,516400,NA,76,451,1774,4927,6540,6457,5029,3443,2351,1569,1005,649,458,293,217,164,139,103,72,62,49,362,1997,NA
"15",15,15,"AR","Total",29417,41.035,1395,292,0.817,47257,38800,0.443,34814.578125,29600,0.421974301338196,52798,43500,0.43,38002.0390625,33208.33203125,0.392206579446793,0,0,2300,18400,22400,26100,32600,38800,45300,53100,57800,63700,83000,107900,117700,132600,160500,235100,338700,765000,NA,4670,3868,2560,4113,4705,4233,3167,2114,1407,878,597,370,279,200,140,127,67,65,56,42,42,387,1997,NA
"16",16,16,"AI","Total",7714,9.578,1242,252,0.824,44628,36500,0.441,33594.80859375,27894.4453125,0.433431506156921,50641,42100,0.426,36951.859375,31700,0.396806567907333,0,0,0,18000,21600,24600,30800,36500,42600,49800,54000,59500,77100,1e+05,110400,125100,150000,215000,294800,NA,NA,1285,987,763,1214,1310,1143,775,512,327,190,106,75,53,51,24,29,20,11,14,12,8,90,1997,NA
"17",17,17,"SG","Total",234267,304.425,1299,326,0.792,47633,39900,0.412,35010.953125,30476.19140625,0.387842863798141,53203,44700,0.401,38231.35546875,34055.5546875,0.357857942581177,0,0,8500,20600,24400,27800,34100,39900,46300,53900,58500,64300,82800,105500,114400,127700,150600,211700,302400,637900,2538500,30642,25302,19634,33161,39077,35356,26254,17739,11820,7502,4740,3206,2193,1546,1120,878,601,488,391,354,282,2623,1997,NA
"18",18,18,"GR","Total",120281,150.483,1251,268,0.807,42004,34900,0.504,31423.8046875,27300,0.483659535646439,46210,38100,0.494,33901.0234375,30666.666015625,0.462112367153168,0,0,0,4700,12000,18400,27400,34900,42200,50600,55700,61900,82100,106600,116100,129900,154100,210300,294800,618000,1822100,22968,28676,9133,14162,16604,14785,11107,7623,5246,3549,2254,1590,1122,829,610,436,349,258,218,198,172,1360,1997,NA
"19",19,19,"AG","Total",292113,414.131,1418,422,0.761,50149,43400,0.408,36754.2578125,33100,0.382708668708801,55791,48300,0.397,40099.34765625,36769.23046875,0.354497522115707,0,0,5000,20900,25900,30100,37000,43400,50300,58700,63800,70100,90500,114300,122800,135500,157000,204700,276200,531900,1568800,42072,37066,18864,31204,43087,43595,34568,25048,17420,11490,8022,5340,3824,2673,1943,1421,1054,826,631,517,425,3095,1997,NA
"20",20,20,"TG","Total",117804,139.868,1187,324,0.776,45682,39800,0.42,33828.92578125,30200,0.403150022029877,50815,44200,0.409,36813.1875,33619.046875,0.374178260564804,0,0,0,18700,23300,27200,33800,39800,46000,53500,58100,63800,81900,104100,112600,124700,145700,192600,257900,526300,1575600,17603,16636,8337,15057,19257,17843,13295,8850,5869,3685,2358,1594,1065,826,544,396,321,277,199,181,128,1086,1997,NA
"21",21,21,"TI","Total",184361,232.485,1261,236,0.823,40949,33700,0.509,30730.91015625,26388.888671875,0.486202746629715,44905,37200,0.5,33160.91015625,29700,0.46592766046524,0,0,0,0,14400,18800,26800,33700,40500,48400,53300,59300,79400,105100,115800,132000,158300,225100,314500,603100,1519400,33862,43721,13947,24378,27063,23038,16196,10916,6975,4630,3054,2154,1469,1103,791,785,542,422,324,292,257,2304,1997,NA
"22",22,22,"VD","Total",362221,548.122,1513,287,0.816,46258,37300,0.497,34236.18359375,29400,0.470420211553574,51313,41300,0.477,37327.73046875,32952.3828125,0.438599199056625,0,0,0,5500,18300,23000,30500,37300,44700,53800,59400,66200,89800,119100,130000,146700,173200,235200,319800,671700,2526600,65806,74182,21722,46053,52803,44619,33946,24427,16727,11700,8085,5854,4308,3283,2385,1791,1582,1196,913,763,642,5240,1997,NA
"23",23,23,"VS","Total",181295,133.635,737,161,0.794,32941,29300,0.529,24082.150390625,22333.333984375,0.511386930942535,37252,32500,0.525,26574.505859375,26388.888671875,0.491350740194321,0,0,0,0,1700,4400,21200,29300,36500,44200,48700,53800,69100,85700,91800,100600,115600,150000,202500,383900,1129100,42439,61050,9371,21859,24903,21202,15463,9970,6037,3679,2167,1409,913,653,449,337,264,209,142,154,119,945,1997,NA
