"","ktnr","ktname","Einheit","stpf","snpstbetr","mean_stbetr","median_stbetr","gini_stbetr","mean_steink","median_steink","gini_steink","mean_steinka","median_steinka","gini_steinka","mean_reink","median_reink","gini_reink","mean_reinka","median_reinka","gini_reinka","p1","p5","p10","p20","p25","p30","p40","p50","p60","p70","p75","p80","p90","p95","p96","p97","p98","p99","p99_5","p99_9","p99_99","stpfo","stpf_100","stpf_200","stpf_300","stpf_400","stpf_500","stpf_600","stpf_700","stpf_800","stpf_900","stpf_1000","stpf_1100","stpf_1200","stpf_1300","stpf_1400","stpf_1500","stpf_1600","stpf_1700","stpf_1800","stpf_1900","stpf_2000","stpf_u2000","year","Einheit ID"
"116","14","SH","Total",29210,27.809,952,351,0.706,34531,29200,0.331,22472.453125,19500,0.307041466236115,39443,34200,0.312,25389.1796875,22444.4453125,0.27467805147171,0,11500,13600,17700,19700,21700,25500,29200,33300,38300,41200,45000,57300,72200,78000,86300,100900,135900,186800,330600,NA,0,513,6974,7622,6171,3553,1804,951,526,304,190,117,86,76,49,37,26,33,15,21,19,123,1981,NA
"117","15","AR","Total",21938,18.327,835,177,0.791,31360,24600,0.346,20769.1015625,17100,0.325860589742661,35977,28800,0.326,23460.498046875,19733.333984375,0.289097249507904,9900,11600,13300,16200,17700,19100,21900,24600,27800,31900,34700,38200,50700,66800,72600,82300,98700,138500,213600,469200,NA,0,238,6951,7258,3503,1712,836,459,273,161,117,77,55,40,46,23,16,15,17,14,8,119,1981,NA
"118","16","AI","Total",4910,3.42,696,160,0.768,28984,22800,0.337,19767.333984375,16700,0.312975287437439,33518,27000,0.32,22373.845703125,19200,0.274305611848831,9700,11300,12500,15200,16400,17600,20300,22800,26000,29800,32500,35700,47350,62500,68200,77400,94800,126800,NA,NA,NA,0,60,1851,1536,699,335,158,87,47,28,27,12,13,10,8,7,6,2,2,2,1,19,1981,NA
"119","17","SG","Total",160732,138.638,863,258,0.75,31954,26200,0.345,20882.4765625,17800,0.323445081710815,36707,30800,0.325,23627.15625,20500,0.287181496620178,0,11100,13100,16500,18100,19800,23100,26200,29700,34100,36900,40300,51600,66600,72600,81800,97400,139100,193400,414900,1291200,0,4418,44356,48767,30330,15242,6971,3576,2006,1233,790,524,385,294,254,217,169,130,120,114,83,753,1981,NA
"120","18","GR","Total",74848,64.795,866,240,0.758,29558,23800,0.407,19634.474609375,16500,0.387927174568176,33904,27800,0.38,22149.083984375,19000,0.349102407693863,700,3200,6600,12900,14800,16600,20200,23800,27500,32300,35200,39000,51800,68400,75500,85400,103000,143300,198300,420700,NA,0,9127,20100,19767,11766,5887,3018,1618,925,624,385,320,209,171,136,113,99,65,61,50,37,370,1981,NA
"121","19","AG","Total",185162,177.052,956,335,0.713,34717,28800,0.326,22517.6484375,19300,0.299601018428802,39642,33900,0.309,25389.404296875,22166.666015625,0.267949283123016,10200,12000,14100,18100,20000,21800,25300,28800,32800,37800,40900,44700,57500,72700,78500,86500,101500,136000,182500,336600,923400,0,1079,45095,52047,37971,21555,11006,6091,3288,2032,1174,787,569,400,318,247,209,177,159,102,84,772,1981,NA
"122","20","TG","Total",80718,62.892,779,240,0.74,31387,26100,0.329,20575.884765625,17714.28515625,0.313065469264984,36167,30700,0.312,23336.240234375,20476.19140625,0.277212142944336,0,11200,13300,16800,18500,20100,23200,26100,29500,33900,36600,39800,50300,64000,69500,77100,90600,125000,176000,358400,NA,0,1876,21819,25669,15358,7754,3360,1719,976,541,364,231,169,131,107,73,84,57,42,42,37,309,1981,NA
"123","21","TI","Total",108849,107.838,991,246,0.778,30962,24300,0.414,20579.12109375,16428.572265625,0.398417711257935,35181,28800,0.386,23119.302734375,19100,0.360141724348068,0,2400,10100,13700,15500,17400,20800,24300,28100,32700,35600,39400,53600,73300,81100,93300,113900,159500,225700,436500,1054800,0,10585,30013,29454,17621,8379,4413,2357,1539,1002,668,492,372,270,227,230,149,112,96,90,85,695,1981,NA
"124","22","VD","Total",225443,241.995,1073,282,0.767,34441,26700,0.374,22755.697265625,18857.142578125,0.3442562520504,38970,31200,0.35,25497.732421875,21500,0.309762001037598,0,10900,13000,16800,18600,20200,23500,26700,30700,35800,39000,43100,57500,77600,85500,97000,117100,162400,223700,471000,1505100,0,7352,58176,65976,40278,21976,11366,6102,3680,2529,1681,1154,909,657,517,454,323,269,244,191,171,1438,1981,NA
"125","23","VS","Total",98622,64.706,656,220,0.718,26412,22900,0.416,16920.89453125,15142.857421875,0.394766926765442,31049,27400,0.389,19624.20703125,18100,0.35252058506012,0,1200,3000,10800,13000,15100,19100,22900,26900,31400,34000,37100,47400,60100,65200,72200,84600,115600,155900,284500,NA,0,17928,23638,24478,16443,7697,3474,1748,943,572,353,274,172,148,114,99,78,57,46,42,50,268,1981,NA
"126","24","NE","Total",63958,53.375,835,276,0.728,31625,26300,0.341,21041.044921875,17900,0.325966149568558,36394,31100,0.318,23969.544921875,20800,0.291148692369461,0,10900,12700,16200,18000,19700,23000,26300,30000,34700,37500,40800,51400,65600,71500,79800,94900,126100,169800,340700,NA,0,1810,17908,18540,12134,6603,2836,1438,777,459,314,216,185,135,83,89,61,52,48,40,27,203,1981,NA
"127","25","GE","Total",134252,244.981,1825,448,0.774,43834,32100,0.413,28634.28125,22166.666015625,0.384144723415375,48408,36700,0.39,31428,25000,0.353855401277542,0,11800,14300,19300,21600,23800,27800,32100,37200,43700,47900,53500,74200,103500,114600,130000,155700,221700,314100,889100,2833500,0,2567,26172,31786,26225,16611,9914,5784,3734,2431,1784,1397,1020,799,599,516,364,306,252,183,178,1630,1981,NA
"128","26","JU","Total",24685,16.019,649,196,0.734,29011,24100,0.323,19120.44921875,16400,0.293903380632401,33625,28900,0.305,21836.25,19100,0.258930057287216,9700,11100,12500,15100,16500,18000,21100,24100,27500,31500,34100,37200,46800,59900,64400,71500,81700,108900,142100,299400,NA,0,338,8589,7450,4290,1956,837,435,269,112,100,67,52,39,25,13,17,10,9,8,6,63,1981,NA
"129","1","ZH","Total",516238,799.631,1549,400,0.77,42792,33100,0.382,30504.783203125,24300,0.359698116779327,49349,39600,0.36,34590.3515625,28466.666015625,0.321072190999985,0,12400,15100,20000,22400,24600,28800,33100,37900,43900,47800,52800,71000,95500,105400,120400,146600,207300,295300,673700,2283100,0,6288,95528,118257,108348,70624,40169,23396,14590,9426,6376,4334,3278,2390,1832,1516,1270,993,841,699,574,5509,1983,NA
"130","2","BE","Total",386459,386.588,1000,272,0.759,34868,28100,0.357,25097.287109375,20900,0.33570060133934,41310,34400,0.337,29057.775390625,24888.888671875,0.293056905269623,0,11600,13400,17200,19100,21000,24500,28100,32100,37300,40600,44800,58800,76400,83000,92700,110300,152600,213200,418400,1015200,0,8882,96299,106804,74152,41429,22142,12386,7283,4569,2804,1901,1360,1029,771,622,519,422,350,288,238,2209,1983,NA
"131","3","LU","Total",118099,108.276,917,245,0.77,32912,26800,0.363,23326.3203125,19666.666015625,0.346787661314011,39252,33100,0.344,27038.212890625,23400,0.30064657330513,0,11000,12800,16600,18400,20200,23600,26800,30400,35000,37900,41600,54300,70600,76800,86200,103700,145200,210600,433100,1398100,0,4674,30058,34789,22487,11242,5720,3096,1790,1014,680,455,351,277,186,171,128,102,84,75,67,653,1983,NA
"132","4","UR","Total",12788,11.205,876,224,0.793,31732,26000,0.367,22321.568359375,18200,0.357405185699463,38368,32600,0.343,26260.412109375,22285.71484375,0.30341300368309,0,10800,12700,16300,18000,19800,23000,26000,29000,32900,35200,38400,48400,60000,64900,71500,84700,122500,160000,362900,NA,0,566,3326,4136,2460,1140,516,231,126,57,42,31,23,24,21,19,6,7,6,2,3,46,1983,NA
"133","5","SZ","Total",38968,39.833,1022,250,0.789,33982,26900,0.377,24036.8125,19571.427734375,0.359290838241577,40677,33500,0.354,27999.921875,23571.427734375,0.310199528932571,0,11000,12900,16600,18400,20200,23600,26900,30500,35100,37900,41500,54500,72700,80200,90800,109000,154600,220900,583100,NA,0,1464,9928,11415,7565,3730,1795,911,588,360,277,171,124,96,73,60,44,42,29,31,27,238,1983,NA
"134","6","OW","Total",10787,9.815,910,194,0.816,31261,24500,0.389,22552.650390625,18166.666015625,0.3750039935112,37186,29900,0.366,26018.279296875,21500,0.324829280376434,300,8700,12000,15000,16500,18100,21300,24500,27600,31600,34200,37400,49200,64300,71400,80600,97200,134600,180500,470600,NA,0,552,3275,3295,1840,787,392,191,121,71,57,34,28,25,20,17,13,7,8,4,7,43,1983,NA
"135","7","NW","Total",12598,15.917,1263,258,0.819,36761,27450,0.395,26170.15234375,20000,0.380634844303131,43127,34000,0.37,29949.791015625,23800,0.332457154989243,0,11700,13700,17500,19300,20900,24300,27450,31200,35700,38300,42300,56100,77200,84600,98100,125600,186500,300800,989100,NA,0,247,3134,3807,2544,1180,602,313,186,136,87,45,50,33,18,25,25,13,14,22,8,109,1983,NA
"136","8","GL","Total",16284,12.771,784,237,0.751,32296,27100,0.327,23195.607421875,19619.046875,0.305049985647202,38656,33000,0.317,27056.849609375,23600,0.265498459339142,10600,11900,13400,16800,18500,20200,23600,27100,30400,34900,37500,40700,52400,66100,72000,80200,95300,129500,195200,350700,NA,0,154,4611,4769,3315,1567,781,390,201,126,74,64,47,24,20,16,9,11,12,7,8,78,1983,NA
"137","9","ZG","Total",34840,56.56,1623,362,0.791,43311,31800,0.389,30368.30859375,23800,0.36131289601326,49823,38400,0.369,34218.92578125,27459.9375,0.323089629411697,11100,13300,15900,20300,22300,24200,28000,31800,36700,42800,47000,52400,71200,98000,109100,124700,153400,218400,315000,765600,NA,0,2,6629,9147,7158,4195,2534,1542,880,649,431,304,221,183,140,106,68,82,59,52,53,405,1983,NA
"138","10","FR","Total",71743,55.595,775,211,0.761,31456,25600,0.337,22107.529296875,18592.591796875,0.316680192947388,38222,32300,0.32,26113.8671875,22600,0.269915819168091,3900,11400,13000,16300,17900,19500,22600,25600,29000,33400,36200,39700,51800,66900,72800,81500,96000,130300,175200,382500,NA,0,1542,21020,22225,12821,6175,3140,1639,930,574,373,264,186,133,96,98,76,69,44,45,30,263,1983,NA
"139","11","SO","Total",92089,88.186,958,293,0.746,34134,28500,0.356,23912.337890625,20333.333984375,0.330134779214859,40765,34900,0.335,27944.48046875,24444.4453125,0.28642925620079,0,11100,13000,16900,18900,20900,24700,28500,32400,37300,40400,44200,56900,72900,78800,87400,102600,141600,197500,392400,NA,0,3299,22146,24286,18715,10457,5214,2802,1641,991,585,352,279,200,185,116,106,83,71,60,51,450,1983,NA
"140","12","BS","Total",101500,147.387,1452,365,0.778,40607,31400,0.382,30468.89453125,24266.666015625,0.355406761169434,46653,37000,0.357,34500.5546875,28444.4453125,0.314882844686508,6600,12200,14500,18800,20900,22900,27200,31400,36100,41600,45200,49900,67200,91100,101900,116300,141100,196750,283900,638300,1945500,0,1313,21809,24250,20823,13017,7022,4110,2462,1502,965,792,579,439,335,312,220,186,159,118,112,975,1983,NA
"141","13","BL","Total",96268,146.63,1523,427,0.747,42382,33400,0.367,28963.181640625,23700,0.334206283092499,49429,40700,0.346,33225.34765625,28000,0.296783417463303,7000,12700,15400,20400,22700,24900,29100,33400,38300,44600,48600,53800,71700,94300,103300,116800,139500,191600,255600,527600,NA,0,1129,17120,22267,20081,13101,7612,4660,3014,1871,1253,850,581,459,369,269,212,175,134,128,124,859,1983,NA
"142","14","SH","Total",30379,30.203,994,332,0.724,36024,30200,0.332,25557.591796875,21900,0.306046426296234,42773,36800,0.318,29675.064453125,26100,0.267910987138748,0,12300,14400,18500,20600,22600,26500,30200,34300,39500,42600,46600,60000,75800,81900,90900,106200,142300,191000,384100,NA,0,408,6748,7773,6599,3820,1986,1093,642,370,236,153,112,76,49,46,27,33,28,24,20,136,1983,NA
"143","15","AR","Total",22586,21.47,951,200,0.804,33542,26100,0.354,22479.478515625,18300,0.340555816888809,40700,32700,0.326,26652.529296875,22300,0.288001298904419,10600,11900,13700,17000,18500,20000,23200,26100,29700,34200,37000,40800,54100,71300,78500,90200,110100,155200,221100,504300,NA,0,189,6522,6999,4149,1957,1047,538,310,193,125,105,68,55,37,50,32,30,16,15,16,133,1983,NA
"144","16","AI","Total",5252,3.769,718,161,0.784,30106,24050,0.345,21689.4296875,18100,0.329593002796173,36622,30050,0.327,25474.9140625,21619.046875,0.277725338935852,0,11400,12800,15400,16750,18100,21000,24050,27200,31200,33800,36900,49800,67300,72500,83900,102000,140200,183200,NA,NA,0,86,1827,1628,830,362,183,106,54,35,32,18,15,14,8,9,8,6,4,2,3,22,1983,NA
"145","17","SG","Total",168963,158.581,939,256,0.769,33657,27500,0.353,22760.326171875,19111.111328125,0.336607187986374,40612,34300,0.33,26810.3671875,23200,0.288552105426788,0,11400,13400,17100,18900,20700,24100,27500,31100,35700,38600,42200,54500,71000,77500,87500,104600,149300,211200,448300,1181100,0,4887,42251,48873,34203,17279,8317,4398,2492,1518,1009,690,473,356,293,247,217,173,131,104,106,946,1983,NA
"146","18","GR","Total",77786,74.95,964,246,0.775,31638,25300,0.412,22060.599609375,18200,0.396403461694717,37852,30900,0.382,25610.7109375,21888.888671875,0.346051931381226,800,3200,6800,13700,15700,17700,21600,25300,29200,34200,37300,41200,55200,73500,81300,93300,114000,158900,221700,448700,NA,0,9155,18662,20122,13106,6904,3447,2014,1145,712,509,361,248,212,150,143,125,100,79,53,48,491,1983,NA
"147","19","AG","Total",194626,198.317,1019,326,0.73,36459,30200,0.327,25211.89453125,21333.333984375,0.302854120731354,43527,37400,0.312,29401.255859375,25600,0.262435495853424,10900,12700,14800,18900,20900,22900,26500,30200,34200,39300,42600,46600,60100,76500,82600,91700,107400,144800,193600,368100,1022500,0,544,43229,52435,41994,24063,12708,6949,4175,2398,1510,956,703,500,374,288,255,204,187,143,99,912,1983,NA
"148","20","TG","Total",83691,72.499,866,248,0.761,33621,27700,0.329,23687.5703125,20000,0.316743135452271,40446,34200,0.313,27703.919921875,24000,0.271445989608765,10600,12100,14000,17800,19500,21200,24500,27700,31300,35700,38500,42000,53600,68900,74700,83000,98100,133700,191600,422500,NA,0,712,21187,25354,17367,8832,4121,2123,1216,745,437,333,229,151,119,96,84,62,47,54,36,386,1983,NA
"149","21","TI","Total",114346,120.151,1051,243,0.79,32405,25200,0.413,23404.759765625,18400,0.402668029069901,38144,31100,0.386,26910.40234375,22111.111328125,0.356612831354141,0,3000,10700,14500,16400,18200,21700,25200,29100,34000,37100,41200,56000,77200,85100,98000,120300,173000,239700,451800,1060400,0,10598,29420,30802,19070,9761,4895,2755,1756,1244,736,568,427,340,247,228,163,148,125,117,99,847,1983,NA
"150","22","VD","Total",237231,294.786,1243,298,0.781,37500,28800,0.38,26675.958984375,21700,0.351295590400696,43811,34800,0.358,30572.029296875,25500,0.310175687074661,1000,11600,13800,18100,20000,21800,25200,28800,33000,38400,41900,46500,62800,85500,94600,107800,130000,180100,249200,553100,1778600,0,6560,52547,66376,45983,25390,13913,7892,4816,3149,2196,1563,1188,902,665,594,425,370,319,259,234,1890,1983,NA
"151","23","VS","Total",104571,75.971,727,219,0.745,28005,23800,0.422,19354.033203125,16722.22265625,0.39629277586937,34266,30100,0.409,23028.07421875,21100,0.359815657138824,0,1900,3300,11400,13600,15800,19900,23800,27800,32600,35400,39000,50600,64900,70800,79300,93700,125000,171400,341100,897100,0,18882,23181,25587,17243,8840,4283,2245,1236,794,492,387,257,172,144,128,87,79,60,54,37,383,1983,NA
"152","24","NE","Total",65782,58.07,883,269,0.743,33178,27500,0.344,22342.91796875,18933.333984375,0.333464980125427,37485,31800,0.317,24908.5,21533.333984375,0.292728662490845,0,11300,13000,16900,18800,20500,24000,27500,31400,36200,39100,42800,54500,69800,76000,84800,100200,132900,178200,349200,NA,0,1529,17105,18513,12963,7206,3406,1791,950,632,363,279,202,142,114,88,78,47,51,34,38,251,1983,NA
"153","25","GE","Total",147990,307.33,2077,442,0.793,46992,33800,0.43,33779.45703125,25700,0.394768327474594,52988,39700,0.409,37566.6171875,29700,0.361391693353653,0,11800,13900,19300,22000,24500,29100,33800,39300,46300,51000,57100,80100,112100,124500,142500,173400,243600,356600,986100,4281600,0,2163,29091,30535,28444,19275,11714,7242,4654,3147,2352,1677,1305,977,788,667,507,372,336,295,250,2199,1983,NA
"154","26","JU","Total",25214,16.734,664,195,0.75,30142,25000,0.317,21350.556640625,18133.333984375,0.299547106027603,36863,31800,0.304,25346.048828125,22066.666015625,0.253753691911697,9300,11600,13100,16100,17600,19100,22000,25000,28300,32500,35200,38200,48400,60900,66500,72900,84700,113600,152800,299700,NA,0,289,8002,7909,4537,2175,975,477,252,164,99,66,49,32,36,23,14,15,11,10,8,71,1983,NA
"155","1","ZH","Total",534469,875.982,1639,422,0.77,45572,35300,0.385,32891.6640625,26200,0.361362934112549,52430,42000,0.364,37213.3203125,30600,0.323741555213928,0,13000,15700,20900,23500,25800,30500,35300,40600,47200,51500,56900,76700,102700,113600,129500,156600,220300,313700,707900,2189800,0,7194,88535,110997,107619,77568,47641,28600,17974,11799,8029,5573,3951,3079,2292,1878,1504,1141,964,900,750,6481,1985,NA
"156","2","BE","Total",397502,420.943,1059,286,0.761,37563,30000,0.348,27367.763671875,22666.666015625,0.325742810964584,44291,36800,0.328,31572.59765625,26900,0.285336911678314,11300,12800,14700,18500,20500,22400,26200,30000,34400,40000,43600,48000,63200,81700,88700,98900,116800,160500,223800,437000,1097300,0,2199,91769,103668,80051,47438,26687,15356,9275,5703,3711,2473,1666,1274,934,748,537,432,465,327,267,2522,1985,NA
"157","3","LU","Total",123626,124.688,1009,254,0.777,35302,28400,0.372,25252.5390625,21133.333984375,0.352901339530945,42046,35100,0.352,29268.38671875,25100,0.307771444320679,0,11400,13400,17300,19200,21100,24800,28400,32500,37600,40900,45000,59100,76400,83400,93700,112300,157900,231600,489500,1376800,0,5263,28042,33371,24478,13189,7357,4044,2391,1428,869,610,439,321,246,203,171,111,104,79,80,830,1985,NA
"158","4","UR","Total",13294,11.863,892,242,0.782,33540,27900,0.361,23988.9140625,19763.888671875,0.349773228168488,40506,34900,0.337,28214.552734375,24100,0.29748323559761,0,11300,13400,17300,19100,21000,24500,27900,31400,35600,38300,41500,52300,64500,69400,77000,90400,123100,169600,342800,NA,0,605,3017,3837,2884,1413,712,304,164,86,68,40,23,19,25,13,14,4,10,5,3,48,1985,NA
"159","5","SZ","Total",41405,47.47,1146,267,0.798,36976,28900,0.387,26401.71875,21380.953125,0.365561485290527,44058,35900,0.363,30663.681640625,25583.333984375,0.317434817552567,0,11600,13500,17600,19500,21500,25200,28900,33000,38000,41200,45200,59500,78900,86800,98500,118500,167600,241500,612900,NA,0,1507,9347,10976,8448,4636,2420,1273,791,473,341,245,138,133,78,74,69,52,41,41,19,303,1985,NA
"160","6","OW","Total",11304,10.388,919,201,0.805,32975,26100,0.381,24472.103515625,19488.095703125,0.378655105829239,39313,31900,0.36,28259.419921875,23300,0.330106735229492,700,7600,12600,15900,17600,19200,22700,26100,29800,34200,36800,40500,53400,70000,76400,86200,103300,142300,209000,444700,NA,0,597,3060,3179,2138,990,524,246,161,95,64,55,29,33,16,13,11,12,7,8,6,60,1985,NA
"161","7","NW","Total",13446,18.642,1386,283,0.82,40016,29800,0.402,28484.7265625,21845.23828125,0.382920771837234,46989,36800,0.375,32685.474609375,26000,0.334405422210693,1200,12300,14300,18400,20500,22500,26200,29800,33700,38800,41800,45900,61600,83800,93100,111000,140900,214800,348600,1107600,NA,0,260,2890,3632,2908,1529,790,433,256,173,102,63,59,47,31,34,21,23,12,21,13,149,1985,NA
"162","8","GL","Total",16865,14.31,849,251,0.752,34400,28700,0.341,24904.421875,21100,0.317684829235077,41204,35100,0.327,29098.154296875,25416.666015625,0.276587039232254,0,12200,13900,17500,19400,21300,25000,28700,32700,37600,40600,44100,56700,71700,77400,85200,101400,136500,212900,405100,NA,0,417,4066,4485,3522,1976,947,549,298,149,110,79,42,33,36,18,9,10,9,7,12,91,1985,NA
"163","9","ZG","Total",37692,69.349,1840,378,0.803,47229,33900,0.406,33340.98828125,25500,0.373253643512726,54103,40600,0.385,37476.94140625,29521.1640625,0.335789859294891,11700,13800,16600,21200,23300,25300,29400,33900,39300,46200,50900,56900,78400,109100,121300,140000,171700,250000,373200,930400,NA,0,1,6514,9063,7424,4928,3048,1851,1266,805,536,408,295,247,173,165,110,87,75,61,64,571,1985,NA
"164","10","FR","Total",75623,65.348,864,231,0.763,34268,27800,0.342,24201.341796875,20375,0.317658364772797,41496,34900,0.324,28536.70703125,24700,0.271704792976379,4700,12100,13800,17400,19300,21100,24400,27800,31500,36400,39500,43500,56800,73500,79700,89000,104200,143100,197500,413000,NA,0,1409,18884,22089,14773,7803,4104,2220,1350,786,532,338,252,157,135,100,96,77,58,53,38,369,1985,NA
"165","11","SO","Total",96501,97.557,1011,300,0.75,36335,30200,0.358,25668.931640625,21800,0.332444816827774,43350,37100,0.338,29971.861328125,26100,0.289547324180603,0,11700,13800,17800,19900,21900,26100,30200,34500,39800,43200,47300,61200,77900,84400,93500,108800,147800,209700,423900,NA,0,3391,20938,23430,20023,11932,6571,3715,2025,1237,830,526,326,264,193,173,97,93,78,67,58,534,1985,NA
"166","12","BS","Total",102479,155.412,1517,378,0.778,43213,33400,0.382,32649.095703125,26000,0.35584831237793,49620,39400,0.357,36950.9140625,30444.4453125,0.315437108278275,8000,12900,15400,19800,22100,24300,28800,33400,38600,44800,48700,53700,72100,97200,107400,122700,148000,205900,282200,672400,2522200,0,1174,19585,22779,20398,14306,8369,4884,3016,1904,1269,885,676,458,450,338,259,199,164,154,115,1097,1985,NA
"167","13","BL","Total",100634,160.035,1590,449,0.748,45003,35600,0.368,31201.365234375,25533.333984375,0.336130946874619,52487,43200,0.347,35799.86328125,30133.333984375,0.298009395599365,7500,13300,16200,21500,23900,26200,30800,35600,41000,47700,52000,57500,76700,100200,109300,122700,146200,197200,267800,575700,2331500,0,1168,15907,21383,20174,14562,9166,5677,3556,2411,1573,1095,758,565,424,303,272,210,200,146,110,974,1985,NA
"168","14","SH","Total",31519,33.007,1047,333,0.73,38197,31900,0.334,27471.462890625,23400,0.306446075439453,45279,38600,0.321,31859.52734375,27904.76171875,0.269205510616302,8900,12900,15100,19300,21400,23500,27700,31900,36300,41900,45500,49700,64300,81500,88100,98000,114900,150900,200700,402100,NA,0,333,6442,7603,6660,4260,2407,1361,787,476,289,205,144,90,76,64,47,35,37,20,23,160,1985,NA
"169","15","AR","Total",23909,24.214,1013,199,0.809,35661,27600,0.359,24032.650390625,19466.666015625,0.344601601362228,43382,34600,0.33,28569.029296875,23866.666015625,0.291665554046631,11200,12600,14500,17800,19400,21100,24300,27600,31400,36300,39500,43600,58100,76500,84600,96600,118900,168900,243900,561700,NA,0,206,6111,7170,4585,2324,1331,692,411,252,159,120,77,61,64,41,36,34,23,29,17,166,1985,NA
"170","16","AI","Total",5497,4.384,798,175,0.787,32479,25800,0.354,23405.912109375,19400,0.334679812192917,39491,32800,0.334,27541.345703125,23500,0.283215373754501,0,11900,13400,16500,18100,19500,22700,25800,29400,34300,36800,40200,53400,72900,81100,90200,110000,156900,208200,NA,NA,0,132,1594,1627,1032,463,225,125,75,57,38,19,20,12,15,6,4,7,8,2,6,30,1985,NA
"171","17","SG","Total",177930,181.564,1020,265,0.776,36176,29200,0.36,24749.84765625,20692.30859375,0.339717537164688,43670,36400,0.336,29170.40234375,25066.666015625,0.291810601949692,0,12100,14100,18000,19900,21800,25400,29200,33300,38300,41500,45500,59300,77000,84000,94300,113200,159600,223100,476000,1818400,0,4774,39758,47828,36891,20637,10784,5843,3320,2094,1343,878,630,480,369,269,259,209,186,124,144,1110,1985,NA
"172","18","GR","Total",81414,81.221,998,254,0.775,33522,26800,0.412,23912.39453125,19833.333984375,0.394244194030762,40119,32700,0.382,27828.6640625,23866.666015625,0.345067292451859,900,3400,7100,14500,16600,18700,22800,26800,31000,36400,40000,44200,58700,78100,85300,96200,117500,164200,230500,456100,NA,0,9378,17425,20058,14177,8211,4417,2403,1504,977,590,431,275,236,168,143,161,100,93,71,45,551,1985,NA
"173","19","AG","Total",204705,221.308,1081,339,0.733,38913,32100,0.33,27391.2578125,23153.845703125,0.304777532815933,46292,39500,0.315,31841.322265625,27600,0.265183329582214,11500,13400,15700,20000,22100,24100,28100,32100,36500,42100,45600,50000,64700,82300,88700,98600,115000,153600,207000,386000,1249200,0,500,40196,50848,44440,27710,15683,8950,5240,3269,1981,1298,915,661,476,356,323,243,206,162,140,1108,1985,NA
"174","20","TG","Total",86407,75.826,878,249,0.758,35863,29400,0.326,25490.712890625,21600,0.310671776533127,43168,36300,0.311,29839.142578125,25900,0.267353653907776,11400,13100,15200,19000,20700,22400,25900,29400,33400,38400,41500,45300,58100,74300,80500,89300,104400,140200,195800,431600,NA,0,291,19403,24934,18155,10339,5348,2794,1619,996,593,417,293,210,150,123,101,71,61,40,57,412,1985,NA
"175","21","TI","Total",122087,136.725,1120,255,0.792,34739,26900,0.417,25364.958984375,20000,0.402620524168015,40827,33200,0.389,29151.03515625,24000,0.357794046401978,0,3100,11400,15300,17300,19200,23000,26900,31200,36700,40100,44500,60300,83400,93000,104300,126800,182600,250300,497700,1620600,0,11008,27969,30830,21441,12055,6402,3583,2145,1421,1121,812,562,398,301,273,197,166,139,139,125,1000,1985,NA
"176","22","VD","Total",248206,338.494,1364,320,0.782,40442,31000,0.387,29052.564453125,23500,0.357652127742767,47163,37300,0.365,33252.453125,27625,0.316727608442307,0,12000,14400,19100,21100,23100,27000,31000,35600,41700,45700,50600,68700,92700,102100,116900,140900,195200,270500,583900,2126600,0,7509,47280,63060,49525,29481,17372,10147,6293,4238,2824,1975,1453,1142,869,671,556,454,399,338,283,2337,1985,NA
"177","23","VS","Total",108485,79.74,735,220,0.744,29541,25200,0.42,20600.509765625,17916.666015625,0.39449405670166,36274,32000,0.404,24619.2265625,22700,0.355987727642059,0,1800,3300,12200,14500,16700,21000,25200,29600,34700,37700,41300,53300,68400,73800,82200,96700,128600,176100,335000,961200,0,19111,21564,25291,18921,10462,5309,2738,1595,928,540,423,318,220,154,138,90,97,60,69,52,405,1985,NA
"178","24","NE","Total",69046,63.55,920,265,0.754,34676,28600,0.357,25614.001953125,21300,0.341984957456589,41288,35200,0.337,29846.79296875,25622.0234375,0.30161714553833,0,11700,13200,17000,19000,20900,24700,28600,32800,37900,41100,45000,57800,74700,80900,90100,106600,142600,188700,373400,NA,0,2230,16664,17957,13727,7981,4239,2138,1259,768,477,324,253,173,138,104,92,69,64,47,38,304,1985,NA
"179","25","GE","Total",150758,350.335,2324,491,0.793,51827,37000,0.431,37593.609375,28500,0.395673871040344,58300,43200,0.41,41742.81640625,32800,0.361583381891251,0,13100,15500,21300,24100,26800,31800,37000,43000,50700,55800,62400,87300,122400,136400,155500,190600,271300,399400,1126800,5486900,0,1617,25050,27925,28556,21084,13684,8958,5862,3823,2746,1996,1582,1240,920,797,646,489,411,328,283,2761,1985,NA
"180","26","JU","Total",26255,18.146,691,188,0.756,31874,26200,0.322,22935.990234375,19466.666015625,0.301843047142029,38169,32500,0.306,26810.27734375,23238.095703125,0.259250640869141,9000,12200,13700,16800,18500,20000,23100,26200,30000,34500,37300,40500,51500,65000,70000,77700,89100,116500,152300,309600,NA,0,296,7550,7871,5069,2593,1204,621,327,215,125,89,53,51,26,27,22,14,10,6,10,76,1985,NA
"181","1","ZH","Total",559642,1054.352,1884,465,0.779,53461,41000,0.386,39467.703125,31600,0.354242920875549,57605,45000,0.379,41931.6953125,34083.33203125,0.334754645824432,0,14800,19100,25300,28000,30600,35700,41000,47200,55000,60000,66200,89000,120000,133200,152900,186400,262800,376900,855200,2672300,0,8441,53207,97788,109181,88795,62252,41101,26744,17623,12062,8261,6138,4434,3355,2723,2226,1794,1463,1285,1106,9663,1989,NA
