"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",1149.05,28.501,0.42,0,0.002,0.013,0.772,0.005,7595.975,25.716,6.022,4.425,0.111,179.387,76.266,34.33,1.343,0.483,0.315,3.495,4.424,2.637,4.603,0.418,0.021,1.085,10.018,34.377,3.851,34.832,347.172,10.629,14.999,2.469,7.02,1.036,377.676,2.78,2.032,4.918,11.921,10.51,63.821,44.764,92.607,9.517,46.976,29.555,28.308,0,3277.15,0.062,502.181,230.4,1.432,130.668,197.476,179.762,-3407.848,11422.891
"TTL_A02",10.694,148.404,0.013,0,0.001,0.01,0.521,0.001,24.614,0.253,408.797,37.45,0.029,15.952,3.987,5.713,1.095,0.128,0.152,1.127,0.749,0.668,1.065,0.07,0.011,0.197,13.611,29.26,0.399,39.363,25.493,2.247,0.96,0.151,1.284,0.213,5.664,0.307,0.207,0.455,0.728,13.052,4.469,2.32,7.026,0.826,1.777,1.56,1.739,0,125.639,0.005,0.099,52.923,0.236,2.008,0.817,55.035,-107.006,944.566
"TTL_A03",0.764,0.048,0.701,0,0,0,0.028,0,113.902,0.034,0.075,0.039,0.008,0.789,0.452,0.062,0.054,0.019,0.012,0.089,0.181,0.095,0.119,0.006,0.001,0.034,0.151,0.176,0.033,0.341,4.3,0.363,4.25,0.056,0.337,0.041,24.124,0.072,0.035,0.11,0.109,0.112,0.745,0.298,1.137,0.172,1.208,0.5,0.561,0,75.612,0,0.004,1.389,0.207,7.732,0.576,32.677,-215.522,59.419
"TTL_B05",0.245,0.009,0,0,0.001,0.006,0.298,0.002,0.749,0.024,0.088,0.197,0.963,2.322,0.103,0.08,2.946,3.541,0.508,0.183,0.11,0.093,0.158,0.005,0,0.031,0.076,132.264,0.096,1.441,0.829,0.296,0.132,0.039,0.105,0.02,0.106,0.021,0.036,0.229,0.181,0.145,0.39,0.127,0.48,0.066,0.077,0.077,0.112,0,117.469,0,0.004,0.73,0.028,0.335,0,0,-268.572,0
"TTL_B06",0.631,0.032,0.002,0,0.052,0.055,2.796,0.036,7.258,0.176,0.41,1.217,108.535,59.617,2.296,1.134,8.404,6.34,4.248,1.84,1.299,0.879,2.432,0.062,0.006,0.524,0.846,755.897,0.844,8.069,14.127,4.89,5.202,1.088,2.24,0.478,1.565,0.178,0.221,0.477,1.042,1.67,5.466,1.796,2.502,0.669,0.904,1.778,1.022,0,458.419,0.002,13.179,13.998,0.206,3.507,0.061,6.116,-1510.32,8.421
"TTL_B07",0.212,0.01,0,0,0.004,0.778,3.692,0.037,1.737,0.02,0.082,0.183,1.483,42.326,1.363,0.384,11.845,71.59,93.985,10.864,3.783,10.046,4.902,0.189,0.009,0.774,1.764,14.356,0.597,26.166,3.149,0.627,0.25,0.07,0.386,0.049,0.247,0.057,0.079,0.234,0.465,0.558,2.308,0.695,0.593,0.062,0.129,0.441,0.344,0,1.413,0.002,0.023,1.493,0.015,1.437,0.043,9.516,-282.549,45.317
"TTL_B08",9.735,0.327,0.02,0,0.032,0.3,104.785,0.168,22.413,0.394,1.004,4.714,7.488,365.613,13.673,4.409,559.775,37.931,24.673,12.596,4.815,8.72,7.373,0.167,0.015,0.598,7.827,107.163,7.792,1049.454,22.408,8.536,2.576,0.116,5.116,0.136,2.451,0.097,0.194,0.341,0.456,18.835,8.306,5.278,18.766,0.506,0.931,2.832,2.398,0,129.914,0.001,0.013,2.095,0.215,0.956,0.022,24.042,-335.726,2285.784
"TTL_B09",0.095,0.011,0.001,0,0.003,0.012,0.39,0.005,0.345,0.028,0.059,0.065,0.17,0.868,0.342,0.079,0.587,0.531,0.625,0.305,0.381,0.199,0.406,0.012,0.001,0.095,0.27,1.965,0.091,2.108,1.802,0.514,0.798,0.318,0.307,0.056,0.117,0.083,0.121,0.363,0.499,0.275,1.731,0.491,0.495,0.054,0.153,0.208,0.152,0,2.016,0.002,0.88,49.171,0,0.655,0.051,1.008,-28.499,43.873
"TTL_C10T12",2057.189,4.705,5.697,0,0.008,0.047,4.563,0.028,13295.384,21.756,6.406,24.849,1.778,1157.555,537.187,12.741,6.539,1.421,1.865,11.377,19.827,12.122,20.239,0.54,0.053,3.058,21.591,80.36,16.925,52.721,1383.209,41.09,307.803,31.365,51.043,5.331,5506.622,28.183,11.188,42.938,71.158,35.512,284.836,145.379,545.855,153.514,667.066,347.594,282.922,0,25222.189,0.041,0.755,22.531,23.013,468.868,513.117,6978.073,-10097.951,50451.775
"TTL_C13T15",21.827,3.361,0.559,0,0.022,0.128,6.199,0.071,69.867,858.515,19.825,51.302,0.81,114.783,94.9,116.437,26.14,5.82,3.624,45.842,72.708,41.863,65.567,13.345,0.503,28.804,345.886,65.223,32.978,195.536,827.91,42.796,69.389,14.908,38.047,19.149,116.756,19.18,11.731,20.043,42.749,36.453,256.016,152.075,369.646,24.519,157.732,189.002,157.139,0,6131.862,0.064,0.478,194.983,11.157,223.69,25.578,1756.953,-9820.974,3391.474
