"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_S",16.255,2.345,0.082,0,0,0.267,4.62,0.809,40.848,5.357,6.249,17.404,10.748,18.12,7.876,5.657,9.293,3.844,2.379,21.36,33.938,17.032,40.763,1.51,0.068,3.269,23.194,85.897,14.112,53.911,461.648,65.113,44.528,9.448,28.07,20.169,103.118,33.714,37.651,65.353,301.693,39.288,227.608,110.59,75.094,21.108,48.198,84.365,376.312,0,3804.432,1963.515,0.823,7.631,0,94.124,132.903,0.336,-146.463,8457.578
"TTL_T",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1093.914,0,0,0,0,0,0,0,0,1093.914
"IMP_OTHER",0.905,0.35,0.019,0,0,0.061,0.942,0.152,-6.119,11.108,2.176,7.002,14.453,12.307,16.271,4.639,2.969,0.898,0.591,6.957,29.605,16.357,22.762,3.532,0.038,3.01,15.239,26.333,2.172,29.277,72.007,23.07,22.88,7.772,3.593,3.525,6.522,5.342,8.129,7.96,27.171,12.496,21.506,16.493,16.544,2.542,8.922,7.682,6.856,0,347.653,0.361,0.237,158.259,0,416.003,0,0,0,1427.534
"TXS_INT_FNL",-161.439,2.267,0.105,0,0,0.259,5.402,1.573,-831.306,25.862,23.527,52.435,5.184,16.945,43.456,54.106,17.007,2.891,1.957,54.12,167.226,92.416,157.732,15.385,0.281,13.816,95.746,-569.055,14.413,303.075,712.119,185.142,81.166,29.444,33.171,28.685,153.329,49.389,67.561,90.996,330.687,600.889,226.88,143.969,136.396,14.322,33.607,54.235,63.867,0,4854.725,106.561,385.76,2636.677,0,0,251.431,779.241,0,11655.634
"TTL_INT_FNL",4402.568,298.597,5.889,0,0,45.06,523.144,96.159,15002.47,1700.661,2848.09,4118.363,2264.655,8164.073,16067.057,2098.781,2179.676,1083.919,894.924,5924.84,14307,6737.656,11420.063,553.229,18.298,1100.137,4923.904,16081.333,1593.479,18240.752,44856.142,5135.181,7692.909,1972.089,2127.757,2211.109,7594.32,3763.398,5195.178,6503.623,20348.191,17543.68,16785.208,10444.454,10504.205,1558.288,7467.14,4036.366,4385.522,0,163898.79,6123.267,35711.232,82323.47,-25.334,5358.938,6389.493,117610.869,-106663.545,633546.715
"VALU",2752.974,176.607,15.692,0,0,36.295,381.411,45.339,5954.553,802.045,1960.285,3017.303,119.207,3582.04,9291.704,1767.277,1444.013,652.777,716.005,5432.784,9559.455,3188.699,7457.559,300.335,17.579,363.279,3545.811,6182.548,1329.107,16232.676,43358.87,6361.65,129.448,1004.937,2050.098,2384.736,7583.56,2501.26,4631.209,7595.974,31386.139,19932.243,20710.067,6948.488,25679.425,2254.117,19822.537,1818.309,4072.059,1093.914,0,0,0,0,0,0,0,0,0,297644.4
"LABR",700.186,176.607,6.295,0,0,32.203,218.059,39.215,3054.066,633.491,1309.55,2031.378,37.72,1635.201,2588.499,1277.431,825.131,445.146,456.229,3462.621,4583.036,1898.479,4915.69,122.82,10.184,182.893,2693.93,2297.552,629.379,12703.8,22252.424,4657.524,76.706,499.05,1349.866,1916.92,6022.473,2078.779,1628.768,5381.437,18874.085,1631.826,15342.668,5314.442,18319.753,2254.117,15676.851,1230.082,2879.189,1093.914,0,0,0,0,0,0,0,0,0,177447.666
"OTXS",-292.591,-111.34,-0.331,0,0,-15.134,-20.615,-15.571,195.907,-72.275,-157.376,-498.316,9.394,13.68,765.839,-252.682,1.695,-172.627,49.045,63.888,892.475,113.531,2.928,63.69,2.828,67.007,-383.154,-71.864,48.228,-4336.162,1468.031,-989.845,-16.747,77.021,-282.158,-56.605,-1833.292,-602.191,-282.916,-202.964,-995.496,119.264,-3152.604,-1066.544,1267.19,-344.67,-528.005,-185.81,-549.344,0,0,0,0,0,0,0,0,0,0,-12267.587
"CFC",542.405,27.68,2.653,0,0,5.916,65.998,14.525,958.474,110.543,284.077,610.839,24.028,713.86,2111.813,323.468,220.001,216.57,89.742,635.716,1039.002,576.155,990.336,45.995,2.25,59.51,436.43,2107.584,359.254,1491.927,3631.615,1158.869,24.947,211.072,407.477,196.767,921.009,471.091,1454.695,745.031,4175.624,7467.911,2390.251,836.893,5960.791,279.845,1681.933,330.546,349.818,0,0,0,0,0,0,0,0,0,0,46762.938
"NOPS",1802.975,83.659,7.075,0,0,13.31,117.969,7.17,1746.107,130.285,524.033,873.402,48.065,1219.299,3825.553,419.059,397.187,163.688,120.989,1270.559,3044.941,600.533,1548.604,67.829,2.317,53.87,798.604,1849.277,292.246,6373.112,16006.799,1535.102,44.543,217.794,574.913,327.654,2473.37,553.581,1830.662,1672.47,9331.925,10713.241,6129.753,1863.696,131.691,64.825,2991.757,443.492,1392.395,0,0,0,0,0,0,0,0,0,0,85701.383
"OUTPUT",7155.542,475.204,21.581,0,0,81.355,904.556,141.498,20957.023,2502.706,4808.375,7135.666,2383.862,11746.113,25358.761,3866.058,3623.689,1736.696,1610.929,11357.624,23866.454,9926.354,18877.622,853.563,35.877,1463.417,8469.715,22263.881,2922.587,34473.428,88215.012,11496.831,7822.357,2977.026,4177.855,4595.846,15177.88,6264.657,9826.387,14099.597,51734.33,37475.923,37495.275,17392.941,36183.63,3812.405,27289.677,5854.676,8457.581,1093.914,0,0,0,0,0,0,0,0,0,620463.934
