"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",725.1,18.125,0.091,0,0,0.014,0.203,0.031,4098.865,22.123,6.329,2.966,0.545,25.324,9.832,13.239,0.532,0.187,0.12,1.436,1.494,0.985,2.445,0.111,0.004,0.233,5.16,10.004,1.249,17.954,328.148,4.351,10.225,0.506,2.248,0.593,332.706,2.274,0.943,1.823,3.118,8.439,14.408,12.635,40.529,4.769,21.302,14.319,13.112,0,4556.848,0.045,3.306,210.115,0.617,70.492,92.9,118.874,-2541.3,8293.046
"TTL_A02",8.753,162.669,0.008,0,0,0.027,0.237,0.008,20.714,0.289,319.468,40.537,0.158,4.987,1.108,2.906,0.536,0.108,0.106,0.648,0.438,0.254,1.005,0.028,0.003,0.06,10.546,7.301,0.21,18.739,20.178,1.367,0.594,0.152,0.452,0.25,8.352,0.193,0.124,0.254,0.323,2.645,1.599,1.028,4.664,0.398,0.605,0.648,1.251,0,114.044,0.001,0.094,0.872,0.327,1.404,0.732,78.845,-55.146,788.101
"TTL_A03",0.196,0.01,0.027,0,0,0.001,0.01,0.003,10.122,0.014,0.027,0.036,0.037,0.123,0.134,0.018,0.025,0.012,0.008,0.048,0.279,0.08,0.133,0.007,0,0.016,0.059,0.143,0.014,0.149,1.3,0.132,1.223,0.026,0.078,0.044,3.254,0.066,0.08,0.273,0.234,0.047,0.751,0.163,0.29,0.059,0.155,0.094,0.109,0,63.494,0,0.549,4.332,0.021,4.628,1.031,6.913,-75.521,25.556
"TTL_B05",0.255,0.014,0,0,0,0.013,0.186,0.036,0.529,0.036,0.153,0.322,14.399,1.683,0.058,0.056,1.775,3.818,0.818,0.224,0.139,0.088,0.255,0.008,0,0.029,0.117,157.379,0.077,0.763,0.853,0.231,0.14,0.045,0.06,0.031,0.167,0.022,0.038,0.054,0.217,0.221,0.217,0.112,0.54,0.078,0.063,0.065,0.165,0,117.187,0,0.007,0.498,0.007,0.16,0,0,-304.409,0
"TTL_B06",0.452,0.022,0,0,0,0.054,0.528,0.312,3.482,0.19,0.282,0.922,594.755,17.956,0.689,0.447,3.051,2.193,1.333,1.237,0.985,0.794,2.606,0.06,0.003,0.159,0.683,477.262,0.315,2.74,7.035,2.119,0.961,0.234,0.612,0.221,0.926,0.147,0.213,0.347,0.653,1.152,1.696,0.779,1.28,0.258,0.438,0.426,0.549,0,395.175,0.002,15.24,17.192,0.085,2.446,0,0,-1563.697,0
"TTL_B07",0.281,0.017,0,0,0,2.991,3.717,0.915,2.154,0.045,0.074,0.276,12.566,45.037,1.268,0.341,15.433,155.759,185.112,16.436,3.782,6.827,8.471,0.183,0.008,0.423,2.534,32.271,1.049,32.317,3.254,0.711,0.293,0.121,0.31,0.107,0.65,0.113,0.154,0.303,0.498,0.629,1.733,0.629,0.533,0.059,0.118,0.398,0.459,0,1.952,0.002,0.083,1.311,0.003,0.503,0.049,10.488,-440.681,115.072
"TTL_B08",9.982,0.581,0.025,0,0,0.432,74.715,2.145,22.053,0.445,0.711,7.329,15.998,237.877,5.072,2.28,386.35,21.109,13.769,10.359,4.842,7.334,13.36,0.137,0.009,0.349,11.909,53.629,8.277,680.481,23.04,5.828,0.964,0.114,4.542,0.245,3.852,0.262,0.252,0.503,0.35,16.082,4.699,2.311,13.21,0.302,0.545,2.43,2.044,0,91.437,0.001,0.043,3.352,0.015,0.543,0.026,16.022,-530.888,1253.682
"TTL_B09",0.161,0.022,0.001,0,0,0.21,1.892,0.681,0.462,0.017,0.065,0.185,11.152,0.967,0.128,0.085,0.755,0.088,0.103,0.286,0.306,0.126,0.431,0.01,0.001,0.056,0.3,11.888,0.143,9.674,1.556,0.876,0.75,0.311,0.431,0.084,0.157,0.088,0.183,0.304,0.412,1.219,0.881,0.433,0.367,0.038,0.069,0.163,0.156,0,2.602,0.001,5.831,172.403,0,0.542,0.049,2.67,-32.484,200.286
"TTL_C10T12",814.897,2.381,0.873,0,0,0.064,1.314,0.2,6300.805,18.564,3.179,13.267,6.85,133.841,54.206,4.78,3.049,1.125,1.296,8.987,16.587,7.392,17.643,0.461,0.021,1.15,9.475,26.343,5.926,26.307,875.047,21.205,113.992,18.844,15.191,7.318,3256.573,15.393,11.983,25.948,36.342,18.968,89.889,62.741,201.092,56.759,155.674,120.449,96.209,0,16988.048,0.025,1.611,24.754,14.606,282.878,314.991,4827.49,-5843.389,29291.615
"TTL_C13T15",9.445,1.957,0.318,0,0,0.082,1.504,0.205,25.344,593.466,10.13,33.231,2.375,33.012,10.585,44.387,10.358,1.446,1.271,17.234,37.452,19.465,34.818,7.739,0.154,7.333,157.661,14.115,7.355,83.008,301.915,19.29,36.711,3.612,6.98,11.745,78.121,10.134,5.934,6.307,11.784,16.118,41.378,33.632,81.25,7.556,36.923,33.66,51.24,0,4233.164,0.073,0.794,27.476,5.946,132.471,22.001,1776.068,-5331.906,2825.828
