"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",1815.56,24.623,0.719,0,0,0.003,0.174,0.004,6548.808,13.423,221.38,1.581,19.566,56.777,12.223,34.264,1.497,0.231,0.132,1.789,2.369,1.351,2.425,0.488,0.016,0.415,0.988,75.713,1.778,8.298,336.128,2.948,9.615,1.043,2.019,0.286,261.214,1.399,0.273,3.323,2.373,8.138,25.85,40.993,76.69,4.354,20.443,19.14,4.385,0,5975.052,0.058,96.808,302.173,1.908,109.238,168.696,117.594,-4002.15,12436.583
"TTL_A02",137.067,19.766,0.019,0,0,0.002,0.164,0.004,9.42,0.332,382.343,154.666,0.509,2.135,0.736,0.816,0.614,0.098,0.056,0.901,1.282,0.693,0.987,0.032,0.007,0.111,2.13,2.076,0.277,21.757,173.171,0.959,1.659,0.323,0.383,0.117,3.92,0.104,0.081,0.296,0.496,3.755,1.01,1.425,2.875,0.222,0.762,0.591,0.327,0,171.213,0.002,0.121,20.135,0.384,2.049,1.207,115.141,-126.852,1114.875
"TTL_A03",2.283,0.008,5.868,0,0,0,0.034,0.001,11.981,0.043,0.067,0.043,0.086,0.325,0.149,0.036,0.05,0.03,0.016,0.103,0.166,0.071,0.138,0.005,0.001,0.022,0.053,0.089,0.018,0.179,50.094,0.112,0.972,0.075,0.021,0.02,3.677,0.026,0.013,0.023,0.05,0.033,1.108,0.364,0.272,0.03,0.161,0.024,0.027,0,103.87,0,4.879,4.052,0.061,6.516,1.23,15.279,-165.354,49.497
"TTL_B05",0.214,0.028,0,0,0.003,0.023,1.037,0.027,0.767,0.021,0.085,0.501,109.256,4.773,0.064,0.133,3.133,2.685,0.617,0.063,0.168,0.167,0.162,0.009,0.001,0.021,0.041,153.385,0.509,1.864,1.298,0.47,0.513,0.098,0.32,0.055,0.101,0.015,0.033,0.342,0.163,0.358,0.397,0.378,1.403,0.169,0.178,0.199,0.203,0,170.696,0,0.12,1.327,0.07,0.317,0,0,-458.978,0
"TTL_B06",0.923,0.207,0.001,0,0.1,0.218,10.591,0.449,3.191,0.115,0.21,2.446,532.713,924.201,0.558,0.736,15.251,6.071,3.592,0.28,1.021,1.171,3.89,0.197,0.007,0.184,0.358,903.646,2.176,10.551,9.844,4.331,4.378,1.965,1.512,0.34,0.395,0.141,0.123,1.043,1.824,2.114,4.992,2.588,6.295,0.724,0.712,0.885,1,0,604.484,0.005,24.647,20.173,0.641,4.286,0.072,5.216,-3120.535,9.252
"TTL_B07",0.746,0.121,0,0,0.02,0.515,10.454,0.356,1.671,0.031,0.097,1.316,117.097,203.776,0.087,0.547,4.566,37.426,39.119,3.964,2.747,5.93,1.954,0.09,0.008,0.265,4.22,102.412,2.042,10.397,4.403,0.954,1.371,0.277,1.57,0.168,0.203,0.223,0.046,0.59,0.937,1.849,3.758,2.277,3.411,0.28,0.247,0.349,0.748,0,2.035,0.004,0.361,1.19,0.013,0.926,0.058,4.386,-536.632,47.976
"TTL_B08",4.027,0.402,0,0,0.154,0.714,118.237,1.24,9.49,0.207,0.506,8.019,819.19,1426.564,0.742,2.915,170.455,32.463,15.604,0.614,1.677,3.576,2.06,0.109,0.014,0.242,0.337,491.921,11.545,142.919,20.906,2.544,4.259,0.891,4.364,0.39,0.987,0.064,0.091,0.263,0.563,12.151,4.766,5.511,22.828,1.2,1.124,1.346,1.57,0,141.331,0.001,0.164,5.192,0.189,0.766,0.02,12.223,-1056.719,2454.925
"TTL_B09",0.187,0.076,0,0,0.002,0.007,0.348,0.021,0.386,0.029,0.071,0.109,1.64,2.869,0.14,0.079,0.317,0.066,0.037,0.204,0.482,0.181,0.378,0.015,0.002,0.054,0.262,2.286,0.114,0.911,2.932,0.302,0.828,0.368,0.192,0.078,0.175,0.11,0.138,0.524,0.627,0.488,1.461,1.093,0.527,0.069,0.155,0.198,0.239,0,3.2,0.002,2.162,62.671,0.01,0.933,0.066,0.575,-31.516,59.878
"TTL_C10T12",1518.372,17.943,0.053,0,0.002,0.013,0.752,0.014,7429.05,126.642,1.833,29.417,4.031,632.821,225.582,19.321,4.907,0.967,0.749,3.429,11.99,4.834,7.28,0.32,0.04,1.155,2.628,3.816,2.991,14.721,671.272,167.236,2656.102,286.542,6.704,4.148,4769.866,2.239,1.758,7.007,71.138,4.534,47.532,19.213,293.637,107.111,569.382,18.667,14.535,0,26102.61,0.032,9.791,37.185,29.216,396.709,475.459,9130.346,-8748.863,47216.783
"TTL_C13T15",26.454,1.766,0.001,0,0.002,0.012,0.733,0.017,22.138,636.607,1.321,17.095,1.836,11.493,2.405,79.566,44.131,2.307,1.823,23.676,73.971,17.389,43.807,10.808,0.575,15.073,61.401,2.343,4.991,89.226,387.624,38.739,24.632,7.293,19.848,2.849,32.447,2.37,0.333,1.048,43.271,24.876,33.533,74.806,46.515,7.386,60.37,20.679,39.305,0,6585.193,0.058,1.596,74.96,9.895,175.296,39.35,1898.063,-6943.803,3901.498
