"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",1150.834,25.075,0.217,0,0.002,0.01,0.663,0.009,6694.942,39.714,7.494,3.917,0.798,76.628,33.725,24.685,1.171,0.419,0.27,3.118,3.906,2.236,3.741,0.327,0.02,0.823,9.465,31.685,3.414,29.542,457.404,10.005,15.126,1.91,8.552,1.149,446.833,3.809,1.833,4.913,7.451,10.551,36.304,39.562,76.754,11.749,33.838,31.053,32.601,0,5081.85,0.051,150.928,292.222,0.291,118.401,162.865,128.217,-3821.556,11493.513
"TTL_A02",13.279,135.204,0.016,0,0.001,0.008,0.534,0.003,34.254,0.434,428.608,36.197,0.218,6.543,2.649,3.499,0.98,0.151,0.117,1.222,1.154,0.784,1.265,0.096,0.022,0.276,18.982,19.954,0.471,35.56,32.037,2.807,1.244,0.25,1.517,0.431,9.028,0.585,0.229,0.751,0.893,9.924,3.689,2.581,6.845,0.536,1.238,1.561,1.958,0,146.65,0.001,0.112,24.122,0.349,1.836,1.173,103.673,-122.701,975.797
"TTL_A03",0.718,0.053,0.258,0,0,0,0.031,0,71.132,0.04,0.062,0.045,0.05,0.319,0.324,0.039,0.049,0.023,0.014,0.088,0.252,0.107,0.14,0.01,0.001,0.034,0.206,0.227,0.039,0.302,3.403,0.315,2.756,0.059,0.253,0.069,17.618,0.096,0.052,0.198,0.162,0.087,1.125,0.338,0.574,0.171,0.442,0.498,0.368,0,105.822,0,2.631,3.96,0.042,7.192,0.767,21.779,-198.288,47.055
"TTL_B05",0.346,0.016,0,0,0.001,0.008,0.385,0.008,0.917,0.065,0.17,0.31,14.902,1.991,0.13,0.088,3.148,5.09,0.755,0.311,0.289,0.209,0.342,0.015,0.001,0.068,0.155,242.737,0.195,1.464,1.637,0.471,0.247,0.086,0.21,0.064,0.246,0.047,0.076,0.258,0.28,0.392,0.556,0.263,0.798,0.161,0.121,0.222,0.269,0,153.755,0,0.078,1.103,0,0.303,0,0,-435.759,0
"TTL_B06",1.408,0.063,0.002,0,0.086,0.057,3.823,0.129,8.498,0.354,0.571,1.589,1186.437,51.04,2.017,1.274,9.708,8.791,3.965,2.986,2.531,1.922,4.226,0.175,0.017,0.889,1.502,1245.529,1.319,10.38,26.762,8.547,5.204,1.547,3.076,1.029,3.087,0.357,0.435,1.006,2.02,3.251,7.074,2.674,3.554,0.65,1.259,2.86,1.943,0,566.71,0.004,22.611,19.703,0,4.54,0.07,5.13,-3237.523,8.866
"TTL_B07",0.435,0.025,0,0,0.007,0.772,7.021,0.132,2.759,0.063,0.117,0.367,21.736,42.134,2.143,0.378,19.567,164.967,149.4,18.965,5.692,15.7,8.204,0.401,0.029,1.372,3.168,49.545,1.263,33.872,4.578,0.959,0.778,0.27,0.807,0.135,0.561,0.173,0.17,0.431,0.663,0.634,3.473,1.239,0.824,0.088,0.176,0.885,0.551,0,2.16,0.004,0.342,1.564,0,1.186,0.057,5.387,-532.691,45.642
"TTL_B08",13.159,0.654,0.025,0,0.039,0.307,120.158,0.405,22.949,0.774,1.413,7.072,80.535,333.713,9.692,3.525,623.838,55.804,31.631,18.085,10.424,12.595,16.789,0.387,0.046,1.288,22.806,290.819,12.727,1286.123,35.544,10.613,2.967,0.268,5.713,0.329,3.469,0.302,0.305,0.835,0.758,24.749,10.748,6.387,18.273,0.813,0.952,4.045,3.392,0,123.136,0.002,0.101,3.331,0,0.804,0.02,14.17,-885.206,2364.603
"TTL_B09",0.11,0.018,0,0,0.002,0.003,0.192,0.005,0.324,0.027,0.075,0.091,2.26,0.463,0.262,0.061,0.355,0.246,0.193,0.262,0.534,0.247,0.445,0.021,0.003,0.114,0.283,3.374,0.135,1.881,2.671,0.688,1.086,0.492,0.383,0.127,0.181,0.17,0.233,0.665,0.763,0.355,1.769,0.86,0.603,0.075,0.138,0.304,0.22,0,3.993,0.003,1.113,40.319,0,1.086,0.065,0.784,-36.311,34.823
"TTL_C10T12",1353.278,3.638,2.076,0,0.006,0.042,3.314,0.041,9388.361,23.912,6.869,18.987,8.979,352.015,172.466,11.479,6.406,1.717,1.47,13.47,27.807,15.684,24.106,1.021,0.094,3.68,19.567,61.79,14.308,55.735,1408.234,35.855,295.688,35.77,40.253,8.859,4835.187,26.821,15.252,46.504,65.509,33.819,173.11,111.505,396.668,121.646,320.932,283.687,190.341,0,23026.94,0.031,4.522,24.924,23.117,437.037,427.75,9094.095,-9167,43909.375
"TTL_C13T15",9.522,2.453,0.26,0,0.01,0.046,2.76,0.048,28.228,647.956,10.802,26.305,2.692,33.08,21.715,38.84,11.998,2.556,1.617,23.587,42.99,21.901,36.047,9.985,0.413,17.018,182.802,32.104,15.305,91.364,362.543,22.558,38.094,8.497,17.752,15.447,54.663,14.137,6.744,14.945,21.555,25.345,86.335,68.393,133.93,9.619,45.352,79.192,72.824,0,6205.926,0.065,1.231,83.655,4.76,196.084,33.32,1906.275,-7338.451,3505.195
