"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",901.929,23.188,0.164,0,0.001,0.006,0.432,0.009,5541.965,30.043,5.809,4.012,0.701,60.864,25.217,18.889,0.817,0.252,0.206,2.203,2.829,1.662,2.905,0.197,0.009,0.372,7.421,13.901,2.017,20.708,343.211,7.428,10.731,1.188,5.318,0.771,430.862,2.642,1.247,3.167,5.047,7.246,24.792,28.703,48.691,9.031,32.078,20.744,22.447,0,5148.047,0.053,48.33,233.098,0.06,89.046,143.661,119.059,-3248.252,10207.175
"TTL_A02",14.276,151.39,0.011,0,0.001,0.008,0.509,0.004,29.215,0.412,446.633,43.211,0.218,6.626,2.298,3.328,0.842,0.122,0.168,1.024,0.985,0.676,1.151,0.074,0.011,0.162,16.857,15.488,0.372,26.164,30.884,2.039,0.917,0.225,1.098,0.424,9.707,0.75,0.234,0.684,0.988,7.185,3.065,2.778,5.592,0.543,1.112,1.27,2.006,0,141.213,0.001,0.161,13.602,0.259,1.6,1.057,77.39,-98.567,970.456
"TTL_A03",0.365,0.02,0.088,0,0,0,0.02,0,29.517,0.021,0.045,0.035,0.056,0.202,0.179,0.026,0.038,0.015,0.01,0.065,0.217,0.089,0.119,0.008,0.001,0.02,0.106,0.156,0.021,0.198,1.944,0.231,2.176,0.041,0.181,0.058,8.205,0.046,0.045,0.116,0.128,0.054,0.803,0.221,0.325,0.082,0.235,0.186,0.169,0,83.495,0,3.251,3.527,0.016,5.369,1.087,12.248,-119.065,36.811
"TTL_B05",0.397,0.017,0,0,0.001,0.007,0.383,0.01,0.965,0.062,0.152,0.325,21.679,2.223,0.11,0.09,3.276,4.312,0.927,0.336,0.305,0.187,0.411,0.016,0.001,0.055,0.161,228.241,0.147,1.171,1.476,0.33,0.161,0.054,0.173,0.062,0.244,0.039,0.063,0.181,0.97,0.355,0.478,0.241,0.713,0.131,0.106,0.154,0.293,0,149.348,0,0.061,0.827,0,0.267,0,0,-422.695,0
"TTL_B06",1.046,0.052,0.001,0,0.069,0.044,2.53,0.129,6.9,0.318,0.475,1.534,1187.992,40.343,1.533,1.057,7.212,5.168,3.511,2.249,2.411,1.362,3.933,0.145,0.012,0.583,1.13,899.565,0.832,6.686,16.24,5.054,3.378,1.147,1.929,0.738,2.204,0.306,0.345,0.75,1.563,2.686,4.011,2.041,2.682,0.582,0.901,1.446,1.413,0,560.519,0.003,20.174,16.851,0,3.617,0.069,5.314,-2826.034,8.751
"TTL_B07",0.405,0.026,0,0,0.008,0.648,5.349,0.183,3.208,0.057,0.092,0.38,30.523,44.492,1.314,0.303,17.399,128.651,177.729,16.081,4.428,9.92,6.88,0.269,0.019,0.672,3.484,40.394,1.12,30.386,3.653,0.815,0.353,0.147,0.556,0.113,0.554,0.133,0.139,0.289,0.504,0.557,2.57,0.989,0.682,0.068,0.16,0.7,0.596,0,2.062,0.003,0.184,0.989,0,0.908,0.054,6.088,-510.111,38.178
"TTL_B08",12.26,0.677,0.022,0,0.039,0.236,109.214,0.707,23.014,0.763,1.364,7.654,78.367,348.816,9.427,3.265,596.204,44.2,34.399,16.176,9.529,11.221,17.404,0.339,0.029,0.77,19.76,223.855,9.5,979.263,32.558,8.916,1.928,0.21,6.128,0.401,4.227,0.291,0.295,0.659,0.661,24.797,9.34,4.973,18.136,0.639,0.925,4.011,3.173,0,115.526,0.001,0.184,5.07,0,0.653,0.021,11.968,-793.378,2020.789
"TTL_B09",0.085,0.015,0,0,0.004,0.005,0.262,0.015,0.247,0.019,0.052,0.081,1.929,0.337,0.148,0.046,0.31,0.066,0.06,0.184,0.371,0.17,0.424,0.016,0.001,0.052,0.201,2.237,0.088,1.572,1.923,0.536,0.807,0.388,0.268,0.104,0.144,0.116,0.188,0.461,0.572,0.252,1.199,0.665,0.434,0.052,0.091,0.173,0.151,0,2.882,0.001,1.96,60.355,0,0.624,0.062,1.004,-29.563,54.844
"TTL_C10T12",993.071,2.936,1.245,0,0.005,0.029,2.13,0.044,8550.625,17.756,4.995,15.408,7.902,236.089,99.829,7.29,4.51,1.252,1.405,10.45,23.285,11.453,21.207,0.686,0.042,1.918,12.97,46.024,8.501,34.352,987.961,30.113,167.463,27.535,27.235,7.002,4300.914,21.419,14.17,33.987,57.585,25.858,112.904,77.596,257.782,80.324,228.589,176.981,143.313,0,20818.035,0.028,4.737,38.573,20.555,332.563,418.612,7913.008,-7239.989,39202.258
"TTL_C13T15",8.059,1.59,0.218,0,0.008,0.029,1.932,0.045,21.904,568.342,8.969,25.529,2.391,28.399,15.295,37.591,9.57,1.7,1.52,17.049,32.307,17.402,28.368,7.794,0.22,9.278,145.645,17.16,8.607,66.521,266.428,16.982,34.367,5.075,11.63,10.183,52.597,11.315,5.086,8.914,14.555,22.047,57.395,44.628,85.275,6.838,36.028,41.982,55.245,0,4855.885,0.058,0.916,50.917,2.963,151.77,34.12,1817.576,-5515.768,3268.45
