"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_J61",0.01413,0.01729,0.00954,0,0.02256,0.01734,0.01903,0.01334,0.01762,0.0141,0.01381,0.01897,0.01951,0.01832,0.01514,0.01639,0.01701,0.0182,0.01798,0.01293,0.01269,0.01841,0.0149,0.01476,0.00308,0.01706,0.01622,0.02878,0.02003,0.01416,0.02241,0.02577,0.03716,0.02976,0.03174,0.0384,0.01743,0.03986,1.15507,0.0324,0.02245,0.01337,0.02428,0.02811,0.0194,0.01771,0.00868,0.02779,0.02821,0
"TTL_J62_63",0.0456,0.04449,0.02574,0,0.06656,0.05966,0.06147,0.04192,0.06138,0.04345,0.04105,0.06333,0.06882,0.07086,0.05203,0.05637,0.0594,0.06583,0.06162,0.04333,0.0446,0.0653,0.04709,0.04564,0.01082,0.06007,0.05087,0.11917,0.07083,0.04537,0.06923,0.06924,0.12209,0.10845,0.10213,0.10957,0.04645,0.11497,0.10785,1.36658,0.08408,0.03307,0.09617,0.08418,0.05323,0.06114,0.0249,0.07689,0.07063,0
"TTL_K",0.06156,0.06282,0.03641,0,0.08953,0.07788,0.06584,0.0589,0.06955,0.04747,0.04633,0.06855,0.09313,0.0752,0.04679,0.06382,0.0659,0.0729,0.07503,0.04663,0.03883,0.06473,0.04799,0.04692,0.01102,0.0586,0.05291,0.12197,0.06778,0.04763,0.06573,0.08885,0.13375,0.11664,0.0984,0.07395,0.05168,0.054,0.04438,0.0449,1.16656,0.20701,0.05893,0.06918,0.03594,0.04079,0.02164,0.07088,0.06395,0
"TTL_L",0.02742,0.02855,0.01521,0,0.0352,0.03102,0.03343,0.02284,0.03747,0.03072,0.02579,0.03662,0.0344,0.03484,0.03093,0.03224,0.03225,0.03449,0.03345,0.02676,0.02441,0.03522,0.02667,0.0285,0.00701,0.03258,0.03346,0.04603,0.03381,0.02856,0.05479,0.04516,0.06891,0.05389,0.0774,0.05557,0.04895,0.04687,0.03745,0.04157,0.03062,1.03754,0.04186,0.04387,0.02261,0.03516,0.01783,0.06021,0.04477,0
"TTL_M",0.17103,0.12784,0.08245,0,0.238,0.22327,0.20762,0.22873,0.20371,0.13365,0.11896,0.18557,0.23585,0.22831,0.14948,0.19642,0.1942,0.21051,0.18931,0.13978,0.14481,0.19388,0.14656,0.1577,0.03724,0.1978,0.15739,0.36441,0.20545,0.17757,0.19093,0.1893,0.3193,0.26388,0.28239,0.17101,0.14962,0.25331,0.17184,0.19515,0.16557,0.11046,1.37882,0.21012,0.12559,0.14772,0.0702,0.2299,0.20814,0
"TTL_N",0.05152,0.05997,0.02969,0,0.10121,0.08661,0.08831,0.07506,0.06624,0.04434,0.04568,0.06588,0.07516,0.07111,0.05014,0.06464,0.06807,0.06687,0.0645,0.04733,0.04137,0.06546,0.0513,0.05184,0.01248,0.06882,0.05506,0.11034,0.08341,0.05372,0.0639,0.0912,0.20723,0.17317,0.13284,0.10599,0.05117,0.08252,0.0625,0.06934,0.04583,0.03484,0.07233,1.1468,0.04248,0.05914,0.0256,0.08849,0.06232,0
"TTL_O",0.02537,0.08978,0.01316,0,0.02675,0.03565,0.03045,0.02199,0.02976,0.01837,0.05034,0.04093,0.03308,0.03309,0.01864,0.02833,0.02984,0.07959,0.07635,0.02616,0.01421,0.02726,0.02147,0.02113,0.00518,0.02738,0.02368,0.06747,0.17205,0.0257,0.02221,0.04455,0.04431,0.03308,0.03745,0.03032,0.02082,0.02234,0.0191,0.01626,0.0154,0.01541,0.02569,0.02146,1.03274,0.02248,0.01114,0.03441,0.02581,0
"TTL_P",0.00062,0.00058,0.00034,0,8e-04,0.00087,0.00077,0.00067,0.00077,5e-04,0.00051,0.00095,0.00089,0.00084,0.00056,0.00073,0.00073,0.00197,0.00183,0.00062,0.00046,0.00077,0.00058,0.00061,0.00015,8e-04,0.00065,0.00135,0.00418,0.00056,0.00063,0.00076,0.00168,0.00118,0.00105,0.00082,0.00053,0.00089,0.00074,0.00144,0.00059,0.00035,0.00145,0.00076,0.00076,1.00162,0.00031,0.00095,0.00077,0
"TTL_Q",0.00282,0.0031,0.00158,0,0.00274,0.00324,0.00249,0.002,0.00341,0.00228,0.00247,0.00278,0.00275,0.00314,0.00305,0.00292,0.00326,0.00322,0.00312,0.00322,0.00195,0.00328,0.00278,0.00243,7e-04,0.00306,0.00291,0.00438,0.00362,0.00281,0.00246,0.00391,0.00437,0.00393,0.00368,0.00324,0.00256,0.00289,0.00179,0.00219,0.00183,0.00132,0.00317,0.0028,0.00379,0.00352,1.01323,0.00422,0.00431,0
"TTL_R",0.00361,0.00475,0.00231,0,0.00391,0.00404,0.00415,0.00303,0.00499,0.00358,0.00319,0.00487,0.00435,0.0049,0.00363,0.00436,0.00422,0.0045,0.00449,0.00343,0.00296,0.00437,0.00344,0.00352,0.00097,0.00444,0.00435,0.00645,0.00609,0.00342,0.00557,0.00524,0.01009,0.00689,0.0065,0.00543,0.00626,0.04046,0.00465,0.0047,0.00346,0.00218,0.00724,0.00856,0.00518,0.00856,0.00213,1.16758,0.04552,0
"TTL_S",0.00591,0.00748,0.00496,0,0.00638,0.00874,0.00843,0.00493,0.00701,0.00538,0.00579,0.00656,0.00768,0.00768,0.00486,0.00618,0.00705,0.0077,0.00719,0.0058,0.00405,0.00619,0.00521,0.00487,0.00132,0.00636,0.00607,0.01098,0.00986,0.00551,0.00617,0.00945,0.01554,0.01103,0.01174,0.00763,0.00793,0.01106,0.0052,0.00688,0.00835,0.00376,0.00957,0.01016,0.00452,0.00736,0.0042,0.02039,1.06637,0
"TTL_T",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TOTAL",2.8876,2.4966,1.91463,1,2.50685,2.62152,2.59321,2.00191,3.39907,2.60376,2.54911,2.6199,2.70136,2.88098,2.9757,2.61219,2.75144,3.05585,3.03246,2.39897,2.45479,2.98697,2.50165,2.70224,1.34107,2.88109,2.58161,3.69469,2.73908,2.46837,2.20669,2.61045,4.17417,3.30615,3.01698,2.70379,2.50053,2.48808,2.13299,2.22921,1.80661,1.94882,2.29448,2.30527,1.7752,1.99918,1.80064,2.64298,2.27332,1
