"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",1009.326,19.513,0.121,0,0,0.023,0.259,0.032,4503.022,32.566,8.304,5.378,0.72,27.991,6.75,16,0.609,0.191,0.163,1.469,1.565,0.964,2.594,0.094,0.005,0.227,6.126,11.556,1.607,22.888,364.808,5.574,12.161,0.522,2.684,0.692,371.111,2.272,1.047,1.719,2.867,13.767,14.09,14.28,51.813,6.488,26.722,19.387,17.528,0,4330.381,0.047,3.636,190.043,-1.601,73.938,91.018,101.291,-2030.416,9367.927
"TTL_A02",10.092,102.457,0.008,0,0,0.03,0.209,0.01,11.873,0.258,238.967,32.333,0.159,3.279,0.599,2.205,0.458,0.094,0.131,0.651,0.358,0.23,0.837,0.02,0.003,0.045,9.014,6.413,0.114,10.967,13.936,1.114,0.598,0.15,0.471,0.218,5.919,0.172,0.119,0.22,0.293,2.11,0.848,0.794,3.249,0.455,0.474,0.572,0.854,0,97.071,0,0.083,0.75,0.484,1.766,0.78,131.991,-49.631,647.673
"TTL_A03",0.233,0.008,0.031,0,0,0.001,0.008,0.002,9.203,0.014,0.025,0.035,0.032,0.1,0.077,0.017,0.023,0.01,0.007,0.047,0.197,0.077,0.119,0.006,0,0.012,0.054,0.122,0.012,0.141,1.26,0.104,0.645,0.021,0.054,0.036,3.025,0.055,0.075,0.23,0.194,0.043,0.509,0.121,0.249,0.051,0.114,0.095,0.109,0,56.957,0,0.341,2.848,-0.041,4.091,1.098,7.837,-62.979,27.756
"TTL_B05",0.24,0.01,0,0,0,0.013,0.129,0.014,0.228,0.036,0.086,0.248,7.823,1.01,0.029,0.039,1.419,3.149,0.869,0.182,0.084,0.068,0.218,0.005,0,0.015,0.076,101.632,0.051,0.648,0.594,0.115,0.05,0.012,0.026,0.02,0.105,0.014,0.024,0.037,0.211,0.152,0.122,0.064,0.407,0.073,0.041,0.049,0.076,0,93.041,0,0.004,0.452,0,0.103,0,0,-214.113,0
"TTL_B06",0.512,0.024,0.001,0,0,0.06,0.539,0.209,2.425,0.221,0.232,0.933,538.751,13.878,0.499,0.506,3.217,1.93,1.557,1.311,0.986,0.914,2.825,0.056,0.003,0.127,0.683,411.565,0.293,3.44,6.85,1.541,0.884,0.228,0.469,0.23,0.723,0.143,0.191,0.282,0.506,0.651,1.287,0.655,1.268,0.277,0.41,0.423,0.494,0,347.083,0.002,13.644,17.583,0,0.916,0,0,-1384.439,0
"TTL_B07",0.374,0.014,0,0,0,2.766,2.325,0.422,1.636,0.034,0.064,0.244,18.14,31.643,0.651,0.276,9.306,112.139,170.064,14.95,2.401,4.402,8.49,0.093,0.005,0.281,1.465,29.877,0.625,22.537,2.957,0.637,0.244,0.109,0.273,0.078,0.538,0.088,0.118,0.212,0.376,0.594,1.603,0.635,0.452,0.047,0.076,0.439,0.432,0,1.922,0.002,0.021,0.658,0,0.352,0.053,24.601,-366.346,106.393
"TTL_B08",10.021,0.332,0.027,0,0,0.536,61.099,1.099,17.938,0.438,0.648,6.227,19.377,160.507,3.576,2.055,318.621,18.73,16.273,8.402,3.976,6.791,11.994,0.09,0.006,0.215,11.774,48.251,7.482,625.455,18.096,5.297,0.499,0.081,3.3,0.153,3.258,0.234,0.173,0.395,0.392,13.556,4.209,1.936,12.673,0.26,0.445,2.166,1.882,0,78.556,0.002,0.044,2.566,0,0.275,0.027,40.094,-393.798,1158.712
"TTL_B09",0.174,0.022,0.001,0,0,0.216,1.439,0.378,0.338,0.02,0.055,0.156,13.412,1.013,0.092,0.089,0.673,0.063,0.072,0.275,0.277,0.164,0.402,0.01,0.001,0.039,0.341,8.68,0.133,9.118,1.953,0.927,0.741,0.357,0.355,0.111,0.185,0.102,0.23,0.314,0.463,1.333,0.847,0.537,0.413,0.048,0.071,0.209,0.186,0,3.341,0,5.361,148.663,0,0.194,0.053,7.327,-26.471,185.507
"TTL_C10T12",902.215,2.32,0.875,0,0,0.078,1.033,0.141,5633.63,18.443,2.605,16.071,6.127,119.719,37.514,5.043,3.113,1.093,1.376,7.905,13.753,6.946,14.294,0.305,0.016,0.845,8.623,26.05,4.831,23.894,829.263,21.167,114.229,17.899,14.97,6.821,3165.019,14.269,12.341,26.324,37.837,22.602,81.346,54.767,213.525,61.862,148.704,122.563,101.383,0,15461.083,0.022,1.6,19.677,9.803,252.789,299.074,3918.063,-4758.074,27129.788
"TTL_C13T15",9.39,1.268,0.253,0,0,0.084,1.203,0.175,19.325,549.07,7.106,31.842,1.901,25.924,6.11,43.882,8.452,1.031,1.241,15.744,28.624,16.229,30.425,5.962,0.124,5.237,128.848,11.432,5.684,84.451,274.217,15.802,26.645,3.108,5.761,8.249,60.129,9.676,4.089,5.781,9.895,15.52,34.36,26.166,68.202,7.173,30.036,31.864,44.186,0,3542.243,0.071,0.469,21.225,-3.276,128.488,22.002,1840.207,-4496.938,2776.368
