"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",1207.494,26.649,0.375,0,0.002,0.01,0.696,0.011,7275.516,37.825,6.882,3.503,0.701,88.73,50.413,27.579,1.184,0.35,0.286,3.23,4.528,2.402,4.101,0.306,0.025,0.922,10.547,30.989,4.24,33.397,526.593,12.013,17.208,2.183,9.07,1.126,468.015,3.342,2.098,5.41,8.032,10.312,44.784,45.767,95.317,13.259,38.128,21.267,35.007,0,4734.863,0.052,241.653,281.407,4.549,123.016,165.383,167.167,-4230.812,11669.099
"TTL_A02",12.763,152.034,0.026,0,0.001,0.008,0.531,0.004,37.443,0.41,466.995,38.509,0.15,7.512,3.847,4.362,1.131,0.154,0.154,1.367,1.324,0.946,1.518,0.099,0.03,0.32,22.456,25.917,0.527,42.818,37.182,3.413,1.366,0.267,1.699,0.4,9.224,0.549,0.251,0.811,0.969,11.712,4.189,2.868,9.641,0.681,1.49,1.113,2.205,0,142.519,0.002,0.1,29.549,0.527,1.042,1.244,121.074,-123.364,1086.082
"TTL_A03",0.877,0.071,0.468,0,0,0,0.035,0,86.678,0.044,0.077,0.052,0.034,0.403,0.464,0.046,0.056,0.022,0.016,0.098,0.272,0.12,0.158,0.009,0.001,0.035,0.247,0.246,0.046,0.365,4.624,0.376,2.932,0.067,0.283,0.067,20.343,0.096,0.058,0.234,0.182,0.098,1.203,0.395,0.791,0.207,0.573,0.373,0.46,0,99.71,0,1.293,6.049,0.17,7.349,0.566,27.808,-213.765,53.481
"TTL_B05",0.377,0.019,0,0,0.001,0.008,0.468,0.011,1.106,0.06,0.149,0.332,9.626,2.427,0.161,0.087,3.928,4.914,0.796,0.296,0.262,0.214,0.329,0.011,0.001,0.07,0.17,285.437,0.21,2.155,1.573,0.456,0.26,0.08,0.205,0.053,0.203,0.035,0.059,0.241,0.232,0.388,0.597,0.278,0.901,0.185,0.135,0.116,0.275,0,156.912,0,0.036,1.063,0.209,0.168,0,0,-478.288,0
"TTL_B06",2.006,0.074,0.004,0,0.13,0.099,7.247,0.257,12.855,0.49,0.709,2.324,954.553,87.012,3.223,1.693,14.896,12.679,7.561,4.005,3.453,2.578,5.698,0.193,0.02,1.108,2.201,1816.038,1.962,15.3,43.241,12.661,7.225,1.703,4.766,1.561,4.613,0.396,0.631,1.097,2.738,4.138,10.134,3.858,5.658,0.982,1.889,2.623,2.216,0,552.74,0.005,20.959,24.161,1.578,4.435,0.075,5.33,-3672.848,8.933
"TTL_B07",0.43,0.025,0,0,0.008,0.814,7.865,0.204,3.105,0.062,0.108,0.372,12.507,49.553,3.011,0.404,18.842,153.065,165.831,20.531,6.935,17.764,9.359,0.382,0.033,1.528,3.635,54.048,1.319,36.839,4.068,1.041,0.4,0.143,0.695,0.087,0.503,0.138,0.142,0.324,0.481,0.552,3.52,1.298,0.818,0.087,0.186,0.491,0.615,0,1.906,0.003,0.073,1.34,0.075,1.24,0.058,7.537,-551.698,44.704
"TTL_B08",12.243,0.637,0.033,0,0.044,0.338,128.483,0.522,24.973,0.719,1.242,7.111,48.046,340.079,13.172,3.966,680.321,47.829,33.41,19.095,10.64,13.308,16.564,0.334,0.045,1.457,25.243,305.232,14.688,1424.382,34.1,13.952,3.097,0.168,7.071,0.243,3.179,0.28,0.38,0.866,0.887,28.451,12.395,7.017,22.085,0.962,1.209,2.374,3.495,0,120.524,0.002,0.046,3.307,0.436,0.734,0.02,20.126,-1072.65,2388.913
"TTL_B09",0.094,0.017,0,0,0.002,0.004,0.225,0.009,0.312,0.024,0.071,0.084,1.355,0.413,0.311,0.059,0.296,0.146,0.136,0.239,0.548,0.23,0.396,0.017,0.002,0.096,0.239,3.442,0.131,1.893,2.668,0.703,1.084,0.474,0.362,0.111,0.177,0.156,0.235,0.699,0.782,0.341,1.929,0.927,0.633,0.08,0.157,0.204,0.232,0,3.594,0.003,1.186,46.772,0.03,0.911,0.067,0.965,-34.125,42.149
"TTL_C10T12",1635.002,4.491,4.005,0,0.006,0.045,4.056,0.07,10369.006,20.999,7.496,22.536,6.021,522.174,284.383,14.109,7.475,1.679,1.694,14.623,35.797,18.885,25.817,1.06,0.113,4.131,24.474,72.356,17.553,70.672,1620.26,42.983,373.645,39.404,47.984,8.947,5378.538,27.858,16.479,59.989,74.882,41.527,229.43,139.44,508.746,141.785,451.279,204.663,228.192,0,23680.093,0.036,2.275,24.781,38.813,456.437,419.269,10625.701,-12219.646,45854.52
"TTL_C13T15",12.276,3.535,0.408,0,0.014,0.065,3.811,0.083,37.693,738.409,13.342,31.083,1.823,41.31,34.747,47.245,15.173,3.166,2.174,30.842,62.208,26.96,49.929,10.789,0.599,23.464,239.589,50.296,23.416,121.131,509.455,36.361,51.57,12.696,24.482,19.509,67.367,16.344,9.948,23.182,32.244,31.131,135.584,103.238,217.072,15.622,68.761,72.486,105.455,0,6630.009,0.087,0.734,96.713,21.976,207.353,29.239,2108.878,-8723.106,3549.975
