"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",1325.389,23.918,0.409,0,0.002,0.013,0.936,0.005,6820.953,30.393,6.324,3.975,0.177,123.723,90.801,31.147,1.361,0.404,0.408,3.384,3.881,2.425,4.47,0.411,0.026,0.989,10.468,27.398,4.751,28.803,380.107,12.899,18.09,2.838,8.297,1,445.16,2.994,2.279,6.483,10.79,12.252,57.722,43.729,122.578,15.313,56.779,41.34,37.631,0,3444.464,0.057,429.21,217.851,-3.182,126.334,166.223,168.891,-3374.908,11000.56
"TTL_A02",12.661,130.597,0.023,0,0.001,0.009,0.626,0.001,24.898,0.283,390.985,32.892,0.045,10.3,4.479,5.608,1.081,0.116,0.192,1.245,0.844,0.753,1.164,0.081,0.019,0.231,18.308,28.137,0.435,42.749,21.769,2.554,1.209,0.204,1.371,0.255,7.079,0.413,0.243,0.624,0.929,13.584,4.075,2.619,7.996,0.925,1.84,1.679,2.028,0,126.234,0.002,0.092,44.624,0.319,0.951,1.047,100.654,-116.792,937.293
"TTL_A03",0.977,0.056,0.675,0,0,0,0.033,0,96.335,0.033,0.073,0.048,0.01,0.623,0.538,0.052,0.048,0.015,0.013,0.082,0.161,0.087,0.122,0.006,0.001,0.027,0.212,0.179,0.035,0.315,4.34,0.312,3.314,0.062,0.244,0.041,20.491,0.077,0.045,0.155,0.138,0.095,0.747,0.36,1.145,0.247,1.064,0.624,0.446,0,78.355,0,0.009,1.377,-0.007,7.384,0.529,27.989,-196.494,53.847
"TTL_B05",0.335,0.014,0,0,0.001,0.008,0.483,0.005,0.986,0.044,0.133,0.336,2.023,3.351,0.195,0.125,3.568,3.664,0.721,0.302,0.142,0.138,0.23,0.008,0.001,0.045,0.124,190.357,0.168,1.928,1.305,0.324,0.214,0.057,0.162,0.032,0.142,0.026,0.05,0.271,0.239,0.27,0.491,0.197,0.8,0.115,0.133,0.146,0.242,0,137.487,0,0.005,0.873,0,0.427,0,0,-353.441,0
"TTL_B06",0.973,0.043,0.003,0,0.107,0.118,7.027,0.078,10.223,0.323,0.692,2.054,227.706,91.392,3.93,1.567,13.109,7.188,7.663,3.159,2.298,1.627,3.457,0.11,0.014,0.787,1.644,1247.325,1.574,12.405,22.354,7.686,5.473,1.15,2.738,0.629,3.056,0.243,0.345,0.7,1.97,3.063,7.393,2.996,3.564,1.115,1.847,3.27,2.191,0,504.283,0.002,14.119,14.247,0,3.154,0.064,5.144,-2253.114,8.278
"TTL_B07",0.354,0.016,0,0,0.007,0.911,6.392,0.076,2.352,0.034,0.06,0.215,2.221,51.038,2.627,0.3,14.078,80.395,146.231,8.863,2.318,5.966,2.779,0.106,0.008,0.404,1.379,28.735,0.803,29.167,2.626,0.655,0.237,0.069,0.511,0.042,0.34,0.061,0.081,0.206,0.4,0.352,2.382,0.715,0.498,0.068,0.174,0.656,0.383,0,1.239,0.002,0.013,1.099,0,1.203,0.051,8.961,-371.34,39.522
"TTL_B08",10.983,0.364,0.024,0,0.046,0.326,127.684,0.226,21.252,0.563,1.085,5.268,9.117,381.43,13.986,3.308,561.719,26.045,23.004,13.669,6.336,7.998,7.721,0.193,0.021,0.682,11.504,173.738,10.824,1098.564,21.792,8.481,2.006,0.16,5.591,0.122,2.293,0.113,0.245,0.571,0.598,18.207,9.896,5.706,19.291,0.773,1.075,3.279,2.76,0,124.046,0.001,0.012,2.078,0,0.85,0.021,21.489,-468.021,2301.114
"TTL_B09",0.096,0.011,0,0,0.001,0.006,0.208,0.003,0.29,0.025,0.059,0.063,0.103,0.48,0.316,0.062,0.258,0.291,0.497,0.22,0.324,0.161,0.309,0.012,0.001,0.075,0.193,1.309,0.088,1.316,1.837,0.427,0.8,0.305,0.249,0.055,0.121,0.083,0.143,0.416,0.565,0.27,1.599,0.48,0.488,0.057,0.153,0.218,0.159,0,1.973,0.002,0.593,32.191,-0.01,0.718,0.06,1.022,-24.455,27.295
"TTL_C10T12",1885.337,4.642,5.441,0,0.009,0.043,4.081,0.028,10240.741,20.644,6.567,24.063,2.163,774.212,552.346,17.279,6.338,1.552,2.491,12.342,21.349,13.57,23.067,0.784,0.076,2.902,25.165,88.482,18.631,54.659,1375.992,37.512,341.406,46.38,45.308,5.643,4994.046,25.155,14.003,48.415,73.703,44.626,263.044,138.968,582.229,156.661,633.912,348.847,256.421,0,22800.853,0.043,0.781,23.455,3.987,452.223,416.647,6265.391,-10772.891,42431.766
"TTL_C13T15",18.315,3.794,0.622,0,0.021,0.106,5.808,0.065,50.683,803.068,18.144,49.818,0.799,75.593,77.168,90.687,18.81,3.905,3.644,37.16,54.686,33.942,56.416,12.155,0.646,25.666,311.552,61.02,30.045,156.835,613.119,42.286,77.57,17.732,33.47,18.814,95.505,17.861,12.532,27.837,44.347,37.005,202.894,129.931,313.018,23.053,133.104,172.96,144.055,0,5966.098,0.08,0.251,153.622,-21.619,215.513,21.246,1935.725,-9267.831,3161.351
"TTL_C16",37.016,10.477,0.156,0,0.014,0.156,10.395,0.051,110.257,6.277,2342.472,114.148,0.508,102.6,51.171,40.66,57.206,6.971,9.257,104.015,58.787,65.053,85.376,8.068,2.3,23.945,1287.395,292.676,13.309,3054.306,498.779,32.315,22.81,2.88,41.746,2.968,23.095,11.173,5.462,14.048,16.247,692.652,126.972,65.127,41.187,10.912,23.639,41.835,64.149,0,356.187,0.007,0.138,43.92,2.078,19.453,19.491,822.301,-1873.621,9022.972
"TTL_C17_18",11.478,1.546,0.094,0,0.008,0.049,4.015,0.024,273.998,8.517,26.862,1068.994,0.77,125.547,226.624,40.995,29.632,2.796,3.972,31.917,81.211,56.278,55.179,2.037,0.135,9.065,50.72,64.064,19.021,63.133,1142.93,37.195,39.962,13.04,47.982,46.109,48.59,388.908,50.878,155.34,443.217,47.459,722.31,307.112,368.235,92.795,73.136,162.728,203.31,0,509.24,0.05,0.44,28.704,8.7,64.613,51.843,1948.292,-2541.499,6720.298
"TTL_C19",39.663,6.449,0.387,0,0.035,0.29,19.081,0.112,30.108,1.79,8.515,6.48,30.353,186.712,24.146,12.627,23.728,10.136,5.223,14.873,15.05,14.14,17.395,0.692,0.087,4.326,13.492,422.991,22.788,126.976,315.428,478.26,697.369,313.05,46.546,15.371,13.116,3.744,6.475,12.987,32.522,16.989,70.111,58.421,90.95,8.029,23.157,20.12,22.522,0,1527.464,0.023,0.516,11.856,0,118.182,0.048,117.697,-4290.193,789.402
