"Country","SCP","GIN","DCB","GOV","PCT","CCR","ABC","ABP","BSS","LPS","CSR","LBR","ATX","BEN","FDI","TRF","TFS","TRD","Telec_struc","Elec_struc","Gas_struc","Post_struc","Rail_struc","Hstat","LernerIndex","StateControl","Taxes","HealthGDP","EducGDP","MilitaryGDP","Finalcons","HealthGOV","EducGOV","MilitaryGOV","Int_rate","Inf_rate","Fin_reg","LLR","FinOpen","Liq","PrimAgri","PrimIndus","SecManuf","SecConst","Ter_Serv","Ter_FIRE","Tradeglobfacto","Finglobfacto","Tradeglobjure","Finglobjure","Socglobfacto","Socglobjure","Polglobfacto","Polglobjure","IUCN","GreenP","EnvConflicts","ClassGHG","EnvReg","EnvTreaties","EnfEnvReg","EnerGDP","GHGGdp","MatGDP","MatEmb","EnerEmb","CO2Emb","EnerfootGDP","CO2footGDP","MatfootGDP","Wshare","DistProf","Labprotec","CollBarg","Unions","Unemp","IncomeIneq","WorkingHours","Gender"
"Hungary",3.28,2.22,0.88,3,1.25,2.26,2.4,1.4,4.25,0.67,1.13,1.45,0.82,2.22,0.17,0,0.59,0.2,1.94,0,2.25,4,3,0.61,0.33,2.05,23.4,4.8,4.58,0.94,19.9,9.65,9.24,1.86,1.49,-0.06,1695,0.31,1,3081,0.04,0.03,0.23,0.04,0.53,0.11,857,867,876,721,742,810,891,949,0.71,0.115,0.6,3.4,4,28,3.4,0.166,424,0.87,8.1,4.9,11.1,0.17,376.35,1.78,55.8,18.9,2.1,22.8,9.4,6.8,0.3,38,9.5
"India",5.38,4.19,2.44,6,2.91,4.18,4.8,4.2,3.21,6,3.29,0.96,1.34,3.99,1.58,2.5,0.5,2.08,1.03,0,2.25,4,3,0.63,0.22,4.02,11,1,3.8,2.41,10.3,3.37,14.05,8.76,7.68,5.87,1268,4.04,0.17,1232,0.18,0.04,0.15,0.08,0.38,0.17,354,383,299,156,389,516,963,943,0.03,0.003,0.2,5.3,4.4,24,4.4,0.387,1699,3.04,-12.9,-4.9,-11.6,0.3,955.68,4.01,30.4,34.3,2.6,0,12.8,3.5,0.5,47,24.8
"Ireland",2.2,3.85,2.4,3.75,1.19,1.21,1.4,0.2,2.86,5.33,1.4,0.72,0,2.5,0.26,0,0.47,0.32,1.51,0,1.5,3,6,0.07,0.27,2.12,18.9,5.4,3.77,0.35,12.3,18.39,13.07,1.19,-0.02,-0.29,2437,15.45,1,2636,0.02,0.03,0.2,0.03,0.56,0.16,780,972,894,802,878,885,861,665,0,0,0.6,3.7,5.2,27,5.1,0.042,189,0.31,17.2,25.5,21.4,0.06,147.37,0.63,45.3,33.8,2.1,33.5,26.5,9.4,0.3,34,14.4
"Israel",3.25,3.27,1.55,3.75,2.32,3.45,1.6,1,3.93,5.33,1.42,1.93,0,3.9,1.01,0,0.72,2.38,1.34,6,4.5,2,6,0.53,0.34,2.92,23.4,4.5,5.88,5.67,22.5,10.95,15.04,14.3,0.12,-0.6,1402,0.96,1,2237,0.01,0.02,0.14,0.05,0.56,0.21,547,705,798,710,859,818,653,834,0.49,1.217,0.1,8.3,4.7,17,4.5,0.084,288,0.39,58.8,20.7,15.2,0.11,280.16,1.17,53,20.4,2.2,50,25,5.3,0.4,36,19.3
"Italy",4,2.28,1.9,2.63,1.19,2.29,1.6,0.2,4.62,0.67,0.38,0.48,0,2.56,0.31,0,0.1,1.28,1.25,0,0.75,4,0,0.87,0.58,2.22,23.4,6.7,4.08,1.38,18.9,13.35,8.11,2.75,-0.02,0.04,1454,9.94,1,287,0.02,0.03,0.15,0.05,0.54,0.2,440,766,898,697,719,824,988,997,0.36,0.14,0.4,4.5,4.3,26,3.5,0.073,210,0.25,48.9,19.5,22.6,0.1,221.11,1.12,61.6,30.2,2.9,80,35.7,11.9,0.3,35,5.6
"Japan",2.13,1.63,1.85,3,2.34,0.76,1.2,0,3.41,2.67,1,1.07,0.53,3.34,0.31,0,0.55,1.98,1.91,0,3,2,4.5,0.44,0.39,1.85,11.4,9.1,3.6,0.96,19.8,22.62,9.09,2.62,0.17,0.79,1555,54.37,1,2476,0.01,0.02,0.19,0.06,0.56,0.16,242,751,817,754,694,832,942,888,0.16,0.008,0.2,4.7,5.8,24,5.6,0.073,221,0.2,76.8,17.5,14.8,0.09,245.25,0.96,64.7,18.7,2.1,16.8,17.4,3.3,0.3,39,25.7
"Mexico",2.95,2.75,0.91,3.75,2.34,0.54,1.6,2.6,3.09,2.67,0.15,1.37,2.95,3.83,1.24,1.5,1.76,1.56,1.88,5.25,6,0,6,0.75,0.72,2.02,13,3.1,5.24,0.67,12.5,11.25,19.02,2.47,3.34,2.72,1496,0,0.7,4278,0.02,0.03,0.3,0.05,0.47,0.15,317,601,710,589,578,755,854,933,0.16,0.024,0.6,10.1,4,22,3.5,0.155,549,1.02,-5.8,4.5,5.2,0.14,411.31,1.82,38.6,46.8,2.6,9.8,12.9,4.3,0.5,46,16.7
"Netherlands",1.9,1.97,0.67,1.5,1.16,1.55,1.4,0,2.34,2,0.16,1.15,0,2.62,0.09,0,0.1,0.28,1.36,0,0.75,2,3,0.69,0.21,1.43,21.5,8.6,5.4,1.14,25.1,19.03,12.03,2.55,-0.02,0.6,2011,2.12,1,2255,0.03,0.09,0.18,0.07,0.64,0.13,902,965,894,811,804,872,960,993,2.25,2.431,0.2,3.4,5.8,29,5.6,0.082,224,0.21,60.3,6.4,14.5,0.09,221.91,0.91,65.9,21.9,2.9,79.4,17.7,6.9,0.3,31,14.1
"New Zealand",2.9,3.15,1.27,4.5,1.19,1.15,0.2,0.2,2.36,2,0.59,0.2,0.73,3.08,1.74,0,0.04,0.35,1.63,0,1.5,4,6,0.28,0.24,2.06,27.7,7.5,6.34,1.11,18.6,21.97,18.13,3.29,3.24,0.29,135,2.62,1,1127,0.02,0.05,0.12,0.04,0.5,0.21,449,784,865,718,837,900,751,783,2,1.109,1.1,5.9,5.6,23,5.6,0.123,482,0.68,-21.5,3.5,14.3,0.11,236.02,0.98,54.8,21.6,1,15.3,17.9,5.4,0.3,33,7.9
"Norway",4.15,3.6,0.96,4.5,0.69,1.23,1.4,0,2.64,3.33,0.79,1.97,0,3.02,0.51,0,0.76,1,1.61,0,4.5,4,1.5,0.64,0.5,2.13,22.1,8.5,7.55,1.5,23.4,17.46,15.73,3.13,1.29,2.17,1894,0.02,1,3071,0.06,0.05,0.12,0.06,0.51,0.12,603,912,841,698,888,921,884,929,0.58,0.617,0.6,3.2,6.1,30,6,0.065,115,0.41,-59.9,25.8,42.3,0.07,159.63,0.68,56.2,20.7,2.3,67,52.5,4.3,0.3,34,7.1
